item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,page_title,extraction_status,observation_status,icon_url,icon_pathname,icon_filename,icon_asset_key,farmrpg_item_id_candidate,flags,notes
Amethyst,amethyst,amethyst,https://buddy.farm/i/amethyst/,Amethyst,icon_found,observed,https://farmrpg.com/img/items/amethyst.png,/img/items/amethyst.png,amethyst.png,amethyst,,,
Amethyst Necklace,amethyst necklace,amethyst-necklace,https://buddy.farm/i/amethyst-necklace/,Amethyst Necklace,icon_found,observed,https://farmrpg.com/img/items/8016.png,/img/items/8016.png,8016.png,8016,8016,,
Anchor,anchor,anchor,https://buddy.farm/i/anchor/,Anchor,icon_found,observed,https://farmrpg.com/img/items/pirates_45_t.png?1,/img/items/pirates_45_t.png,pirates_45_t.png,pirates_45_t,,,
Ancient Coin,ancient coin,ancient-coin,https://buddy.farm/i/ancient-coin/,Ancient Coin,icon_found,observed,https://farmrpg.com/img/items/6019.PNG,/img/items/6019.PNG,6019.PNG,6019,6019,,
Ancient Stone Cicada,ancient stone cicada,ancient-stone-cicada,https://buddy.farm/i/ancient-stone-cicada/,Ancient Stone Cicada,icon_found,observed,https://farmrpg.com/img/items/stonecicada.png?1,/img/items/stonecicada.png,stonecicada.png,stonecicada,,,
Ancient Treasure Belt,ancient treasure belt,ancient-treasure-belt,https://buddy.farm/i/ancient-treasure-belt/,Ancient Treasure Belt,icon_found,observed,https://farmrpg.com/img/items/ancientbelt.png,/img/items/ancientbelt.png,ancientbelt.png,ancientbelt,,,
Anglerfish,anglerfish,anglerfish,https://buddy.farm/i/anglerfish/,Anglerfish,icon_found,observed,https://farmrpg.com/img/items/pirates_76_t.png,/img/items/pirates_76_t.png,pirates_76_t.png,pirates_76_t,,,
Ant Apple,ant apple,ant-apple,https://buddy.farm/i/ant-apple/,Ant Apple,icon_found,observed,https://farmrpg.com/img/items/ant_apple.png,/img/items/ant_apple.png,ant_apple.png,ant_apple,,,
Antler,antler,antler,https://buddy.farm/i/antler/,Antler,icon_found,observed,https://farmrpg.com/img/items/5922.png,/img/items/5922.png,5922.png,5922,5922,,
Apple,apple,apple,https://buddy.farm/i/apple/,Apple,icon_found,observed,https://farmrpg.com/img/items/8297.png,/img/items/8297.png,8297.png,8297,8297,,
Apple Ant,apple ant,apple-ant,https://buddy.farm/i/apple-ant/,Apple Ant,icon_found,observed,https://farmrpg.com/img/items/apple_ant.png,/img/items/apple_ant.png,apple_ant.png,apple_ant,,,
Apple Ant Buddy Doll,apple ant buddy doll,apple-ant-buddy-doll,https://buddy.farm/i/apple-ant-buddy-doll/,Apple Ant Buddy Doll,icon_found,observed,https://farmrpg.com/img/items/ant_apple_buddy_doll.png,/img/items/ant_apple_buddy_doll.png,ant_apple_buddy_doll.png,ant_apple_buddy_doll,,,
Apple Basket,apple basket,apple-basket,https://buddy.farm/i/apple-basket/,Apple Basket,icon_found,observed,https://farmrpg.com/img/items/applebasket.png?2,/img/items/applebasket.png,applebasket.png,applebasket,,,
Apple Belt,apple belt,apple-belt,https://buddy.farm/i/apple-belt/,Apple Belt,icon_found,observed,https://farmrpg.com/img/items/applebelt.png,/img/items/applebelt.png,applebelt.png,applebelt,,,
Apple Buddy Doll,apple buddy doll,apple-buddy-doll,https://buddy.farm/i/apple-buddy-doll/,Apple Buddy Doll,icon_found,observed,https://farmrpg.com/img/items/apple_buddy_doll.png,/img/items/apple_buddy_doll.png,apple_buddy_doll.png,apple_buddy_doll,,,
Apple Cider,apple cider,apple-cider,https://buddy.farm/i/apple-cider/,Apple Cider,icon_found,observed,https://farmrpg.com/img/items/8984.png,/img/items/8984.png,8984.png,8984,8984,,
Apple Core,apple core,apple-core,https://buddy.farm/i/apple-core/,Apple Core,icon_found,observed,https://farmrpg.com/img/items/8267.PNG,/img/items/8267.PNG,8267.PNG,8267,8267,,
Apple Crate 01,apple crate 01,apple-crate-01,https://buddy.farm/i/apple-crate-01/,Apple Crate 01,icon_found,observed,https://farmrpg.com/img/items/applecrate.png,/img/items/applecrate.png,applecrate.png,applecrate,,,
Apple Crate 02,apple crate 02,apple-crate-02,https://buddy.farm/i/apple-crate-02/,Apple Crate 02,icon_found,observed,https://farmrpg.com/img/items/applecrate.png,/img/items/applecrate.png,applecrate.png,applecrate,,,
Apple Picker,apple picker,apple-picker,https://buddy.farm/i/apple-picker/,Apple Picker,icon_found,observed,https://farmrpg.com/img/items/applepicker.png,/img/items/applepicker.png,applepicker.png,applepicker,,,
Apple Pie,apple pie,apple-pie,https://buddy.farm/i/apple-pie/,Apple Pie,icon_found,observed,https://farmrpg.com/img/items/applepie2.png,/img/items/applepie2.png,applepie2.png,applepie2,,,
Apple Slice,apple slice,apple-slice,https://buddy.farm/i/apple-slice/,Apple Slice,icon_found,observed,https://farmrpg.com/img/items/apple_slice.png,/img/items/apple_slice.png,apple_slice.png,apple_slice,,,
Apple Slicer,apple slicer,apple-slicer,https://buddy.farm/i/apple-slicer/,Apple Slicer,icon_found,observed,https://farmrpg.com/img/items/applecutter.png,/img/items/applecutter.png,applecutter.png,applecutter,,,
Apple Turnover,apple turnover,apple-turnover,https://buddy.farm/i/apple-turnover/,Apple Turnover,icon_found,observed,https://farmrpg.com/img/items/appleturnover.png,/img/items/appleturnover.png,appleturnover.png,appleturnover,,,
Aquacite,aquacite,aquacite,https://buddy.farm/i/aquacite/,Aquacite,icon_found,observed,https://farmrpg.com/img/items/aquacite.png,/img/items/aquacite.png,aquacite.png,aquacite,,,
Aquamarine,aquamarine,aquamarine,https://buddy.farm/i/aquamarine/,Aquamarine,icon_found,observed,https://farmrpg.com/img/items/6146.PNG,/img/items/6146.PNG,6146.PNG,6146,6146,,
Aquamarine Ring,aquamarine ring,aquamarine-ring,https://buddy.farm/i/aquamarine-ring/,Aquamarine Ring,icon_found,observed,https://farmrpg.com/img/items/aquaring.png,/img/items/aquaring.png,aquaring.png,aquaring,,,
Arnold Palmer,arnold palmer,arnold-palmer,https://buddy.farm/i/arnold-palmer/,Arnold Palmer,icon_found,observed,https://farmrpg.com/img/items/ap.png,/img/items/ap.png,ap.png,ap,,,
Arrowhead,arrowhead,arrowhead,https://buddy.farm/i/arrowhead/,Arrowhead,icon_found,observed,https://farmrpg.com/img/items/5910.png,/img/items/5910.png,5910.png,5910,5910,,
Ashes of Pentagorn,ashes of pentagorn,ashes-of-pentagorn,https://buddy.farm/i/ashes-of-pentagorn/,Ashes of Pentagorn,icon_found,observed,https://farmrpg.com/img/items/5848.png,/img/items/5848.png,5848.png,5848,5848,,
Awl,awl,awl,https://buddy.farm/i/awl/,Awl,icon_found,observed,https://farmrpg.com/img/items/2451.png,/img/items/2451.png,2451.png,2451,2451,,
Axe,axe,axe,https://buddy.farm/i/axe/,Axe,icon_found,observed,https://farmrpg.com/img/items/5875.png?1,/img/items/5875.png,5875.png,5875,5875,,
B for Buddies,b for buddies,b-for-buddies,https://buddy.farm/i/b-for-buddies/,B for Buddies,icon_found,observed,https://farmrpg.com/img/items/Buddiescandy.png,/img/items/Buddiescandy.png,Buddiescandy.png,Buddiescandy,,,
Baba Bobblehead,baba bobblehead,baba-bobblehead,https://buddy.farm/i/baba-bobblehead/,Baba Bobblehead,icon_found,observed,https://farmrpg.com/img/items/bobble_baba.png,/img/items/bobble_baba.png,bobble_baba.png,bobble_baba,,,
Baba Cola,baba cola,baba-cola,https://buddy.farm/i/baba-cola/,Baba Cola,icon_found,observed,https://farmrpg.com/img/items/babacola.png,/img/items/babacola.png,babacola.png,babacola,,,
Baba Gec's Cabbage Stew,baba gec's cabbage stew,baba-gec-s-cabbage-stew,https://buddy.farm/i/baba-gec-s-cabbage-stew/,Baba Gec&#x27;s Cabbage Stew,icon_found,observed,https://farmrpg.com/img/items/recipe.png,/img/items/recipe.png,recipe.png,recipe,,,
Baba's Snack Pack,baba's snack pack,baba-s-snack-pack,https://buddy.farm/i/baba-s-snack-pack/,Baba&#x27;s Snack Pack,icon_found,observed,https://farmrpg.com/img/items/babasnack.png,/img/items/babasnack.png,babasnack.png,babasnack,,,
Backpack,backpack,backpack,https://buddy.farm/i/backpack/,Backpack,icon_found,observed,https://farmrpg.com/img/items/BagsAndBoxes_64_t.png,/img/items/BagsAndBoxes_64_t.png,BagsAndBoxes_64_t.png,BagsAndBoxes_64_t,,,
Backstabbing Dagger,backstabbing dagger,backstabbing-dagger,https://buddy.farm/i/backstabbing-dagger/,Backstabbing Dagger,icon_found,observed,https://farmrpg.com/img/items/9078.png,/img/items/9078.png,9078.png,9078,9078,,
Bacon,bacon,bacon,https://buddy.farm/i/bacon/,Bacon,icon_found,observed,https://farmrpg.com/img/items/bacon.png,/img/items/bacon.png,bacon.png,bacon,,,
Bag of Ghost Candy,bag of ghost candy,bag-of-ghost-candy,https://buddy.farm/i/bag-of-ghost-candy/,Bag of Ghost Candy,icon_found,observed,https://farmrpg.com/img/items/ghost_candy_bag.png,/img/items/ghost_candy_bag.png,ghost_candy_bag.png,ghost_candy_bag,,,
Bag of Presents 01,bag of presents 01,bag-of-presents-01,https://buddy.farm/i/bag-of-presents-01/,Bag of Presents 01,icon_found,observed,https://farmrpg.com/img/items/12_sm.png,/img/items/12_sm.png,12_sm.png,12_sm,,,
Bag of Presents 02,bag of presents 02,bag-of-presents-02,https://buddy.farm/i/bag-of-presents-02/,Bag of Presents 02,icon_found,observed,https://farmrpg.com/img/items/12_sm.png,/img/items/12_sm.png,12_sm.png,12_sm,,,
Bag of Snowballs,bag of snowballs,bag-of-snowballs,https://buddy.farm/i/bag-of-snowballs/,Bag of Snowballs,icon_found,observed,https://farmrpg.com/img/items/bagofsnowballs.png,/img/items/bagofsnowballs.png,bagofsnowballs.png,bagofsnowballs,,,
Bag of Spring Seeds,bag of spring seeds,bag-of-spring-seeds,https://buddy.farm/i/bag-of-spring-seeds/,Bag of Spring Seeds,icon_found,observed,https://farmrpg.com/img/items/4497.png,/img/items/4497.png,4497.png,4497,4497,,
Bahltruvian Scales,bahltruvian scales,bahltruvian-scales,https://buddy.farm/i/bahltruvian-scales/,Bahltruvian Scales,icon_found,observed,https://farmrpg.com/img/items/2392.png,/img/items/2392.png,2392.png,2392,2392,,
Bait Bag 01,bait bag 01,bait-bag-01,https://buddy.farm/i/bait-bag-01/,Bait Bag 01,icon_found,observed,https://farmrpg.com/img/items/baitbag01.png,/img/items/baitbag01.png,baitbag01.png,baitbag01,,,
Bamboo,bamboo,bamboo,https://buddy.farm/i/bamboo/,Bamboo,icon_found,observed,https://farmrpg.com/img/items/viri_4773.png,/img/items/viri_4773.png,viri_4773.png,viri_4773,,,
Bamboo Chair,bamboo chair,bamboo-chair,https://buddy.farm/i/bamboo-chair/,Bamboo Chair,icon_found,observed,https://farmrpg.com/img/items/bamboochair.png,/img/items/bamboochair.png,bamboochair.png,bamboochair,,,
Bamboo Fence,bamboo fence,bamboo-fence,https://buddy.farm/i/bamboo-fence/,Bamboo Fence,icon_found,observed,https://farmrpg.com/img/items/bamboofence.png,/img/items/bamboofence.png,bamboofence.png,bamboofence,,,
Bamboo Flute,bamboo flute,bamboo-flute,https://buddy.farm/i/bamboo-flute/,Bamboo Flute,icon_found,observed,https://farmrpg.com/img/items/bambooflute.png,/img/items/bambooflute.png,bambooflute.png,bambooflute,,,
Bamboo Rope,bamboo rope,bamboo-rope,https://buddy.farm/i/bamboo-rope/,Bamboo Rope,icon_found,observed,https://farmrpg.com/img/items/rope_t_01.png,/img/items/rope_t_01.png,rope_t_01.png,rope_t_01,,,
Bamboo Trellis,bamboo trellis,bamboo-trellis,https://buddy.farm/i/bamboo-trellis/,Bamboo Trellis,icon_found,observed,https://farmrpg.com/img/items/bambootrellis.png,/img/items/bambootrellis.png,bambootrellis.png,bambootrellis,,,
Banana Peel,banana peel,banana-peel,https://buddy.farm/i/banana-peel/,Banana Peel,icon_found,observed,https://farmrpg.com/img/items/1586.png,/img/items/1586.png,1586.png,1586,1586,,
Bananas,bananas,bananas,https://buddy.farm/i/bananas/,Bananas,icon_found,observed,https://farmrpg.com/img/items/8285.png,/img/items/8285.png,8285.png,8285,8285,,
Bar of Silver,bar of silver,bar-of-silver,https://buddy.farm/i/bar-of-silver/,Bar of Silver,icon_found,observed,https://farmrpg.com/img/items/silverbar.png,/img/items/silverbar.png,silverbar.png,silverbar,,,
Barbed Wire,barbed wire,barbed-wire,https://buddy.farm/i/barbed-wire/,Barbed Wire,icon_found,observed,https://farmrpg.com/img/items/barbedwire.png,/img/items/barbedwire.png,barbedwire.png,barbedwire,,,
Barnacle Shell,barnacle shell,barnacle-shell,https://buddy.farm/i/barnacle-shell/,Barnacle Shell,icon_found,observed,https://farmrpg.com/img/items/afk_8532.png,/img/items/afk_8532.png,afk_8532.png,afk_8532,,,
Barracuda,barracuda,barracuda,https://buddy.farm/i/barracuda/,Barracuda,icon_found,observed,https://farmrpg.com/img/items/7486.png,/img/items/7486.png,7486.png,7486,7486,,
Basic Pillow,basic pillow,basic-pillow,https://buddy.farm/i/basic-pillow/,Basic Pillow,icon_found,observed,https://farmrpg.com/img/items/basicpillow.png,/img/items/basicpillow.png,basicpillow.png,basicpillow,,,
Bat Wing,bat wing,bat-wing,https://buddy.farm/i/bat-wing/,Bat Wing,icon_found,observed,https://farmrpg.com/img/items/5990.png,/img/items/5990.png,5990.png,5990,5990,,
Beach Ball,beach ball,beach-ball,https://buddy.farm/i/beach-ball/,Beach Ball,icon_found,observed,https://farmrpg.com/img/items/beachball.png?1,/img/items/beachball.png,beachball.png,beachball,,,
Beach Towel,beach towel,beach-towel,https://buddy.farm/i/beach-towel/,Beach Towel,icon_found,observed,https://farmrpg.com/img/items/beach_towel.png,/img/items/beach_towel.png,beach_towel.png,beach_towel,,,
Beach Umbrella,beach umbrella,beach-umbrella,https://buddy.farm/i/beach-umbrella/,Beach Umbrella,icon_found,observed,https://farmrpg.com/img/items/beach_umbrella.png,/img/items/beach_umbrella.png,beach_umbrella.png,beach_umbrella,,,
Bear Buddy Doll,bear buddy doll,bear-buddy-doll,https://buddy.farm/i/bear-buddy-doll/,Bear Buddy Doll,icon_found,observed,https://farmrpg.com/img/items/Bear_buddy.png,/img/items/Bear_buddy.png,Bear_buddy.png,Bear_buddy,,,
Beary Squishies,beary squishies,beary-squishies,https://buddy.farm/i/beary-squishies/,Beary Squishies,icon_found,observed,https://farmrpg.com/img/items/squishybears.png,/img/items/squishybears.png,squishybears.png,squishybears,,,
Beatrix Bobblehead,beatrix bobblehead,beatrix-bobblehead,https://buddy.farm/i/beatrix-bobblehead/,Beatrix Bobblehead,icon_found,observed,https://farmrpg.com/img/items/bobble_beatrix.png,/img/items/bobble_beatrix.png,bobble_beatrix.png,bobble_beatrix,,,
Beatrix's Big Box of Boom,beatrix's big box of boom,beatrix-s-big-box-of-boom,https://buddy.farm/i/beatrix-s-big-box-of-boom/,Beatrix&#x27;s Big Box of Boom,icon_found,observed,https://farmrpg.com/img/items/beatrixbox.png?1,/img/items/beatrixbox.png,beatrixbox.png,beatrixbox,,,
Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,beatrix-s-booming-brawl-box-01,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,Beatrix&#x27;s Booming Brawl Box 01,icon_found,observed,https://farmrpg.com/img/items/bfw.png,/img/items/bfw.png,bfw.png,bfw,,,
Beatrix's Booming Brawl Box 02,beatrix's booming brawl box 02,beatrix-s-booming-brawl-box-02,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,Beatrix&#x27;s Booming Brawl Box 02,icon_found,observed,https://farmrpg.com/img/items/fireworks_box_2.png,/img/items/fireworks_box_2.png,fireworks_box_2.png,fireworks_box_2,,,
Beet,beet,beet,https://buddy.farm/i/beet/,Beet,icon_found,observed,https://farmrpg.com/img/items/2850.png,/img/items/2850.png,2850.png,2850,2850,,
Beet Seeds,beet seeds,beet-seeds,https://buddy.farm/i/beet-seeds/,Beet Seeds,icon_found,observed,https://farmrpg.com/img/items/seeds_beet.png,/img/items/seeds_beet.png,seeds_beet.png,seeds_beet,,,
Bell,bell,bell,https://buddy.farm/i/bell/,Bell,icon_found,observed,https://farmrpg.com/img/items/bell.png,/img/items/bell.png,bell.png,bell,,,
Belt Drive,belt drive,belt-drive,https://buddy.farm/i/belt-drive/,Belt Drive,icon_found,observed,https://farmrpg.com/img/items/9347.png,/img/items/9347.png,9347.png,9347,9347,,
Belt of Commander Uteer,belt of commander uteer,belt-of-commander-uteer,https://buddy.farm/i/belt-of-commander-uteer/,Belt of Commander Uteer,icon_found,observed,https://farmrpg.com/img/items/1679.png,/img/items/1679.png,1679.png,1679,1679,,
Belt of Freedom,belt of freedom,belt-of-freedom,https://buddy.farm/i/belt-of-freedom/,Belt of Freedom,icon_found,observed,https://farmrpg.com/img/items/freedombelt.png,/img/items/freedombelt.png,freedombelt.png,freedombelt,,,
Belt of Menace,belt of menace,belt-of-menace,https://buddy.farm/i/belt-of-menace/,Belt of Menace,icon_found,observed,https://farmrpg.com/img/items/s_98.png,/img/items/s_98.png,s_98.png,s_98,,,
Belt of Truth,belt of truth,belt-of-truth,https://buddy.farm/i/belt-of-truth/,Belt of Truth,icon_found,observed,https://farmrpg.com/img/items/5488.png,/img/items/5488.png,5488.png,5488,5488,,
Bessi Gan Belt,bessi gan belt,bessi-gan-belt,https://buddy.farm/i/bessi-gan-belt/,Bessi Gan Belt,icon_found,observed,https://farmrpg.com/img/items/5304.png,/img/items/5304.png,5304.png,5304,5304,,
Bird Egg,bird egg,bird-egg,https://buddy.farm/i/bird-egg/,Bird Egg,icon_found,observed,https://farmrpg.com/img/items/6067.PNG,/img/items/6067.PNG,6067.PNG,6067,6067,,
Bird Key,bird key,bird-key,https://buddy.farm/i/bird-key/,Bird Key,icon_found,observed,https://farmrpg.com/img/items/birdkey.png,/img/items/birdkey.png,birdkey.png,birdkey,,,
Bird Skull 01,bird skull 01,bird-skull-01,https://buddy.farm/i/bird-skull-01/,Bird Skull 01,icon_found,observed,https://farmrpg.com/img/items/1138.png,/img/items/1138.png,1138.png,1138,1138,,
Birthday Present,birthday present,birthday-present,https://buddy.farm/i/birthday-present/,Birthday Present,icon_found,observed,https://farmrpg.com/img/items/present03.png,/img/items/present03.png,present03.png,present03,,,
Birthday Suit Buddy Doll,birthday suit buddy doll,birthday-suit-buddy-doll,https://buddy.farm/i/birthday-suit-buddy-doll/,Birthday Suit Buddy Doll,icon_found,observed,https://farmrpg.com/img/items/birthday_suit_undies_buddy_doll.png,/img/items/birthday_suit_undies_buddy_doll.png,birthday_suit_undies_buddy_doll.png,birthday_suit_undies_buddy_doll,,,
Birthday Surprise Box 03,birthday surprise box 03,birthday-surprise-box-03,https://buddy.farm/i/birthday-surprise-box-03/,Birthday Surprise Box 03,icon_found,observed,https://farmrpg.com/img/items/bsb01.png,/img/items/bsb01.png,bsb01.png,bsb01,,,
Birthday Surprise Box 04,birthday surprise box 04,birthday-surprise-box-04,https://buddy.farm/i/birthday-surprise-box-04/,Birthday Surprise Box 04,icon_found,observed,https://farmrpg.com/img/items/bsb01.png,/img/items/bsb01.png,bsb01.png,bsb01,,,
Bitten Apple,bitten apple,bitten-apple,https://buddy.farm/i/bitten-apple/,Bitten Apple,icon_found,observed,https://farmrpg.com/img/items/bittenapple.png,/img/items/bittenapple.png,bittenapple.png,bittenapple,,,
Black Bag,black bag,black-bag,https://buddy.farm/i/black-bag/,Black Bag,icon_found,observed,https://farmrpg.com/img/items/blackbag.png,/img/items/blackbag.png,blackbag.png,blackbag,,,
Black Cloak,black cloak,black-cloak,https://buddy.farm/i/black-cloak/,Black Cloak,icon_found,observed,https://farmrpg.com/img/items/blackcloak.png,/img/items/blackcloak.png,blackcloak.png,blackcloak,,,
Black Dye,black dye,black-dye,https://buddy.farm/i/black-dye/,Black Dye,icon_found,observed,https://farmrpg.com/img/items/blackdye.png,/img/items/blackdye.png,blackdye.png,blackdye,,,
Black Powder,black powder,black-powder,https://buddy.farm/i/black-powder/,Black Powder,icon_found,observed,https://farmrpg.com/img/items/powder.png,/img/items/powder.png,powder.png,powder,,,
Black Purse,black purse,black-purse,https://buddy.farm/i/black-purse/,Black Purse,icon_found,observed,https://farmrpg.com/img/items/blackpurse.png,/img/items/blackpurse.png,blackpurse.png,blackpurse,,,
Black Scarf,black scarf,black-scarf,https://buddy.farm/i/black-scarf/,Black Scarf,icon_found,observed,https://farmrpg.com/img/items/blackscarf.png,/img/items/blackscarf.png,blackscarf.png,blackscarf,,,
Black Shield,black shield,black-shield,https://buddy.farm/i/black-shield/,Black Shield,icon_found,observed,https://farmrpg.com/img/items/blackshield.png,/img/items/blackshield.png,blackshield.png,blackshield,,,
Black Shirt,black shirt,black-shirt,https://buddy.farm/i/black-shirt/,Black Shirt,icon_found,observed,https://farmrpg.com/img/items/blackshirt.png,/img/items/blackshirt.png,blackshirt.png,blackshirt,,,
Black Truffle,black truffle,black-truffle,https://buddy.farm/i/black-truffle/,Black Truffle,icon_found,observed,https://farmrpg.com/img/items/blacktruffle.png,/img/items/blacktruffle.png,blacktruffle.png,blacktruffle,,,
Black Twine,black twine,black-twine,https://buddy.farm/i/black-twine/,Black Twine,icon_found,observed,https://farmrpg.com/img/items/blacktwine.png,/img/items/blacktwine.png,blacktwine.png,blacktwine,,,
Blitzen,blitzen,blitzen,https://buddy.farm/i/blitzen/,Blitzen,icon_found,observed,https://farmrpg.com/img/items/blitzen.png,/img/items/blitzen.png,blitzen.png,blitzen,,,
Block of Wood,block of wood,block-of-wood,https://buddy.farm/i/block-of-wood/,Block of Wood,icon_found,observed,https://farmrpg.com/img/items/wood_block.png,/img/items/wood_block.png,wood_block.png,wood_block,,,
Blood Crystal,blood crystal,blood-crystal,https://buddy.farm/i/blood-crystal/,Blood Crystal,icon_found,observed,https://farmrpg.com/img/items/2429.png,/img/items/2429.png,2429.png,2429,2429,,
Blubberfish,blubberfish,blubberfish,https://buddy.farm/i/blubberfish/,Blubberfish,icon_found,observed,https://farmrpg.com/img/items/finp_415.png,/img/items/finp_415.png,finp_415.png,finp_415,,,
Blue Butterfly,blue butterfly,blue-butterfly,https://buddy.farm/i/blue-butterfly/,Blue Butterfly,icon_found,observed,https://farmrpg.com/img/items/afk_8578b.png,/img/items/afk_8578b.png,afk_8578b.png,afk_8578b,,,
Blue Catfish,blue catfish,blue-catfish,https://buddy.farm/i/blue-catfish/,Blue Catfish,icon_found,observed,https://farmrpg.com/img/items/7842.PNG,/img/items/7842.PNG,7842.PNG,7842,7842,,
Blue Crab,blue crab,blue-crab,https://buddy.farm/i/blue-crab/,Blue Crab,icon_found,observed,https://farmrpg.com/img/items/7825.PNG,/img/items/7825.PNG,7825.PNG,7825,7825,,
Blue Diary,blue diary,blue-diary,https://buddy.farm/i/blue-diary/,Blue Diary,icon_found,observed,https://farmrpg.com/img/items/bluediary.png,/img/items/bluediary.png,bluediary.png,bluediary,,,
Blue Dye,blue dye,blue-dye,https://buddy.farm/i/blue-dye/,Blue Dye,icon_found,observed,https://farmrpg.com/img/items/bluedye.png,/img/items/bluedye.png,bluedye.png,bluedye,,,
Blue Feathers,blue feathers,blue-feathers,https://buddy.farm/i/blue-feathers/,Blue Feathers,icon_found,observed,https://farmrpg.com/img/items/5963.png,/img/items/5963.png,5963.png,5963,5963,,
Blue Flowers,blue flowers,blue-flowers,https://buddy.farm/i/blue-flowers/,Blue Flowers,icon_found,observed,https://farmrpg.com/img/items/bflowers.png,/img/items/bflowers.png,bflowers.png,bflowers,,,
Blue Gel,blue gel,blue-gel,https://buddy.farm/i/blue-gel/,Blue Gel,icon_found,observed,https://farmrpg.com/img/items/ForestIcons_34_t.png,/img/items/ForestIcons_34_t.png,ForestIcons_34_t.png,ForestIcons_34_t,,,
Blue Milk,blue milk,blue-milk,https://buddy.farm/i/blue-milk/,Blue Milk,icon_found,observed,https://farmrpg.com/img/items/bluemilk.png?2,/img/items/bluemilk.png,bluemilk.png,bluemilk,,,
