output_item_name,output_canonical_key,derived_craft_quantity,input_order,input_item_name,input_canonical_key,input_inventory_quantity,displayed_required_quantity,per_craft_quantity,evidence_source,evidence_date,review_status,notes
Bamboo Chair,bamboo chair,0,3,Basic Pillow,basic pillow,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Cannon,cannon,0,1,Steel,steel,11092,25,25,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Cannon,cannon,0,2,Scrap Metal,scrap metal,1,25,25,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Cannon,cannon,0,3,Board,board,32180,12,12,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Cannon,cannon,0,4,Black Powder,black powder,32180,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Cannon,cannon,0,5,Emberstone,emberstone,0,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Cannon,cannon,0,6,Machine Part,machine part,17213,6,6,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Cannon,cannon,0,7,Wagon Wheel,wagon wheel,32180,4,4,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Milk Carton,milk carton,0,1,White Parchment,white parchment,0,4,4,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Milk Carton,milk carton,0,2,Milk,milk,27016,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Milk Carton,milk carton,0,3,Blue Dye,blue dye,32180,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Small Bolt,small bolt,0,1,Coal,coal,32155,5,5,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Small Bolt,small bolt,0,2,Scrap Metal,scrap metal,1,3,3,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Small Bolt,small bolt,0,3,Emberstone,emberstone,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Small Bolt,small bolt,0,4,Hammer,hammer,32175,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel,steel,0,1,Iron,iron,32180,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel,steel,0,2,Glass Orb,glass orb,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel,steel,0,3,Carbon Sphere,carbon sphere,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel Wire,steel wire,0,1,Iron,iron,32180,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel Wire,steel wire,0,2,Stone,stone,27988,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel Wire,steel wire,0,3,Carbon Sphere,carbon sphere,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Strong Paste,strong paste,0,1,Mushroom Paste,mushroom paste,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Strong Paste,strong paste,0,2,Glowshroom,glowshroom,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Strong Paste,strong paste,0,3,Mudcap,mudcap,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Toilet Paper,toilet paper,0,1,White Parchment,white parchment,0,50,50,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
White Parchment,white parchment,0,1,Feathers,feathers,1,3,3,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Wine,wine,0,1,Grapes,grapes,15,100,100,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Wine,wine,0,2,Glass Bottle,glass bottle,6230,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Cloth,cloth,0,1,Scrap Cloth,scrap cloth,2,3,3,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,1,Beet,beet,4,15,15,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,2,Peppers,peppers,13272,7,7,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,3,Eggplant,eggplant,27808,7,7,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,4,Carrot,carrot,20054,7,7,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,5,Peas,peas,27981,7,7,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,6,Cucumber,cucumber,27804,7,7,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,7,Tomato,tomato,1421,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,8,Watermelon,watermelon,7498,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,9,Twine,twine,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,10,Horn,horn,7645,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Veggie Juice,veggie juice,0,11,Glass Bottle,glass bottle,6230,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Red Dye,red dye,0,1,Striped Feather,striped feather,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Red Dye,red dye,0,2,Glass Bottle,glass bottle,6230,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Handsaw,handsaw,0,1,Mushroom Paste,mushroom paste,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Handsaw,handsaw,0,2,Steel,steel,11092,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Handsaw,handsaw,0,3,Wooden Plank,wooden plank,32180,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Handsaw,handsaw,0,4,Hammer,hammer,32175,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Handsaw,handsaw,0,5,Awl,awl,32180,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Iced Tea,iced tea,0,1,Tea Leaves,tea leaves,2,3,3,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Iced Tea,iced tea,0,2,Glass Bottle,glass bottle,6230,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel Plate,steel plate,0,1,Small Bolt,small bolt,1,4,4,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel Plate,steel plate,0,2,Steel,steel,11092,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Steel Plate,steel plate,0,3,Emberstone,emberstone,0,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Leather,leather,0,1,Hide,hide,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Glass Bottle,glass bottle,0,1,Stone,stone,27988,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Glass Bottle,glass bottle,0,2,Glass Orb,glass orb,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Glass Orb,glass orb,0,1,Shimmer Stone,shimmer stone,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Glass Orb,glass orb,0,2,Stone,stone,27988,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Shimmer Stone,shimmer stone,0,1,Unpolished Shimmer Stone,unpolished shimmer stone,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Twine,twine,0,1,Straw,straw,11980,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Twine,twine,0,2,Wood,wood,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Rope,rope,0,1,Twine,twine,1,3,3,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Fishing Net,fishing net,0,1,Iron,iron,32180,4,4,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Fishing Net,fishing net,0,2,Rope,rope,964,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Fishing Net,fishing net,0,3,Antler,antler,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Fire Ant Farm,fire ant farm,0,1,Fire Ant,fire ant,319,25,25,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Fire Ant Farm,fire ant farm,0,2,Sand,sand,0,5,5,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Fire Ant Farm,fire ant farm,0,3,Board,board,32180,4,4,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Fire Ant Farm,fire ant farm,0,4,Nails,nails,32180,4,4,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Fire Ant Farm,fire ant farm,0,5,Glass Orb,glass orb,0,3,3,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Large Net,large net,0,1,Iron Ring,iron ring,32180,25,25,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Large Net,large net,0,2,Fishing Net,fishing net,5,25,25,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Orange Juice,orange juice,0,1,Orange,orange,1,6,6,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Orange Juice,orange juice,0,2,Glass Bottle,glass bottle,6230,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Lemonade,lemonade,0,1,Lemon,lemon,2,6,6,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Lemonade,lemonade,0,2,Glass Bottle,glass bottle,6230,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Acorn Butter,acorn butter,0,1,Acorn,acorn,55,75,75,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Acorn Butter,acorn butter,0,2,Glass Bottle,glass bottle,6230,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Amber Cane,amber cane,0,1,Sand,sand,0,3,3,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Amber Cane,amber cane,0,2,Iron Ring,iron ring,32180,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Amber Cane,amber cane,0,3,Mushroom Paste,mushroom paste,1,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Amber Cane,amber cane,0,4,Bone,bone,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Amber Cane,amber cane,0,5,Amber,amber,39,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Amber Cane,amber cane,0,6,Oak,oak,75,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Ancient Pickaxe,ancient pickaxe,0,1,Steel,steel,11092,3,3,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Ancient Pickaxe,ancient pickaxe,0,2,Peridot,peridot,0,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Ancient Pickaxe,ancient pickaxe,0,3,Oak,oak,75,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Ancient Pickaxe,ancient pickaxe,0,4,Gravity Orb,gravity orb,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Ancient Pickaxe,ancient pickaxe,0,5,Cave Paste,cave paste,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Apple Cider,apple cider,0,1,Apple,apple,7,40,40,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Apple Cider,apple cider,0,2,Orange,orange,1,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Apple Cider,apple cider,0,3,Glass Bottle,glass bottle,6230,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Aquacite Ring,aquacite ring,0,1,Mushroom Paste,mushroom paste,1,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Aquacite Ring,aquacite ring,0,2,Aquacite,aquacite,12539,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Aquacite Ring,aquacite ring,0,3,Esperium Band,esperium band,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Awl,awl,0,1,Iron Ring,iron ring,32180,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Awl,awl,0,2,Iron,iron,32180,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Awl,awl,0,3,Wood,wood,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Bamboo Fence,bamboo fence,0,1,Bamboo,bamboo,6,35,35,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Bamboo Fence,bamboo fence,0,2,Board,board,32180,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Bamboo Fence,bamboo fence,0,3,Twine,twine,1,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Bamboo Trellis,bamboo trellis,0,1,Bamboo,bamboo,6,20,20,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Bamboo Trellis,bamboo trellis,0,2,Twine,twine,1,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Barbed Wire,barbed wire,0,1,Thorns,thorns,1,5,5,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Barbed Wire,barbed wire,0,2,Steel Wire,steel wire,22052,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Basic Pillow,basic pillow,0,1,Feathers,feathers,1,25,25,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Basic Pillow,basic pillow,0,2,Twine,twine,1,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Basic Pillow,basic pillow,0,3,Cloth,cloth,4,2,2,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Black Bag,black bag,0,1,Leather Bag,leather bag,14480,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Black Bag,black bag,0,2,Black Dye,black dye,0,1,1,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Black Cloak,black cloak,0,1,Black Dye,black dye,0,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Black Cloak,black cloak,0,2,Black Twine,black twine,31076,10,10,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
Black Cloak,black cloak,0,3,Leather,leather,1,5,5,user-supplied Workshop paste,2026-08-31,normalized_pending_reconciliation,At least one displayed inventory amount was below the one-craft requirement so the UI craft quantity was 0 and displayed requirements were already per craft.
