output_item_name,output_canonical_key,displayed_craft_quantity,input_item_name,input_canonical_key,displayed_required_quantity,per_craft_quantity,evidence_source,evidence_date,review_status,notes
Stained Glass Art,stained glass art,0,Jadeite,jadeite,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Stained Glass Art,stained glass art,0,Peridot,peridot,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Shining Farrings,shining farrings,1,Pyredrop,pyredrop,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Shining Farrings,shining farrings,1,Strong Wire,strong wire,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,Sewing Needle,sewing needle,8,8,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,Red Twine,red twine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,Blue Twine,blue twine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,Green Twine,green twine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,Purple Twine,purple twine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,Orange Twine,orange twine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,White Twine,white twine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,Yellow Twine,yellow twine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Redbrook Patch,redbrook patch,1,Brown Twine,brown twine,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement directly represents one craft.
Refined Esperium,refined esperium,38,Esperium,esperium,76,2,user screenshot + user clarification,2026-08-31,screenshot_normalized_pending_review,Displayed requirement divided by the selected craft quantity.
Refined Esperium,refined esperium,38,Emberstone,emberstone,38,1,user screenshot + user clarification,2026-08-31,screenshot_normalized_pending_review,Displayed requirement divided by the selected craft quantity.
Refined Plum Ore,refined plum ore,38,Plum Ore,plum ore,76,2,user screenshot + user clarification,2026-08-31,screenshot_normalized_pending_review,Displayed requirement divided by the selected craft quantity.
Refined Plum Ore,refined plum ore,38,Emberstone,emberstone,38,1,user screenshot + user clarification,2026-08-31,screenshot_normalized_pending_review,Displayed requirement divided by the selected craft quantity.
Reforged Sword,reforged sword,0,Emberstone,emberstone,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Reforged Sword,reforged sword,0,Fire Crystal,fire crystal,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Reforged Sword,reforged sword,0,Broken Sword,broken sword,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Reforged Sword,reforged sword,0,Plum Iron,plum iron,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Reforged Sword,reforged sword,0,Quench,quench,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Quench,quench,0,Steel,steel,2,2,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Quench,quench,0,Bucket,bucket,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Quench,quench,0,Straw,straw,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Quench,quench,0,Magmastone,magmastone,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Potion of Clarity,potion of clarity,0,Glass Bottle,glass bottle,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Potion of Clarity,potion of clarity,0,Blue Gel,blue gel,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Potion of Clarity,potion of clarity,0,Brain Fungus,brain fungus,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Potion of Clarity,potion of clarity,0,Pestle and Mortar,pestle and mortar,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Plum Goblet,plum goblet,0,Stone,stone,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Plum Goblet,plum goblet,0,Plum Iron,plum iron,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Plum Iron,plum iron,0,Iron,iron,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Plum Iron,plum iron,0,Emberstone,emberstone,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Plum Iron,plum iron,0,Acid Extract,acid extract,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Plum Iron,plum iron,0,Refined Plum Ore,refined plum ore,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pinecone Bird Feeder,pinecone bird feeder,0,Twine,twine,4,4,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pinecone Bird Feeder,pinecone bird feeder,0,Pine Cone,pine cone,4,4,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pinecone Bird Feeder,pinecone bird feeder,0,Corn Seeds,corn seeds,2,2,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pinecone Bird Feeder,pinecone bird feeder,0,Sunflower Seeds,sunflower seeds,2,2,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pinecone Bird Feeder,pinecone bird feeder,0,Acorn Butter,acorn butter,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Peridot,peridot,0,Unpolished Peridot,unpolished peridot,2,2,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pestle and Mortar,pestle and mortar,0,Stone,stone,10,10,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pestle and Mortar,pestle and mortar,0,Coal,coal,5,5,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pestle and Mortar,pestle and mortar,0,Hammer,hammer,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Pestle and Mortar,pestle and mortar,0,Chisel,chisel,1,1,user screenshot,2026-08-31,screenshot_normalized_pending_review,Displayed requirement treated as the one-craft quantity because selected craft quantity was 0.
Tin Goblet,tin goblet,2678,Stone,stone,10712,4,user screenshot + user clarification,2026-08-31,screenshot_normalized_pending_review,Displayed requirement divided by the selected craft quantity to correct the prior raw-total interpretation.
Tin Goblet,tin goblet,2678,Tin Scraps,tin scraps,10712,4,user screenshot + user clarification,2026-08-31,screenshot_normalized_pending_review,Displayed requirement divided by the selected craft quantity to correct the prior raw-total interpretation.
