output_item_name,output_canonical_key,catalog_action,mastery_action,recipe_action,input_count,notes
Orange Shirt,orange shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Leather Belt,leather belt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Leather Diary,leather diary,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Leather Helmet,leather helmet,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Leather Waterskin,leather waterskin,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Looking Glass,looking glass,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Magicite,magicite,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Magna Core,magna core,existing,no_to_yes,matched_existing,7,Reconciled by normalized item name; no duplicate output added.
Magnifying Glass,magnifying glass,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Metal Spool,metal spool,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Monarch Butterfly,monarch butterfly,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Mystic Ring,mystic ring,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Oak Table,oak table,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Ornate Anvil,ornate anvil,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Ornate Flarite Ring,ornate flarite ring,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Pear Grease,pear grease,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Peridot,peridot,added,set_yes,added,1,Reconciled by normalized item name; no duplicate output added.
Pie Pan,pie pan,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Pine Shavings,pine shavings,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Pinecone Bird Feeder,pinecone bird feeder,added,set_yes,added,5,Reconciled by normalized item name; no duplicate output added.
Pitchfork,pitchfork,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Plum Goblet,plum goblet,added,set_yes,added,2,Reconciled by normalized item name; no duplicate output added.
Plum Iron,plum iron,added,set_yes,added,4,Reconciled by normalized item name; no duplicate output added.
Potato Battery,potato battery,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Propeller Hat,propeller hat,existing,already_yes,matched_existing,7,Reconciled by normalized item name; no duplicate output added.
Purple Bag,purple bag,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Purple Diary,purple diary,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Purple Dye,purple dye,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Purple Shirt,purple shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Purple Twine,purple twine,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Red Brick,red brick,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Red Diary,red diary,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Red Parchment,red parchment,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Red Shirt,red shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Red Trunk,red trunk,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Redbrook Patch,redbrook patch,added,set_yes,added,9,Reconciled by normalized item name; no duplicate output added.
Refined Esperium,refined esperium,added,set_yes,added,2,Reconciled by normalized item name; no duplicate output added.
Refined Plum Ore,refined plum ore,added,set_yes,added,2,Reconciled by normalized item name; no duplicate output added.
Reforged Sword,reforged sword,added,set_yes,added,5,Reconciled by normalized item name; no duplicate output added.
Reinforced Helmet,reinforced helmet,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Salt,salt,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Scissors,scissors,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Sewing Needle,sewing needle,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Shining Earrings,shining earrings,added,set_yes,added,2,Reconciled by normalized item name; no duplicate output added.
Ship in a Bottle,ship in a bottle,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Snow Shoes,snow shoes,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Spiky Bracelet,spiky bracelet,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Spoon,spoon,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Stained Glass Art,stained glass art,added,set_yes,added,17,Reconciled by normalized item name; no duplicate output added.
Steel Buckle,steel buckle,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Steel Vise,steel vise,existing,already_yes,matched_existing,6,Reconciled by normalized item name; no duplicate output added.
Strong Wire,strong wire,added,set_yes,added,2,Reconciled by normalized item name; no duplicate output added.
Sunflower Oil,sunflower oil,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Sunstone Ring,sunstone ring,added,set_yes,added,3,Reconciled by normalized item name; no duplicate output added.
Tie Dye Scarf,tie dye scarf,existing,already_yes,matched_existing,7,Reconciled by normalized item name; no duplicate output added.
White Cloak,white cloak,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
White Dye,white dye,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
White Purse,white purse,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
White Scarf,white scarf,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
White Shirt,white shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
White Twine,white twine,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Wizard Hat,wizard hat,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Wood Planer,wood planer,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Wooden Bow,wooden bow,existing,already_yes,matched_existing,4,Reconciled by normalized item name; no duplicate output added.
Wooden Button,wooden button,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Wooden Footstool,wooden footstool,existing,already_yes,matched_existing,5,Reconciled by normalized item name; no duplicate output added.
Wooden Spear,wooden spear,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Wooden Sword,wooden sword,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
Wrench,wrench,existing,already_yes,matched_existing,2,Reconciled by normalized item name; no duplicate output added.
Yarn,yarn,existing,already_yes,matched_existing,1,Reconciled by normalized item name; no duplicate output added.
Yellow Shirt,yellow shirt,existing,already_yes,matched_existing,3,Reconciled by normalized item name; no duplicate output added.
