item_name,item_buddy_url,used_in_item_name,used_in_buddy_url,quantity
Black Twine,https://buddy.farm/i/black-twine/,Black Cloak,https://buddy.farm/i/black-cloak/,10
Block of Wood,https://buddy.farm/i/block-of-wood/,Grand Piano,https://buddy.farm/i/grand-piano/,8
Blue Dye,https://buddy.farm/i/blue-dye/,Blue Purse,https://buddy.farm/i/blue-purse/,1
Blue Dye,https://buddy.farm/i/blue-dye/,Blue Twine,https://buddy.farm/i/blue-twine/,1
Blue Dye,https://buddy.farm/i/blue-dye/,Fancy Pan Flute,https://buddy.farm/i/fancy-pan-flute/,1
Blue Dye,https://buddy.farm/i/blue-dye/,Steel Vise,https://buddy.farm/i/steel-vise/,2
Blue Dye,https://buddy.farm/i/blue-dye/,Blue Butterfly,https://buddy.farm/i/blue-butterfly/,1
Blue Dye,https://buddy.farm/i/blue-dye/,Blue Shirt,https://buddy.farm/i/blue-shirt/,1
Blue Dye,https://buddy.farm/i/blue-dye/,Tie Dye Scarf,https://buddy.farm/i/tie-dye-scarf/,1
Blue Dye,https://buddy.farm/i/blue-dye/,Propeller Hat,https://buddy.farm/i/propeller-hat/,2
Blue Feathers,https://buddy.farm/i/blue-feathers/,Blue Parchment,https://buddy.farm/i/blue-parchment/,3
Blue Feathers,https://buddy.farm/i/blue-feathers/,Blue Dye,https://buddy.farm/i/blue-dye/,3
Blue Feathers,https://buddy.farm/i/blue-feathers/,Magus Hat,https://buddy.farm/i/magus-hat/,10
Blue Flowers,https://buddy.farm/i/blue-flowers/,Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,2
Blue Gel,https://buddy.farm/i/blue-gel/,Canoe,https://buddy.farm/i/canoe/,10
Blue Gel,https://buddy.farm/i/blue-gel/,Pear Grease,https://buddy.farm/i/pear-grease/,5
Blue Gel,https://buddy.farm/i/blue-gel/,Frost Shield,https://buddy.farm/i/frost-shield/,3
Blue Parchment,https://buddy.farm/i/blue-parchment/,Blue Diary,https://buddy.farm/i/blue-diary/,1
Blue Shell,https://buddy.farm/i/blue-shell/,Seashell Necklace,https://buddy.farm/i/seashell-necklace/,1
Blue Twine,https://buddy.farm/i/blue-twine/,Rucksack,https://buddy.farm/i/rucksack/,4
Board,https://buddy.farm/i/board/,Wooden Barrel,https://buddy.farm/i/wooden-barrel/,10
Board,https://buddy.farm/i/board/,Looking Glass,https://buddy.farm/i/looking-glass/,3
Board,https://buddy.farm/i/board/,Magnifying Glass,https://buddy.farm/i/magnifying-glass/,1
Board,https://buddy.farm/i/board/,Shovel,https://buddy.farm/i/shovel/,1
Board,https://buddy.farm/i/board/,Hammer,https://buddy.farm/i/hammer/,1
Board,https://buddy.farm/i/board/,Bucket,https://buddy.farm/i/bucket/,5
Board,https://buddy.farm/i/board/,Broom,https://buddy.farm/i/broom/,1
Board,https://buddy.farm/i/board/,Fire Ant Farm,https://buddy.farm/i/fire-ant-farm/,4
Board,https://buddy.farm/i/board/,Wooden Table,https://buddy.farm/i/wooden-table/,8
Board,https://buddy.farm/i/board/,Explosive,https://buddy.farm/i/explosive/,3
Board,https://buddy.farm/i/board/,Ship Mast,https://buddy.farm/i/ship-mast/,24
Board,https://buddy.farm/i/board/,Ladder,https://buddy.farm/i/ladder/,6
Board,https://buddy.farm/i/board/,Pitchfork,https://buddy.farm/i/pitchfork/,1
Board,https://buddy.farm/i/board/,Axe,https://buddy.farm/i/axe/,1
Board,https://buddy.farm/i/board/,Wooden Sword,https://buddy.farm/i/wooden-sword/,1
Board,https://buddy.farm/i/board/,Wagon Wheel,https://buddy.farm/i/wagon-wheel/,12
Board,https://buddy.farm/i/board/,Nailed Board,https://buddy.farm/i/nailed-board/,1
Board,https://buddy.farm/i/board/,Cannon,https://buddy.farm/i/cannon/,12
Board,https://buddy.farm/i/board/,Pickaxe,https://buddy.farm/i/pickaxe/,1
Board,https://buddy.farm/i/board/,Canoe,https://buddy.farm/i/canoe/,4
Board,https://buddy.farm/i/board/,Machine Press,https://buddy.farm/i/machine-press/,10
Board,https://buddy.farm/i/board/,Butter Churn,https://buddy.farm/i/butter-churn/,1
Board,https://buddy.farm/i/board/,Wooden Plank,https://buddy.farm/i/wooden-plank/,4
Board,https://buddy.farm/i/board/,Bamboo Fence,https://buddy.farm/i/bamboo-fence/,10
Bone,https://buddy.farm/i/bone/,Bone Pickaxe,https://buddy.farm/i/bone-pickaxe/,1
Bone,https://buddy.farm/i/bone/,Sewing Needle,https://buddy.farm/i/sewing-needle/,1
Bone,https://buddy.farm/i/bone/,Amber Cane,https://buddy.farm/i/amber-cane/,1
Bone,https://buddy.farm/i/bone/,Spoon,https://buddy.farm/i/spoon/,1
Broken Pipe,https://buddy.farm/i/broken-pipe/,Kill Switch,https://buddy.farm/i/kill-switch/,1
Broken Pipe,https://buddy.farm/i/broken-pipe/,Steel Vise,https://buddy.farm/i/steel-vise/,1
Broken Pipe,https://buddy.farm/i/broken-pipe/,Metal Spool,https://buddy.farm/i/metal-spool/,1
Broken Pipe,https://buddy.farm/i/broken-pipe/,Control Box,https://buddy.farm/i/control-box/,3
Broken Pipe,https://buddy.farm/i/broken-pipe/,Power Monitor,https://buddy.farm/i/power-monitor/,1
Brown Dye,https://buddy.farm/i/brown-dye/,Brown Twine,https://buddy.farm/i/brown-twine/,1
Brown Dye,https://buddy.farm/i/brown-dye/,Brown Bag,https://buddy.farm/i/brown-bag/,1
Brown Dye,https://buddy.farm/i/brown-dye/,Brown Cloak,https://buddy.farm/i/brown-cloak/,10
Bucket,https://buddy.farm/i/bucket/,Ship Mast,https://buddy.farm/i/ship-mast/,1
Bucket,https://buddy.farm/i/bucket/,Re'taw Pail,https://buddy.farm/i/re-taw-pail/,1
Bucket,https://buddy.farm/i/bucket/,Chum,https://buddy.farm/i/chum/,1
Bucket,https://buddy.farm/i/bucket/,Machine Press,https://buddy.farm/i/machine-press/,1
Bucket,https://buddy.farm/i/bucket/,Red Brick,https://buddy.farm/i/red-brick/,5
Butter Churn,https://buddy.farm/i/butter-churn/,Butter,https://buddy.farm/i/butter/,1
Carbon Sphere,https://buddy.farm/i/carbon-sphere/,Steel,https://buddy.farm/i/steel/,1
Carbon Sphere,https://buddy.farm/i/carbon-sphere/,Steel Wire,https://buddy.farm/i/steel-wire/,1
Carrot,https://buddy.farm/i/carrot/,Veggie Juice,https://buddy.farm/i/veggie-juice/,7
Caterpillar,https://buddy.farm/i/caterpillar/,Purple Butterfly,https://buddy.farm/i/purple-butterfly/,1
Caterpillar,https://buddy.farm/i/caterpillar/,Orange Butterfly,https://buddy.farm/i/orange-butterfly/,1
Caterpillar,https://buddy.farm/i/caterpillar/,Yellow Butterfly,https://buddy.farm/i/yellow-butterfly/,1
Caterpillar,https://buddy.farm/i/caterpillar/,Green Butterfly,https://buddy.farm/i/green-butterfly/,1
Caterpillar,https://buddy.farm/i/caterpillar/,Blue Butterfly,https://buddy.farm/i/blue-butterfly/,1
Caterpillar,https://buddy.farm/i/caterpillar/,Red Butterfly,https://buddy.farm/i/red-butterfly/,1
Caterpillar,https://buddy.farm/i/caterpillar/,Silk,https://buddy.farm/i/silk/,3
Clam Shell,https://buddy.farm/i/clam-shell/,Seashell Necklace,https://buddy.farm/i/seashell-necklace/,1
Cloth,https://buddy.farm/i/cloth/,Blue Shirt,https://buddy.farm/i/blue-shirt/,10
Cloth,https://buddy.farm/i/cloth/,Red Shirt,https://buddy.farm/i/red-shirt/,10
Cloth,https://buddy.farm/i/cloth/,Black Shirt,https://buddy.farm/i/black-shirt/,10
Cloth,https://buddy.farm/i/cloth/,Basic Pillow,https://buddy.farm/i/basic-pillow/,2
Cloth,https://buddy.farm/i/cloth/,Purple Shirt,https://buddy.farm/i/purple-shirt/,10
Cloth,https://buddy.farm/i/cloth/,Green Shirt,https://buddy.farm/i/green-shirt/,10
Cloth,https://buddy.farm/i/cloth/,Orange Shirt,https://buddy.farm/i/orange-shirt/,10
Cloth,https://buddy.farm/i/cloth/,Yellow Shirt,https://buddy.farm/i/yellow-shirt/,10
Cloth,https://buddy.farm/i/cloth/,Propeller Hat,https://buddy.farm/i/propeller-hat/,25
Cloth,https://buddy.farm/i/cloth/,White Shirt,https://buddy.farm/i/white-shirt/,10
Coal,https://buddy.farm/i/coal/,Black Powder,https://buddy.farm/i/black-powder/,3
Coal,https://buddy.farm/i/coal/,Lantern,https://buddy.farm/i/lantern/,1
Coal,https://buddy.farm/i/coal/,Metal Spool,https://buddy.farm/i/metal-spool/,5
Cogwheel,https://buddy.farm/i/cogwheel/,Magna Core,https://buddy.farm/i/magna-core/,3
Cogwheel,https://buddy.farm/i/cogwheel/,Fancy Clock,https://buddy.farm/i/fancy-clock/,2
Coin Purse,https://buddy.farm/i/coin-purse/,Blue Purse,https://buddy.farm/i/blue-purse/,1
Coin Purse,https://buddy.farm/i/coin-purse/,White Purse,https://buddy.farm/i/white-purse/,1
Coin Purse,https://buddy.farm/i/coin-purse/,Yellow Purse,https://buddy.farm/i/yellow-purse/,1
Coin Purse,https://buddy.farm/i/coin-purse/,Black Purse,https://buddy.farm/i/black-purse/,1
Compass,https://buddy.farm/i/compass/,Y73841 Detector,https://buddy.farm/i/y73841-detector/,1
Conch Shell,https://buddy.farm/i/conch-shell/,Seashell Necklace,https://buddy.farm/i/seashell-necklace/,1
Control Box,https://buddy.farm/i/control-box/,Engine,https://buddy.farm/i/engine/,1
Copper Wire,https://buddy.farm/i/copper-wire/,Spool of Copper,https://buddy.farm/i/spool-of-copper/,10
Copper Wire,https://buddy.farm/i/copper-wire/,Power Monitor,https://buddy.farm/i/power-monitor/,1
Corn,https://buddy.farm/i/corn/,Corn Husk Doll,https://buddy.farm/i/corn-husk-doll/,3
Corn,https://buddy.farm/i/corn/,Corn Oil,https://buddy.farm/i/corn-oil/,8
Corn Oil,https://buddy.farm/i/corn-oil/,Mayonnaise,https://buddy.farm/i/mayonnaise/,1
Corn Oil,https://buddy.farm/i/corn-oil/,Fancy Table,https://buddy.farm/i/fancy-table/,1
Corn Oil,https://buddy.farm/i/corn-oil/,Polished Boot,https://buddy.farm/i/polished-boot/,1
Cotton,https://buddy.farm/i/cotton/,Green Cloak,https://buddy.farm/i/green-cloak/,1
Cotton,https://buddy.farm/i/cotton/,Sail Cloth,https://buddy.farm/i/sail-cloth/,5
Cotton,https://buddy.farm/i/cotton/,Black Cloak,https://buddy.farm/i/black-cloak/,1
Cotton,https://buddy.farm/i/cotton/,Fancy Chair,https://buddy.farm/i/fancy-chair/,6
Cotton,https://buddy.farm/i/cotton/,White Cloak,https://buddy.farm/i/white-cloak/,1
Cotton,https://buddy.farm/i/cotton/,Brown Cloak,https://buddy.farm/i/brown-cloak/,1
Cotton,https://buddy.farm/i/cotton/,Green Top Hat,https://buddy.farm/i/green-top-hat/,1
Cucumber,https://buddy.farm/i/cucumber/,Veggie Juice,https://buddy.farm/i/veggie-juice/,7
Diamond,https://buddy.farm/i/diamond/,Gold Diamond Ring,https://buddy.farm/i/gold-diamond-ring/,1
Duck Feather,https://buddy.farm/i/duck-feather/,Fancy Pillow,https://buddy.farm/i/fancy-pillow/,25
Eggplant,https://buddy.farm/i/eggplant/,Veggie Juice,https://buddy.farm/i/veggie-juice/,7
Eggs,https://buddy.farm/i/eggs/,Mayonnaise,https://buddy.farm/i/mayonnaise/,25
Emberstone,https://buddy.farm/i/emberstone/,Kill Switch,https://buddy.farm/i/kill-switch/,3
Emberstone,https://buddy.farm/i/emberstone/,Pie Pan,https://buddy.farm/i/pie-pan/,25
Emberstone,https://buddy.farm/i/emberstone/,Steel Plate,https://buddy.farm/i/steel-plate/,2
Emberstone,https://buddy.farm/i/emberstone/,Pitchfork,https://buddy.farm/i/pitchfork/,1
Emberstone,https://buddy.farm/i/emberstone/,Steel Buckle,https://buddy.farm/i/steel-buckle/,2
Emberstone,https://buddy.farm/i/emberstone/,Cannon,https://buddy.farm/i/cannon/,10
Emberstone,https://buddy.farm/i/emberstone/,Unpolished Shimmer Stone,https://buddy.farm/i/unpolished-shimmer-stone/,1
Emberstone,https://buddy.farm/i/emberstone/,Wrench,https://buddy.farm/i/wrench/,5
Emberstone,https://buddy.farm/i/emberstone/,Cooking Pot,https://buddy.farm/i/cooking-pot/,25
Emerald,https://buddy.farm/i/emerald/,Mystic Ring,https://buddy.farm/i/mystic-ring/,2
Emerald,https://buddy.farm/i/emerald/,Emerald Ring,https://buddy.farm/i/emerald-ring/,1
Emerald,https://buddy.farm/i/emerald/,Gold Emerald Ring,https://buddy.farm/i/gold-emerald-ring/,1
Energy Coil,https://buddy.farm/i/energy-coil/,Engine,https://buddy.farm/i/engine/,1
Fairy Crystal,https://buddy.farm/i/fairy-crystal/,Crystal Pickaxe,https://buddy.farm/i/crystal-pickaxe/,1
Fancy Chair,https://buddy.farm/i/fancy-chair/,Grand Piano,https://buddy.farm/i/grand-piano/,1
Feathers,https://buddy.farm/i/feathers/,White Parchment,https://buddy.farm/i/white-parchment/,3
Feathers,https://buddy.farm/i/feathers/,Explosive,https://buddy.farm/i/explosive/,1
Feathers,https://buddy.farm/i/feathers/,Bottle Rocket,https://buddy.farm/i/bottle-rocket/,2
Feathers,https://buddy.farm/i/feathers/,Basic Pillow,https://buddy.farm/i/basic-pillow/,25
Fern Leaf,https://buddy.farm/i/fern-leaf/,Wooden Bow,https://buddy.farm/i/wooden-bow/,1
Fern Leaf,https://buddy.farm/i/fern-leaf/,Green Parchment,https://buddy.farm/i/green-parchment/,3
Fern Leaf,https://buddy.farm/i/fern-leaf/,Green Dye,https://buddy.farm/i/green-dye/,6
Fern Leaf,https://buddy.farm/i/fern-leaf/,Green Top Hat,https://buddy.farm/i/green-top-hat/,6
Fire Ant,https://buddy.farm/i/fire-ant/,Fire Ant Farm,https://buddy.farm/i/fire-ant-farm/,25
Fishing Net,https://buddy.farm/i/fishing-net/,Large Net,https://buddy.farm/i/large-net/,25
Flarite,https://buddy.farm/i/flarite/,Steel Pickaxe,https://buddy.farm/i/steel-pickaxe/,1
Flywheel,https://buddy.farm/i/flywheel/,Magna Core,https://buddy.farm/i/magna-core/,2
Flywheel,https://buddy.farm/i/flywheel/,Engine,https://buddy.farm/i/engine/,1
Frost Snapper Shell,https://buddy.farm/i/frost-snapper-shell/,Frost Shield,https://buddy.farm/i/frost-shield/,1
Garnet,https://buddy.farm/i/garnet/,Garnet Ring,https://buddy.farm/i/garnet-ring/,1
Garnet,https://buddy.farm/i/garnet/,Gold Garnet Ring,https://buddy.farm/i/gold-garnet-ring/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Corn Oil,https://buddy.farm/i/corn-oil/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Grape Juice,https://buddy.farm/i/grape-juice/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Lemonade,https://buddy.farm/i/lemonade/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Iced Tea,https://buddy.farm/i/iced-tea/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Green Dye,https://buddy.farm/i/green-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Hourglass,https://buddy.farm/i/hourglass/,2
Glass Bottle,https://buddy.farm/i/glass-bottle/,Blue Dye,https://buddy.farm/i/blue-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Purple Dye,https://buddy.farm/i/purple-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Pear Grease,https://buddy.farm/i/pear-grease/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Ship in a Bottle,https://buddy.farm/i/ship-in-a-bottle/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Lantern,https://buddy.farm/i/lantern/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Wine,https://buddy.farm/i/wine/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Red Dye,https://buddy.farm/i/red-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Acorn Butter,https://buddy.farm/i/acorn-butter/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Orange Juice,https://buddy.farm/i/orange-juice/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Apple Cider,https://buddy.farm/i/apple-cider/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Peach Juice,https://buddy.farm/i/peach-juice/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Sunflower Oil,https://buddy.farm/i/sunflower-oil/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Fruit Punch,https://buddy.farm/i/fruit-punch/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Veggie Juice,https://buddy.farm/i/veggie-juice/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Orange Dye,https://buddy.farm/i/orange-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Yellow Dye,https://buddy.farm/i/yellow-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Brown Dye,https://buddy.farm/i/brown-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Black Dye,https://buddy.farm/i/black-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,White Dye,https://buddy.farm/i/white-dye/,1
Glass Bottle,https://buddy.farm/i/glass-bottle/,Glowing Lantern,https://buddy.farm/i/glowing-lantern/,1
Glass Jar,https://buddy.farm/i/glass-jar/,Mayonnaise,https://buddy.farm/i/mayonnaise/,1
Glass Jar,https://buddy.farm/i/glass-jar/,Rucksack,https://buddy.farm/i/rucksack/,3
Glass Orb,https://buddy.farm/i/glass-orb/,Glass Bottle,https://buddy.farm/i/glass-bottle/,1
Glass Orb,https://buddy.farm/i/glass-orb/,Looking Glass,https://buddy.farm/i/looking-glass/,1
Glass Orb,https://buddy.farm/i/glass-orb/,Magnifying Glass,https://buddy.farm/i/magnifying-glass/,1
Glass Orb,https://buddy.farm/i/glass-orb/,Compass,https://buddy.farm/i/compass/,1
Glass Orb,https://buddy.farm/i/glass-orb/,Glass Jar,https://buddy.farm/i/glass-jar/,3
Glass Orb,https://buddy.farm/i/glass-orb/,Fire Ant Farm,https://buddy.farm/i/fire-ant-farm/,3
Glass Orb,https://buddy.farm/i/glass-orb/,Energy Coil,https://buddy.farm/i/energy-coil/,1
Glass Orb,https://buddy.farm/i/glass-orb/,Fancy Clock,https://buddy.farm/i/fancy-clock/,4
Glass Orb,https://buddy.farm/i/glass-orb/,Essence of Slime,https://buddy.farm/i/essence-of-slime/,1
Glass Orb,https://buddy.farm/i/glass-orb/,Fancy Table,https://buddy.farm/i/fancy-table/,8
Glass Orb,https://buddy.farm/i/glass-orb/,Steel Vise,https://buddy.farm/i/steel-vise/,2
Glass Orb,https://buddy.farm/i/glass-orb/,Steel,https://buddy.farm/i/steel/,1
Glowshroom,https://buddy.farm/i/glowshroom/,Glowing Lantern,https://buddy.farm/i/glowing-lantern/,4
Glowshroom,https://buddy.farm/i/glowshroom/,Strong Paste,https://buddy.farm/i/strong-paste/,2
Gold Boot,https://buddy.farm/i/gold-boot/,Pair of Gold Boots,https://buddy.farm/i/pair-of-gold-boots/,2
Gold Leaf,https://buddy.farm/i/gold-leaf/,Magus Hat,https://buddy.farm/i/magus-hat/,1
Gold Leaf,https://buddy.farm/i/gold-leaf/,Fancy Sword,https://buddy.farm/i/fancy-sword/,2
Gold Ring,https://buddy.farm/i/gold-ring/,Gold Diamond Ring,https://buddy.farm/i/gold-diamond-ring/,1
Gold Ring,https://buddy.farm/i/gold-ring/,Gold Jade Ring,https://buddy.farm/i/gold-jade-ring/,1
Gold Ring,https://buddy.farm/i/gold-ring/,Gold Lemon Quartz Ring,https://buddy.farm/i/gold-lemon-quartz-ring/,1
Gold Ring,https://buddy.farm/i/gold-ring/,Gold Ruby Ring,https://buddy.farm/i/gold-ruby-ring/,1
Gold Ring,https://buddy.farm/i/gold-ring/,Gold Emerald Ring,https://buddy.farm/i/gold-emerald-ring/,1
Gold Ring,https://buddy.farm/i/gold-ring/,Gold Garnet Ring,https://buddy.farm/i/gold-garnet-ring/,1
Gold Ring,https://buddy.farm/i/gold-ring/,Gold Aquamarine Ring,https://buddy.farm/i/gold-aquamarine-ring/,1
Grapes,https://buddy.farm/i/grapes/,Wine,https://buddy.farm/i/wine/,100
Grapes,https://buddy.farm/i/grapes/,Grape Juice,https://buddy.farm/i/grape-juice/,200
Grapes,https://buddy.farm/i/grapes/,Fruit Punch,https://buddy.farm/i/fruit-punch/,25
Green Dye,https://buddy.farm/i/green-dye/,Green Scarf,https://buddy.farm/i/green-scarf/,1
Green Dye,https://buddy.farm/i/green-dye/,Green Top Hat,https://buddy.farm/i/green-top-hat/,4
Green Dye,https://buddy.farm/i/green-dye/,Green Cloak,https://buddy.farm/i/green-cloak/,10
Green Dye,https://buddy.farm/i/green-dye/,Green Twine,https://buddy.farm/i/green-twine/,1
Green Dye,https://buddy.farm/i/green-dye/,Fancy Chair,https://buddy.farm/i/fancy-chair/,1
Green Dye,https://buddy.farm/i/green-dye/,Gainite,https://buddy.farm/i/gainite/,500
Green Dye,https://buddy.farm/i/green-dye/,Green Shield,https://buddy.farm/i/green-shield/,1
Green Dye,https://buddy.farm/i/green-dye/,Grand Piano,https://buddy.farm/i/grand-piano/,5
Green Dye,https://buddy.farm/i/green-dye/,Green Butterfly,https://buddy.farm/i/green-butterfly/,1
Green Dye,https://buddy.farm/i/green-dye/,Tie Dye Scarf,https://buddy.farm/i/tie-dye-scarf/,1
Green Dye,https://buddy.farm/i/green-dye/,Green Shirt,https://buddy.farm/i/green-shirt/,1
Green Dye,https://buddy.farm/i/green-dye/,Propeller Hat,https://buddy.farm/i/propeller-hat/,2
Green Parchment,https://buddy.farm/i/green-parchment/,Green Diary,https://buddy.farm/i/green-diary/,1
Green Twine,https://buddy.farm/i/green-twine/,Rucksack,https://buddy.farm/i/rucksack/,4
Green Twine,https://buddy.farm/i/green-twine/,Glowing Lantern,https://buddy.farm/i/glowing-lantern/,2
Grubs,https://buddy.farm/i/grubs/,Chum,https://buddy.farm/i/chum/,7
Hammer,https://buddy.farm/i/hammer/,Gazebo,https://buddy.farm/i/gazebo/,1
Hammer,https://buddy.farm/i/hammer/,Frost Shield,https://buddy.farm/i/frost-shield/,1
Hammer,https://buddy.farm/i/hammer/,Grand Piano,https://buddy.farm/i/grand-piano/,1
Hammer,https://buddy.farm/i/hammer/,Handsaw,https://buddy.farm/i/handsaw/,1
Hammer,https://buddy.farm/i/hammer/,Essence of Slime,https://buddy.farm/i/essence-of-slime/,1
Hammer,https://buddy.farm/i/hammer/,Steel Buckle,https://buddy.farm/i/steel-buckle/,1
Hammer,https://buddy.farm/i/hammer/,Salt,https://buddy.farm/i/salt/,1
Hammer,https://buddy.farm/i/hammer/,Propeller Hat,https://buddy.farm/i/propeller-hat/,1
Handsaw,https://buddy.farm/i/handsaw/,Oak Table,https://buddy.farm/i/oak-table/,1
