output_item_name,output_buddy_url,recipe_type,ingredient_item_name,ingredient_buddy_url,quantity
Black Shield,https://buddy.farm/i/black-shield/,craft,Sturdy Shield,https://buddy.farm/i/sturdy-shield/,1
Black Shield,https://buddy.farm/i/black-shield/,craft,Black Dye,https://buddy.farm/i/black-dye/,1
Black Shirt,https://buddy.farm/i/black-shirt/,craft,Sewing Needle,https://buddy.farm/i/sewing-needle/,1
Black Shirt,https://buddy.farm/i/black-shirt/,craft,Black Dye,https://buddy.farm/i/black-dye/,1
Black Shirt,https://buddy.farm/i/black-shirt/,craft,Cloth,https://buddy.farm/i/cloth/,10
Black Twine,https://buddy.farm/i/black-twine/,craft,Twine,https://buddy.farm/i/twine/,1
Black Twine,https://buddy.farm/i/black-twine/,craft,Black Dye,https://buddy.farm/i/black-dye/,1
Block of Wood,https://buddy.farm/i/block-of-wood/,craft,Axe,https://buddy.farm/i/axe/,1
Block of Wood,https://buddy.farm/i/block-of-wood/,craft,Pine Tree,https://buddy.farm/i/pine-tree/,1
Block of Wood,https://buddy.farm/i/block-of-wood/,craft,Handsaw,https://buddy.farm/i/handsaw/,1
Blue Butterfly,https://buddy.farm/i/blue-butterfly/,craft,Wood,https://buddy.farm/i/wood/,1
Blue Butterfly,https://buddy.farm/i/blue-butterfly/,craft,Caterpillar,https://buddy.farm/i/caterpillar/,1
Blue Butterfly,https://buddy.farm/i/blue-butterfly/,craft,Blue Dye,https://buddy.farm/i/blue-dye/,1
Blue Butterfly,https://buddy.farm/i/blue-butterfly/,craft,Silk,https://buddy.farm/i/silk/,3
Blue Diary,https://buddy.farm/i/blue-diary/,craft,White Parchment,https://buddy.farm/i/white-parchment/,1
Blue Diary,https://buddy.farm/i/blue-diary/,craft,Blue Parchment,https://buddy.farm/i/blue-parchment/,1
Blue Diary,https://buddy.farm/i/blue-diary/,craft,Mushroom Paste,https://buddy.farm/i/mushroom-paste/,1
Blue Dye,https://buddy.farm/i/blue-dye/,craft,Glass Bottle,https://buddy.farm/i/glass-bottle/,1
Blue Dye,https://buddy.farm/i/blue-dye/,craft,Blue Feathers,https://buddy.farm/i/blue-feathers/,3
Blue Parchment,https://buddy.farm/i/blue-parchment/,craft,Blue Feathers,https://buddy.farm/i/blue-feathers/,3
Blue Purse,https://buddy.farm/i/blue-purse/,craft,Blue Dye,https://buddy.farm/i/blue-dye/,1
Blue Purse,https://buddy.farm/i/blue-purse/,craft,Coin Purse,https://buddy.farm/i/coin-purse/,1
Blue Shirt,https://buddy.farm/i/blue-shirt/,craft,Blue Dye,https://buddy.farm/i/blue-dye/,1
Blue Shirt,https://buddy.farm/i/blue-shirt/,craft,Sewing Needle,https://buddy.farm/i/sewing-needle/,1
Blue Shirt,https://buddy.farm/i/blue-shirt/,craft,Cloth,https://buddy.farm/i/cloth/,10
Blue Twine,https://buddy.farm/i/blue-twine/,craft,Twine,https://buddy.farm/i/twine/,1
Blue Twine,https://buddy.farm/i/blue-twine/,craft,Blue Dye,https://buddy.farm/i/blue-dye/,1
Board,https://buddy.farm/i/board/,craft,Wood,https://buddy.farm/i/wood/,5
Bone Broth,https://buddy.farm/i/bone-broth/,cooking,Bone,https://buddy.farm/i/bone/,10
Bone Broth,https://buddy.farm/i/bone-broth/,cooking,Coal,https://buddy.farm/i/coal/,5
Bone Broth,https://buddy.farm/i/bone-broth/,cooking,Cooking Pot,https://buddy.farm/i/cooking-pot/,1
Bone Pickaxe,https://buddy.farm/i/bone-pickaxe/,craft,Mushroom Paste,https://buddy.farm/i/mushroom-paste/,1
Bone Pickaxe,https://buddy.farm/i/bone-pickaxe/,craft,Bone,https://buddy.farm/i/bone/,1
Bone Pickaxe,https://buddy.farm/i/bone-pickaxe/,craft,Pickaxe,https://buddy.farm/i/pickaxe/,1
Bottle Rocket,https://buddy.farm/i/bottle-rocket/,craft,Black Powder,https://buddy.farm/i/black-powder/,1
Bottle Rocket,https://buddy.farm/i/bottle-rocket/,craft,Wood,https://buddy.farm/i/wood/,3
Bottle Rocket,https://buddy.farm/i/bottle-rocket/,craft,Feathers,https://buddy.farm/i/feathers/,2
Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,craft,Red Flowers,https://buddy.farm/i/red-flowers/,2
Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,craft,White Parchment,https://buddy.farm/i/white-parchment/,1
Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,craft,Yellow Flowers,https://buddy.farm/i/yellow-flowers/,2
Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,craft,Blue Flowers,https://buddy.farm/i/blue-flowers/,2
Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,craft,Orange Flowers,https://buddy.farm/i/orange-flowers/,2
Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,craft,Twine,https://buddy.farm/i/twine/,1
Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,craft,White Flowers,https://buddy.farm/i/white-flowers/,2
Breakfast Boost,https://buddy.farm/i/breakfast-boost/,cooking,Coal,https://buddy.farm/i/coal/,120
Breakfast Boost,https://buddy.farm/i/breakfast-boost/,cooking,Flour,https://buddy.farm/i/flour/,4
Breakfast Boost,https://buddy.farm/i/breakfast-boost/,cooking,Eggs,https://buddy.farm/i/eggs/,3
Breakfast Boost,https://buddy.farm/i/breakfast-boost/,cooking,Cabbage,https://buddy.farm/i/cabbage/,2
Breakfast Boost,https://buddy.farm/i/breakfast-boost/,cooking,Butter,https://buddy.farm/i/butter/,1
Breakfast Boost,https://buddy.farm/i/breakfast-boost/,cooking,Cheese,https://buddy.farm/i/cheese/,1
Breakfast Boost,https://buddy.farm/i/breakfast-boost/,cooking,Grape Juice,https://buddy.farm/i/grape-juice/,1
Broom,https://buddy.farm/i/broom/,craft,Board,https://buddy.farm/i/board/,1
Broom,https://buddy.farm/i/broom/,craft,Straw,https://buddy.farm/i/straw/,1
Brown Bag,https://buddy.farm/i/brown-bag/,craft,Leather Bag,https://buddy.farm/i/leather-bag/,1
Brown Bag,https://buddy.farm/i/brown-bag/,craft,Brown Dye,https://buddy.farm/i/brown-dye/,1
Brown Cloak,https://buddy.farm/i/brown-cloak/,craft,Leather,https://buddy.farm/i/leather/,5
Brown Cloak,https://buddy.farm/i/brown-cloak/,craft,Twine,https://buddy.farm/i/twine/,10
Brown Cloak,https://buddy.farm/i/brown-cloak/,craft,Cotton,https://buddy.farm/i/cotton/,1
Brown Cloak,https://buddy.farm/i/brown-cloak/,craft,Brown Dye,https://buddy.farm/i/brown-dye/,10
Brown Dye,https://buddy.farm/i/brown-dye/,craft,Glass Bottle,https://buddy.farm/i/glass-bottle/,1
Brown Dye,https://buddy.farm/i/brown-dye/,craft,Mudcap,https://buddy.farm/i/mudcap/,3
Brown Twine,https://buddy.farm/i/brown-twine/,craft,Twine,https://buddy.farm/i/twine/,1
Brown Twine,https://buddy.farm/i/brown-twine/,craft,Brown Dye,https://buddy.farm/i/brown-dye/,1
Bucket,https://buddy.farm/i/bucket/,craft,Board,https://buddy.farm/i/board/,5
Bucket,https://buddy.farm/i/bucket/,craft,Iron,https://buddy.farm/i/iron/,1
Butter,https://buddy.farm/i/butter/,craft,Milk,https://buddy.farm/i/milk/,25
Butter,https://buddy.farm/i/butter/,craft,Salt,https://buddy.farm/i/salt/,1
Butter,https://buddy.farm/i/butter/,craft,Butter Churn,https://buddy.farm/i/butter-churn/,1
Butter Churn,https://buddy.farm/i/butter-churn/,craft,Board,https://buddy.farm/i/board/,1
Butter Churn,https://buddy.farm/i/butter-churn/,craft,Wooden Barrel,https://buddy.farm/i/wooden-barrel/,1
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Coal,https://buddy.farm/i/coal/,480
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Cabbage,https://buddy.farm/i/cabbage/,250
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Salt,https://buddy.farm/i/salt/,50
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Carrot,https://buddy.farm/i/carrot/,40
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Potato,https://buddy.farm/i/potato/,40
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Herbs,https://buddy.farm/i/herbs/,25
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Leek,https://buddy.farm/i/leek/,25
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Onion,https://buddy.farm/i/onion/,25
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Tomato,https://buddy.farm/i/tomato/,15
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cooking,Bone Broth,https://buddy.farm/i/bone-broth/,5
Cannon,https://buddy.farm/i/cannon/,craft,Board,https://buddy.farm/i/board/,12
Cannon,https://buddy.farm/i/cannon/,craft,Black Powder,https://buddy.farm/i/black-powder/,10
Cannon,https://buddy.farm/i/cannon/,craft,Steel,https://buddy.farm/i/steel/,25
Cannon,https://buddy.farm/i/cannon/,craft,Machine Part,https://buddy.farm/i/machine-part/,6
Cannon,https://buddy.farm/i/cannon/,craft,Scrap Metal,https://buddy.farm/i/scrap-metal/,25
Cannon,https://buddy.farm/i/cannon/,craft,Emberstone,https://buddy.farm/i/emberstone/,10
Cannon,https://buddy.farm/i/cannon/,craft,Wagon Wheel,https://buddy.farm/i/wagon-wheel/,4
Canoe,https://buddy.farm/i/canoe/,craft,Blue Gel,https://buddy.farm/i/blue-gel/,10
Canoe,https://buddy.farm/i/canoe/,craft,Board,https://buddy.farm/i/board/,4
Canoe,https://buddy.farm/i/canoe/,craft,Mushroom Paste,https://buddy.farm/i/mushroom-paste/,5
Canoe,https://buddy.farm/i/canoe/,craft,Nails,https://buddy.farm/i/nails/,10
Canoe,https://buddy.farm/i/canoe/,craft,Rope,https://buddy.farm/i/rope/,2
Canoe,https://buddy.farm/i/canoe/,craft,Oak,https://buddy.farm/i/oak/,100
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cooking,Coal,https://buddy.farm/i/coal/,120
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cooking,Fish Bones,https://buddy.farm/i/fish-bones/,25
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cooking,Milk,https://buddy.farm/i/milk/,5
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cooking,Onion,https://buddy.farm/i/onion/,5
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cooking,Essence of Slime,https://buddy.farm/i/essence-of-slime/,3
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cooking,Bone Broth,https://buddy.farm/i/bone-broth/,1
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cooking,Cooking Pot,https://buddy.farm/i/cooking-pot/,1
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cooking,Salt,https://buddy.farm/i/salt/,1
Chum,https://buddy.farm/i/chum/,craft,Minnows,https://buddy.farm/i/minnows/,4
Chum,https://buddy.farm/i/chum/,craft,Worms,https://buddy.farm/i/worms/,10
Chum,https://buddy.farm/i/chum/,craft,Bucket,https://buddy.farm/i/bucket/,1
Chum,https://buddy.farm/i/chum/,craft,Grubs,https://buddy.farm/i/grubs/,7
Cloth,https://buddy.farm/i/cloth/,craft,Scrap Cloth,https://buddy.farm/i/scrap-cloth/,3
Coin Purse,https://buddy.farm/i/coin-purse/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,1
Coin Purse,https://buddy.farm/i/coin-purse/,craft,Leather,https://buddy.farm/i/leather/,2
Compass,https://buddy.farm/i/compass/,craft,Ruby,https://buddy.farm/i/ruby/,1
Compass,https://buddy.farm/i/compass/,craft,Aquamarine,https://buddy.farm/i/aquamarine/,1
Compass,https://buddy.farm/i/compass/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,1
Compass,https://buddy.farm/i/compass/,craft,Twine,https://buddy.farm/i/twine/,1
Compass,https://buddy.farm/i/compass/,craft,Small Screw,https://buddy.farm/i/small-screw/,4
Compass,https://buddy.farm/i/compass/,craft,Magna Core,https://buddy.farm/i/magna-core/,1
Compass,https://buddy.farm/i/compass/,craft,Wood,https://buddy.farm/i/wood/,2
Compass,https://buddy.farm/i/compass/,craft,Glass Orb,https://buddy.farm/i/glass-orb/,1
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Coal,https://buddy.farm/i/coal/,750
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Grapes,https://buddy.farm/i/grapes/,100
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Sweet Root,https://buddy.farm/i/sweet-root/,100
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Flour,https://buddy.farm/i/flour/,25
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Eggs,https://buddy.farm/i/eggs/,10
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Salt,https://buddy.farm/i/salt/,10
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Butter,https://buddy.farm/i/butter/,5
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Milk,https://buddy.farm/i/milk/,1
Concord Grape Pie,https://buddy.farm/i/concord-grape-pie/,cooking,Pie Pan,https://buddy.farm/i/pie-pan/,1
Control Box,https://buddy.farm/i/control-box/,craft,Small Screw,https://buddy.farm/i/small-screw/,2
Control Box,https://buddy.farm/i/control-box/,craft,Steel Plate,https://buddy.farm/i/steel-plate/,2
Control Box,https://buddy.farm/i/control-box/,craft,Small Spring,https://buddy.farm/i/small-spring/,3
Control Box,https://buddy.farm/i/control-box/,craft,Broken Pipe,https://buddy.farm/i/broken-pipe/,3
Control Box,https://buddy.farm/i/control-box/,craft,Machine Part,https://buddy.farm/i/machine-part/,10
Control Box,https://buddy.farm/i/control-box/,craft,Moonstone,https://buddy.farm/i/moonstone/,3
Cooking Pot,https://buddy.farm/i/cooking-pot/,craft,Moonstone,https://buddy.farm/i/moonstone/,1
Cooking Pot,https://buddy.farm/i/cooking-pot/,craft,Iron,https://buddy.farm/i/iron/,25
Cooking Pot,https://buddy.farm/i/cooking-pot/,craft,Emberstone,https://buddy.farm/i/emberstone/,25
Corn Husk Doll,https://buddy.farm/i/corn-husk-doll/,craft,Corn,https://buddy.farm/i/corn/,3
Corn Husk Doll,https://buddy.farm/i/corn-husk-doll/,craft,Red Twine,https://buddy.farm/i/red-twine/,5
Corn Husk Doll,https://buddy.farm/i/corn-husk-doll/,craft,Wooden Button,https://buddy.farm/i/wooden-button/,2
Corn Oil,https://buddy.farm/i/corn-oil/,craft,Corn,https://buddy.farm/i/corn/,8
Corn Oil,https://buddy.farm/i/corn-oil/,craft,Machine Press,https://buddy.farm/i/machine-press/,1
Corn Oil,https://buddy.farm/i/corn-oil/,craft,Glass Bottle,https://buddy.farm/i/glass-bottle/,1
Crossbow,https://buddy.farm/i/crossbow/,craft,Arrowhead,https://buddy.farm/i/arrowhead/,1
Crossbow,https://buddy.farm/i/crossbow/,craft,Iron,https://buddy.farm/i/iron/,2
Crossbow,https://buddy.farm/i/crossbow/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,2
Crossbow,https://buddy.farm/i/crossbow/,craft,Steel Wire,https://buddy.farm/i/steel-wire/,2
Crossbow,https://buddy.farm/i/crossbow/,craft,Oak,https://buddy.farm/i/oak/,3
Crown of Clover,https://buddy.farm/i/crown-of-clover/,craft,3-leaf Clover,https://buddy.farm/i/3-leaf-clover/,20
Crown of Clover,https://buddy.farm/i/crown-of-clover/,craft,4-leaf Clover,https://buddy.farm/i/4-leaf-clover/,2
Crown of Clover,https://buddy.farm/i/crown-of-clover/,craft,Steel Wire,https://buddy.farm/i/steel-wire/,1
Crystal Pickaxe,https://buddy.farm/i/crystal-pickaxe/,craft,Stone,https://buddy.farm/i/stone/,1
Crystal Pickaxe,https://buddy.farm/i/crystal-pickaxe/,craft,Mushroom Paste,https://buddy.farm/i/mushroom-paste/,1
Crystal Pickaxe,https://buddy.farm/i/crystal-pickaxe/,craft,Pickaxe,https://buddy.farm/i/pickaxe/,1
Crystal Pickaxe,https://buddy.farm/i/crystal-pickaxe/,craft,Fairy Crystal,https://buddy.farm/i/fairy-crystal/,1
Crystal Pickaxe,https://buddy.farm/i/crystal-pickaxe/,craft,Lapis Lazuli,https://buddy.farm/i/lapis-lazuli/,1
Emerald,https://buddy.farm/i/emerald/,craft,Unpolished Emerald,https://buddy.farm/i/unpolished-emerald/,2
Emerald,https://buddy.farm/i/emerald/,craft,Stone,https://buddy.farm/i/stone/,2
Emerald Ring,https://buddy.farm/i/emerald-ring/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,1
Emerald Ring,https://buddy.farm/i/emerald-ring/,craft,Mushroom Paste,https://buddy.farm/i/mushroom-paste/,1
Emerald Ring,https://buddy.farm/i/emerald-ring/,craft,Emerald,https://buddy.farm/i/emerald/,1
Energy Coil,https://buddy.farm/i/energy-coil/,craft,Transistor,https://buddy.farm/i/transistor/,25
Energy Coil,https://buddy.farm/i/energy-coil/,craft,Glass Orb,https://buddy.farm/i/glass-orb/,1
Energy Coil,https://buddy.farm/i/energy-coil/,craft,Steel,https://buddy.farm/i/steel/,2
Energy Coil,https://buddy.farm/i/energy-coil/,craft,Wrench,https://buddy.farm/i/wrench/,1
Energy Coil,https://buddy.farm/i/energy-coil/,craft,Scrap Wire,https://buddy.farm/i/scrap-wire/,8
Energy Coil,https://buddy.farm/i/energy-coil/,craft,Spool of Copper,https://buddy.farm/i/spool-of-copper/,1
Engine,https://buddy.farm/i/engine/,craft,Belt Drive,https://buddy.farm/i/belt-drive/,1
Engine,https://buddy.farm/i/engine/,craft,Magicite,https://buddy.farm/i/magicite/,1
Engine,https://buddy.farm/i/engine/,craft,Pear Grease,https://buddy.farm/i/pear-grease/,1
Engine,https://buddy.farm/i/engine/,craft,Energy Coil,https://buddy.farm/i/energy-coil/,1
Engine,https://buddy.farm/i/engine/,craft,Kill Switch,https://buddy.farm/i/kill-switch/,1
Engine,https://buddy.farm/i/engine/,craft,Power Monitor,https://buddy.farm/i/power-monitor/,1
Engine,https://buddy.farm/i/engine/,craft,Steel Plate,https://buddy.farm/i/steel-plate/,1
Engine,https://buddy.farm/i/engine/,craft,Control Box,https://buddy.farm/i/control-box/,1
Engine,https://buddy.farm/i/engine/,craft,Flywheel,https://buddy.farm/i/flywheel/,1
Engine,https://buddy.farm/i/engine/,craft,Steel Wire,https://buddy.farm/i/steel-wire/,50
Engine,https://buddy.farm/i/engine/,craft,Transistor,https://buddy.farm/i/transistor/,12
Engine,https://buddy.farm/i/engine/,craft,Steel,https://buddy.farm/i/steel/,20
Essence of Slime,https://buddy.farm/i/essence-of-slime/,craft,Glass Orb,https://buddy.farm/i/glass-orb/,1
Essence of Slime,https://buddy.farm/i/essence-of-slime/,craft,Slimestone,https://buddy.farm/i/slimestone/,2
Essence of Slime,https://buddy.farm/i/essence-of-slime/,craft,Iron Ring,https://buddy.farm/i/iron-ring/,1
Essence of Slime,https://buddy.farm/i/essence-of-slime/,craft,Hammer,https://buddy.farm/i/hammer/,1
Explosive,https://buddy.farm/i/explosive/,craft,Board,https://buddy.farm/i/board/,3
Explosive,https://buddy.farm/i/explosive/,craft,Nails,https://buddy.farm/i/nails/,6
Explosive,https://buddy.farm/i/explosive/,craft,Feathers,https://buddy.farm/i/feathers/,1
Explosive,https://buddy.farm/i/explosive/,craft,Black Powder,https://buddy.farm/i/black-powder/,2
Fancy Chair,https://buddy.farm/i/fancy-chair/,craft,Leather,https://buddy.farm/i/leather/,4
Fancy Chair,https://buddy.farm/i/fancy-chair/,craft,Red Dye,https://buddy.farm/i/red-dye/,1
Fancy Chair,https://buddy.farm/i/fancy-chair/,craft,Nails,https://buddy.farm/i/nails/,8
Fancy Chair,https://buddy.farm/i/fancy-chair/,craft,Twine,https://buddy.farm/i/twine/,8
Fancy Chair,https://buddy.farm/i/fancy-chair/,craft,Green Dye,https://buddy.farm/i/green-dye/,1
Fancy Chair,https://buddy.farm/i/fancy-chair/,craft,Cotton,https://buddy.farm/i/cotton/,6
Fancy Chair,https://buddy.farm/i/fancy-chair/,craft,Oak,https://buddy.farm/i/oak/,50
Fancy Clock,https://buddy.farm/i/fancy-clock/,craft,Oak,https://buddy.farm/i/oak/,12
