item_name,candidate_buddy_url,generated_buddy_slug,extraction_status,recipe_type,http_status,ingredient_count,used_in_count,cooking_level,base_time,flags,notes
Arnold Palmer,https://buddy.farm/i/arnold-palmer/,arnold-palmer,recipe_found,craft,200,2,0,,,,
Arrowhead,https://buddy.farm/i/arrowhead/,arrowhead,no_recipe,,200,0,2,,,,
Ashes of Pentagorn,https://buddy.farm/i/ashes-of-pentagorn/,ashes-of-pentagorn,no_recipe,,200,0,0,,,,
Awl,https://buddy.farm/i/awl/,awl,recipe_found,craft,200,3,6,,,,
Axe,https://buddy.farm/i/axe/,axe,recipe_found,craft,200,5,3,,,,
B for Buddies,https://buddy.farm/i/b-for-buddies/,b-for-buddies,no_recipe,,200,0,0,,,,
Baba Bobblehead,https://buddy.farm/i/baba-bobblehead/,baba-bobblehead,no_recipe,,200,0,0,,,,
Baba Cola,https://buddy.farm/i/baba-cola/,baba-cola,no_recipe,,200,0,0,,,,
Baba Gec's Cabbage Stew,https://buddy.farm/i/baba-gec-s-cabbage-stew/,baba-gec-s-cabbage-stew,no_recipe,,200,0,0,,,,
Baba's Snack Pack,https://buddy.farm/i/baba-s-snack-pack/,baba-s-snack-pack,no_recipe,,200,0,0,,,,
Backpack,https://buddy.farm/i/backpack/,backpack,no_recipe,,200,0,0,,,,
Backstabbing Dagger,https://buddy.farm/i/backstabbing-dagger/,backstabbing-dagger,no_recipe,,200,0,0,,,,
Bacon,https://buddy.farm/i/bacon/,bacon,no_recipe,,200,0,0,,,,
Bag of Ghost Candy,https://buddy.farm/i/bag-of-ghost-candy/,bag-of-ghost-candy,no_recipe,,200,0,0,,,,
Bag of Presents 01,https://buddy.farm/i/bag-of-presents-01/,bag-of-presents-01,no_recipe,,200,0,0,,,,
Bag of Presents 02,https://buddy.farm/i/bag-of-presents-02/,bag-of-presents-02,no_recipe,,200,0,0,,,,
Bag of Snowballs,https://buddy.farm/i/bag-of-snowballs/,bag-of-snowballs,no_recipe,,200,0,0,,,,
Bag of Spring Seeds,https://buddy.farm/i/bag-of-spring-seeds/,bag-of-spring-seeds,no_recipe,,200,0,0,,,,
Bahltruvian Scales,https://buddy.farm/i/bahltruvian-scales/,bahltruvian-scales,no_recipe,,200,0,0,,,,
Bait Bag 01,https://buddy.farm/i/bait-bag-01/,bait-bag-01,no_recipe,,200,0,0,,,,
Bamboo,https://buddy.farm/i/bamboo/,bamboo,no_recipe,,200,0,5,,,,
Bamboo Chair,https://buddy.farm/i/bamboo-chair/,bamboo-chair,recipe_found,craft,200,3,0,,,,
Bamboo Fence,https://buddy.farm/i/bamboo-fence/,bamboo-fence,recipe_found,craft,200,3,0,,,,
Bamboo Flute,https://buddy.farm/i/bamboo-flute/,bamboo-flute,recipe_found,craft,200,3,0,,,,
Bamboo Rope,https://buddy.farm/i/bamboo-rope/,bamboo-rope,recipe_found,craft,200,1,0,,,,
Bamboo Trellis,https://buddy.farm/i/bamboo-trellis/,bamboo-trellis,recipe_found,craft,200,2,0,,,,
Banana Peel,https://buddy.farm/i/banana-peel/,banana-peel,no_recipe,,200,0,0,,,,
Bananas,https://buddy.farm/i/bananas/,bananas,no_recipe,,200,0,0,,,,
Bar of Silver,https://buddy.farm/i/bar-of-silver/,bar-of-silver,no_recipe,,200,0,0,,,,
Barbed Wire,https://buddy.farm/i/barbed-wire/,barbed-wire,recipe_found,craft,200,2,0,,,,
Barnacle Shell,https://buddy.farm/i/barnacle-shell/,barnacle-shell,no_recipe,,200,0,0,,,,
Barracuda,https://buddy.farm/i/barracuda/,barracuda,no_recipe,,200,0,0,,,,
Basic Pillow,https://buddy.farm/i/basic-pillow/,basic-pillow,recipe_found,craft,200,3,1,,,,
Bat Wing,https://buddy.farm/i/bat-wing/,bat-wing,no_recipe,,200,0,0,,,,
Beach Ball,https://buddy.farm/i/beach-ball/,beach-ball,no_recipe,,200,0,0,,,,
Beach Towel,https://buddy.farm/i/beach-towel/,beach-towel,no_recipe,,200,0,0,,,,
Beach Umbrella,https://buddy.farm/i/beach-umbrella/,beach-umbrella,no_recipe,,200,0,0,,,,
Bear Buddy Doll,https://buddy.farm/i/bear-buddy-doll/,bear-buddy-doll,no_recipe,,200,0,0,,,,
Beary Squishies,https://buddy.farm/i/beary-squishies/,beary-squishies,no_recipe,,200,0,0,,,,
Beatrix Bobblehead,https://buddy.farm/i/beatrix-bobblehead/,beatrix-bobblehead,no_recipe,,200,0,0,,,,
Beatrix's Big Box of Boom,https://buddy.farm/i/beatrix-s-big-box-of-boom/,beatrix-s-big-box-of-boom,no_recipe,,200,0,0,,,,
Beatrix's Booming Brawl Box 01,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,beatrix-s-booming-brawl-box-01,no_recipe,,200,0,0,,,,
Beatrix's Booming Brawl Box 02,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,beatrix-s-booming-brawl-box-02,no_recipe,,200,0,0,,,,
Beet,https://buddy.farm/i/beet/,beet,no_recipe,,200,0,1,,,,
Beet Seeds,https://buddy.farm/i/beet-seeds/,beet-seeds,no_recipe,,200,0,0,,,,
Bell,https://buddy.farm/i/bell/,bell,no_recipe,,200,0,0,,,,
Belt Drive,https://buddy.farm/i/belt-drive/,belt-drive,recipe_found,craft,200,3,1,,,,
Belt of Commander Uteer,https://buddy.farm/i/belt-of-commander-uteer/,belt-of-commander-uteer,no_recipe,,200,0,0,,,,
Belt of Freedom,https://buddy.farm/i/belt-of-freedom/,belt-of-freedom,no_recipe,,200,0,0,,,,
Belt of Menace,https://buddy.farm/i/belt-of-menace/,belt-of-menace,no_recipe,,200,0,0,,,,
Belt of Truth,https://buddy.farm/i/belt-of-truth/,belt-of-truth,no_recipe,,200,0,0,,,,
Bessi Gan Belt,https://buddy.farm/i/bessi-gan-belt/,bessi-gan-belt,no_recipe,,200,0,0,,,,
Bird Egg,https://buddy.farm/i/bird-egg/,bird-egg,no_recipe,,200,0,0,,,,
Bird Key,https://buddy.farm/i/bird-key/,bird-key,no_recipe,,200,0,0,,,,
Bird Skull 01,https://buddy.farm/i/bird-skull-01/,bird-skull-01,no_recipe,,200,0,0,,,,
Birthday Present,https://buddy.farm/i/birthday-present/,birthday-present,no_recipe,,200,0,0,,,,
Birthday Suit Buddy Doll,https://buddy.farm/i/birthday-suit-buddy-doll/,birthday-suit-buddy-doll,no_recipe,,200,0,0,,,,
Birthday Surprise Box 03,https://buddy.farm/i/birthday-surprise-box-03/,birthday-surprise-box-03,no_recipe,,200,0,0,,,,
Birthday Surprise Box 04,https://buddy.farm/i/birthday-surprise-box-04/,birthday-surprise-box-04,no_recipe,,200,0,0,,,,
Bitten Apple,https://buddy.farm/i/bitten-apple/,bitten-apple,no_recipe,,200,0,0,,,,
Black Bag,https://buddy.farm/i/black-bag/,black-bag,recipe_found,craft,200,2,0,,,,
Black Cloak,https://buddy.farm/i/black-cloak/,black-cloak,recipe_found,craft,200,4,0,,,,
Black Dye,https://buddy.farm/i/black-dye/,black-dye,recipe_found,craft,200,2,7,,,,
Black Powder,https://buddy.farm/i/black-powder/,black-powder,recipe_found,craft,200,1,3,,,,
Black Purse,https://buddy.farm/i/black-purse/,black-purse,recipe_found,craft,200,2,0,,,,
Black Scarf,https://buddy.farm/i/black-scarf/,black-scarf,recipe_found,craft,200,2,0,,,,
Black Shield,https://buddy.farm/i/black-shield/,black-shield,recipe_found,craft,200,3,0,,,,
Black Shirt,https://buddy.farm/i/black-shirt/,black-shirt,recipe_found,craft,200,3,0,,,,
Black Truffle,https://buddy.farm/i/black-truffle/,black-truffle,no_recipe,,200,0,0,,,,
Black Twine,https://buddy.farm/i/black-twine/,black-twine,recipe_found,craft,200,2,1,,,,
Blitzen,https://buddy.farm/i/blitzen/,blitzen,no_recipe,,200,0,0,,,,
Block of Wood,https://buddy.farm/i/block-of-wood/,block-of-wood,recipe_found,craft,200,3,1,,,,
Blood Crystal,https://buddy.farm/i/blood-crystal/,blood-crystal,no_recipe,,200,0,0,,,,
Blubberfish,https://buddy.farm/i/blubberfish/,blubberfish,no_recipe,,200,0,0,,,,
Blue Butterfly,https://buddy.farm/i/blue-butterfly/,blue-butterfly,recipe_found,craft,200,4,0,,,,
Blue Catfish,https://buddy.farm/i/blue-catfish/,blue-catfish,no_recipe,,200,0,0,,,,
Blue Crab,https://buddy.farm/i/blue-crab/,blue-crab,no_recipe,,200,0,0,,,,
Blue Diary,https://buddy.farm/i/blue-diary/,blue-diary,recipe_found,craft,200,3,0,,,,
Blue Dye,https://buddy.farm/i/blue-dye/,blue-dye,recipe_found,craft,200,2,8,,,,
Blue Feathers,https://buddy.farm/i/blue-feathers/,blue-feathers,no_recipe,,200,0,3,,,,
Blue Flowers,https://buddy.farm/i/blue-flowers/,blue-flowers,no_recipe,,200,0,1,,,,
Blue Gel,https://buddy.farm/i/blue-gel/,blue-gel,no_recipe,,200,0,3,,,,
Blue Milk,https://buddy.farm/i/blue-milk/,blue-milk,no_recipe,,200,0,0,,,,
Blue Ornament,https://buddy.farm/i/blue-ornament/,blue-ornament,no_recipe,,200,0,0,,,,
Blue Parchment,https://buddy.farm/i/blue-parchment/,blue-parchment,recipe_found,craft,200,1,1,,,,
Blue Purse,https://buddy.farm/i/blue-purse/,blue-purse,recipe_found,craft,200,2,0,,,,
Blue Sea Bass,https://buddy.farm/i/blue-sea-bass/,blue-sea-bass,no_recipe,,200,0,0,,,,
Blue Shell,https://buddy.farm/i/blue-shell/,blue-shell,no_recipe,,200,0,1,,,,
Blue Shirt,https://buddy.farm/i/blue-shirt/,blue-shirt,recipe_found,craft,200,3,0,,,,
Blue Spritz,https://buddy.farm/i/blue-spritz/,blue-spritz,no_recipe,,200,0,0,,,,
Blue Star Stomper,https://buddy.farm/i/blue-star-stomper/,blue-star-stomper,no_recipe,,200,0,0,,,,
Blue Tang,https://buddy.farm/i/blue-tang/,blue-tang,no_recipe,,200,0,0,,,,
Blue Tiger Fish,https://buddy.farm/i/blue-tiger-fish/,blue-tiger-fish,no_recipe,,200,0,0,,,,
Blue Twine,https://buddy.farm/i/blue-twine/,blue-twine,recipe_found,craft,200,2,1,,,,
Bluegill,https://buddy.farm/i/bluegill/,bluegill,no_recipe,,200,0,0,,,,
Board,https://buddy.farm/i/board/,board,recipe_found,craft,200,1,24,,,,
Bog Barnacle,https://buddy.farm/i/bog-barnacle/,bog-barnacle,no_recipe,,200,0,0,,,,
Boghead Snapper,https://buddy.farm/i/boghead-snapper/,boghead-snapper,no_recipe,,200,0,0,,,,
Bogslug,https://buddy.farm/i/bogslug/,bogslug,no_recipe,,200,0,0,,,,
Boltonic Love Potion 4,https://buddy.farm/i/boltonic-love-potion-4/,boltonic-love-potion-4,no_recipe,,200,0,0,,,,
Bomb,https://buddy.farm/i/bomb/,bomb,no_recipe,,200,0,0,,,,
Bone,https://buddy.farm/i/bone/,bone,no_recipe,,200,0,4,,,,
Bone 02,https://buddy.farm/i/bone-02/,bone-02,no_recipe,,200,0,0,,,,
Bone 03,https://buddy.farm/i/bone-03/,bone-03,no_recipe,,200,0,0,,,,
Bone 04,https://buddy.farm/i/bone-04/,bone-04,no_recipe,,200,0,0,,,,
Bone 05,https://buddy.farm/i/bone-05/,bone-05,no_recipe,,200,0,0,,,,
Bone 06,https://buddy.farm/i/bone-06/,bone-06,no_recipe,,200,0,0,,,,
Bone Broth,https://buddy.farm/i/bone-broth/,bone-broth,recipe_found,cooking,200,3,0,1,10m,,
Bone Fish,https://buddy.farm/i/bone-fish/,bone-fish,no_recipe,,200,0,0,,,,
Bone Fragments,https://buddy.farm/i/bone-fragments/,bone-fragments,no_recipe,,200,0,0,,,,
Bone Pickaxe,https://buddy.farm/i/bone-pickaxe/,bone-pickaxe,recipe_found,craft,200,3,0,,,,
Boobun's Spray Bottle,https://buddy.farm/i/boobun-s-spray-bottle/,boobun-s-spray-bottle,no_recipe,,200,0,0,,,,
Book of Clues,https://buddy.farm/i/book-of-clues/,book-of-clues,no_recipe,,200,0,0,,,,
Book of Fish,https://buddy.farm/i/book-of-fish/,book-of-fish,no_recipe,,200,0,0,,,,
Book of Flora,https://buddy.farm/i/book-of-flora/,book-of-flora,no_recipe,,200,0,0,,,,
Book of Insects,https://buddy.farm/i/book-of-insects/,book-of-insects,no_recipe,,200,0,0,,,,
Book of Knots,https://buddy.farm/i/book-of-knots/,book-of-knots,no_recipe,,200,0,0,,,,
Book of Maps,https://buddy.farm/i/book-of-maps/,book-of-maps,no_recipe,,200,0,0,,,,
Book of Schemas,https://buddy.farm/i/book-of-schemas/,book-of-schemas,no_recipe,,200,0,0,,,,
Book of Skill,https://buddy.farm/i/book-of-skill/,book-of-skill,no_recipe,,200,0,0,,,,
Book of Spells,https://buddy.farm/i/book-of-spells/,book-of-spells,no_recipe,,200,0,0,,,,
Book of Time,https://buddy.farm/i/book-of-time/,book-of-time,no_recipe,,200,0,0,,,,
Borgen Bag 01,https://buddy.farm/i/borgen-bag-01/,borgen-bag-01,no_recipe,,200,0,0,,,,
Borgen Bobblehead,https://buddy.farm/i/borgen-bobblehead/,borgen-bobblehead,no_recipe,,200,0,0,,,,
Borgen Buck,https://buddy.farm/i/borgen-buck/,borgen-buck,no_recipe,,200,0,0,,,,
Borgen's Dancing Belt,https://buddy.farm/i/borgen-s-dancing-belt/,borgen-s-dancing-belt,no_recipe,,200,0,0,,,,
Bottle Rocket,https://buddy.farm/i/bottle-rocket/,bottle-rocket,recipe_found,craft,200,3,0,,,,
Bouquet of Flowers,https://buddy.farm/i/bouquet-of-flowers/,bouquet-of-flowers,recipe_found,craft,200,7,0,,,,
Bouquet of Roses,https://buddy.farm/i/bouquet-of-roses/,bouquet-of-roses,no_recipe,,200,0,0,,,,
Box of Chocolate 01,https://buddy.farm/i/box-of-chocolate-01/,box-of-chocolate-01,no_recipe,,200,0,0,,,,
Box of Chocolate 02,https://buddy.farm/i/box-of-chocolate-02/,box-of-chocolate-02,no_recipe,,200,0,0,,,,
Box of Holiday Cakes,https://buddy.farm/i/box-of-holiday-cakes/,box-of-holiday-cakes,no_recipe,,200,0,0,,,,
Brain Fungus,https://buddy.farm/i/brain-fungus/,brain-fungus,no_recipe,,200,0,0,,,,
Bread,https://buddy.farm/i/bread/,bread,no_recipe,,200,0,0,,,,
Breakfast Boost,https://buddy.farm/i/breakfast-boost/,breakfast-boost,recipe_found,cooking,200,7,0,40,2h,,
Briomine,https://buddy.farm/i/briomine/,briomine,no_recipe,,200,0,0,,,,
Broccoli,https://buddy.farm/i/broccoli/,broccoli,no_recipe,,200,0,0,,,,
Broccoli Seeds,https://buddy.farm/i/broccoli-seeds/,broccoli-seeds,no_recipe,,200,0,0,,,,
Broken Bangle,https://buddy.farm/i/broken-bangle/,broken-bangle,no_recipe,,200,0,0,,,,
Broken Memory Belt,https://buddy.farm/i/broken-memory-belt/,broken-memory-belt,no_recipe,,200,0,0,,,,
Broken Pipe,https://buddy.farm/i/broken-pipe/,broken-pipe,no_recipe,,200,0,5,,,,
Broken Sword,https://buddy.farm/i/broken-sword/,broken-sword,no_recipe,,200,0,0,,,,
Brooch of the Bahltruvian Elite,https://buddy.farm/i/brooch-of-the-bahltruvian-elite/,brooch-of-the-bahltruvian-elite,no_recipe,,200,0,0,,,,
Broom,https://buddy.farm/i/broom/,broom,recipe_found,craft,200,2,0,,,,
Brown Bag,https://buddy.farm/i/brown-bag/,brown-bag,recipe_found,craft,200,2,0,,,,
Brown Cloak,https://buddy.farm/i/brown-cloak/,brown-cloak,recipe_found,craft,200,4,0,,,,
Brown Dye,https://buddy.farm/i/brown-dye/,brown-dye,recipe_found,craft,200,2,3,,,,
Brown Sugar,https://buddy.farm/i/brown-sugar/,brown-sugar,no_recipe,,200,0,0,,,,
Brown Twine,https://buddy.farm/i/brown-twine/,brown-twine,recipe_found,craft,200,2,0,,,,
Bucket,https://buddy.farm/i/bucket/,bucket,recipe_found,craft,200,2,5,,,,
Buddy Bobblehead,https://buddy.farm/i/buddy-bobblehead/,buddy-bobblehead,no_recipe,,200,0,0,,,,
Buddy Cushion,https://buddy.farm/i/buddy-cushion/,buddy-cushion,no_recipe,,200,0,0,,,,
Buddy Doll,https://buddy.farm/i/buddy-doll/,buddy-doll,no_recipe,,200,0,0,,,,
Buddy Doll Bag 01,https://buddy.farm/i/buddy-doll-bag-01/,buddy-doll-bag-01,no_recipe,,200,0,0,,,,
Buddy Doll Bag 02,https://buddy.farm/i/buddy-doll-bag-02/,buddy-doll-bag-02,no_recipe,,200,0,0,,,,
Buddy Elf on a Shelf,https://buddy.farm/i/buddy-elf-on-a-shelf/,buddy-elf-on-a-shelf,no_recipe,,200,0,0,,,,
Buddy Loves You Card,https://buddy.farm/i/buddy-loves-you-card/,buddy-loves-you-card,no_recipe,,200,0,0,,,,
Buddy's Beach Bag,https://buddy.farm/i/buddy-s-beach-bag/,buddy-s-beach-bag,no_recipe,,200,0,0,,,,
Buddy's Beach Ball,https://buddy.farm/i/buddy-s-beach-ball/,buddy-s-beach-ball,no_recipe,,200,0,0,,,,
Buddy's Old Pirate Belt,https://buddy.farm/i/buddy-s-old-pirate-belt/,buddy-s-old-pirate-belt,no_recipe,,200,0,0,,,,
Buddy's School Bag,https://buddy.farm/i/buddy-s-school-bag/,buddy-s-school-bag,no_recipe,,200,0,0,,,,
Buddy's Sleeping Cap,https://buddy.farm/i/buddy-s-sleeping-cap/,buddy-s-sleeping-cap,no_recipe,,200,0,0,,,,
Buddystone,https://buddy.farm/i/buddystone/,buddystone,no_recipe,,200,0,0,,,,
Bug Bag 01,https://buddy.farm/i/bug-bag-01/,bug-bag-01,no_recipe,,200,0,0,,,,
Bullfish,https://buddy.farm/i/bullfish/,bullfish,no_recipe,,200,0,0,,,,
Bunny Buddy Doll,https://buddy.farm/i/bunny-buddy-doll/,bunny-buddy-doll,no_recipe,,200,0,0,,,,
Bunny Ears,https://buddy.farm/i/bunny-ears/,bunny-ears,no_recipe,,200,0,0,,,,
Butter,https://buddy.farm/i/butter/,butter,recipe_found,craft,200,3,0,,,,
Butter Churn,https://buddy.farm/i/butter-churn/,butter-churn,recipe_found,craft,200,2,1,,,,
Cabbage,https://buddy.farm/i/cabbage/,cabbage,no_recipe,,200,0,0,,,,
Cabbage Seeds,https://buddy.farm/i/cabbage-seeds/,cabbage-seeds,no_recipe,,200,0,0,,,,
Cabbage Stew,https://buddy.farm/i/cabbage-stew/,cabbage-stew,recipe_found,cooking,200,10,0,25,8h,,
Calavera 01,https://buddy.farm/i/calavera-01/,calavera-01,no_recipe,,200,0,0,,,,
Calavera 02,https://buddy.farm/i/calavera-02/,calavera-02,no_recipe,,200,0,0,,,,
Calcifite,https://buddy.farm/i/calcifite/,calcifite,no_recipe,,200,0,0,,,,
Candy,https://buddy.farm/i/candy/,candy,no_recipe,,200,0,0,,,,
Candy Cane,https://buddy.farm/i/candy-cane/,candy-cane,no_recipe,,200,0,0,,,,
Candy Corn,https://buddy.farm/i/candy-corn/,candy-corn,no_recipe,,200,0,0,,,,
Candy Roll,https://buddy.farm/i/candy-roll/,candy-roll,no_recipe,,200,0,0,,,,
Cannon,https://buddy.farm/i/cannon/,cannon,recipe_found,craft,200,7,0,,,,
Canoe,https://buddy.farm/i/canoe/,canoe,recipe_found,craft,200,6,0,,,,
Captains Log,https://buddy.farm/i/captains-log/,captains-log,no_recipe,,200,0,0,,,,
Captured Ghost,https://buddy.farm/i/captured-ghost/,captured-ghost,no_recipe,,200,0,0,,,,
Capy Birthday Card,https://buddy.farm/i/capy-birthday-card/,capy-birthday-card,no_recipe,,200,0,0,,,,
Carbon Sphere,https://buddy.farm/i/carbon-sphere/,carbon-sphere,no_recipe,,200,0,2,,,,
Carnevale,https://buddy.farm/i/carnevale/,carnevale,no_recipe,,200,0,0,,,,
Carp,https://buddy.farm/i/carp/,carp,no_recipe,,200,0,0,,,,
Carrot,https://buddy.farm/i/carrot/,carrot,no_recipe,,200,0,1,,,,
Carrot Seeds,https://buddy.farm/i/carrot-seeds/,carrot-seeds,no_recipe,,200,0,0,,,,
Carved Bear,https://buddy.farm/i/carved-bear/,carved-bear,no_recipe,,200,0,0,,,,
Carved Camel,https://buddy.farm/i/carved-camel/,carved-camel,no_recipe,,200,0,0,,,,
Carved Chicken,https://buddy.farm/i/carved-chicken/,carved-chicken,no_recipe,,200,0,0,,,,
Carved Cow,https://buddy.farm/i/carved-cow/,carved-cow,no_recipe,,200,0,0,,,,
Carved Dragon,https://buddy.farm/i/carved-dragon/,carved-dragon,no_recipe,,200,0,0,,,,
Carved Fox,https://buddy.farm/i/carved-fox/,carved-fox,no_recipe,,200,0,0,,,,
Carved Kitty,https://buddy.farm/i/carved-kitty/,carved-kitty,no_recipe,,200,0,0,,,,
Carved Moose,https://buddy.farm/i/carved-moose/,carved-moose,no_recipe,,200,0,0,,,,
Carved Mouse,https://buddy.farm/i/carved-mouse/,carved-mouse,no_recipe,,200,0,0,,,,
Carved Owl,https://buddy.farm/i/carved-owl/,carved-owl,no_recipe,,200,0,0,,,,
Carved Pig,https://buddy.farm/i/carved-pig/,carved-pig,no_recipe,,200,0,0,,,,
Carved Rabbit,https://buddy.farm/i/carved-rabbit/,carved-rabbit,no_recipe,,200,0,0,,,,
Carved Rhino,https://buddy.farm/i/carved-rhino/,carved-rhino,no_recipe,,200,0,0,,,,
Carved Squirrel,https://buddy.farm/i/carved-squirrel/,carved-squirrel,no_recipe,,200,0,0,,,,
Carved Squisquatch,https://buddy.farm/i/carved-squisquatch/,carved-squisquatch,no_recipe,,200,0,0,,,,
Carved Warthog,https://buddy.farm/i/carved-warthog/,carved-warthog,no_recipe,,200,0,0,,,,
Cat's Meow,https://buddy.farm/i/cat-s-meow/,cat-s-meow,recipe_found,cooking,200,8,0,15,2h,,
Caterpillar,https://buddy.farm/i/caterpillar/,caterpillar,no_recipe,,200,0,7,,,,
Catfish,https://buddy.farm/i/catfish/,catfish,no_recipe,,200,0,0,,,,
Cave Key,https://buddy.farm/i/cave-key/,cave-key,no_recipe,,200,0,0,,,,
Cave Mushroom,https://buddy.farm/i/cave-mushroom/,cave-mushroom,no_recipe,,200,0,0,,,,
Cecil Bobblehead,https://buddy.farm/i/cecil-bobblehead/,cecil-bobblehead,no_recipe,,200,0,0,,,,
Cecil's Shrimp-a-Plenty,https://buddy.farm/i/cecil-s-shrimp-a-plenty/,cecil-s-shrimp-a-plenty,no_recipe,,200,0,0,,,,
Cepathorf's Case,https://buddy.farm/i/cepathorf-s-case/,cepathorf-s-case,no_recipe,,200,0,0,,,,
Certificate of Beet Giving,https://buddy.farm/i/certificate-of-beet-giving/,certificate-of-beet-giving,no_recipe,,200,0,0,,,,
Certificate of Broccoli Giving,https://buddy.farm/i/certificate-of-broccoli-giving/,certificate-of-broccoli-giving,no_recipe,,200,0,0,,,,
Certificate of Cabbage Giving,https://buddy.farm/i/certificate-of-cabbage-giving/,certificate-of-cabbage-giving,no_recipe,,200,0,0,,,,
Certificate of Carrot Giving,https://buddy.farm/i/certificate-of-carrot-giving/,certificate-of-carrot-giving,no_recipe,,200,0,0,,,,
