normalized_key,primary_name,observed_names,match_status,occurrence_count,roles,match_candidate_count,matched_item_name,matched_category,matched_museum_category,matched_obtainable,notes
crossbow,Crossbow,Crossbow,matched,6,page_item; used_in_target,1,Crossbow,Item,Items,Y,
wooden spear,Wooden Spear,Wooden Spear,matched,4,page_item; used_in_target,1,Wooden Spear,Item,Items,Y,
ashes of pentagorn,Ashes of Pentagorn,Ashes of Pentagorn,matched,1,page_item,1,Ashes of Pentagorn,Item,Items,Y,
awl,Awl,Awl,matched,10,ingredient; page_item; used_in_target,1,Awl,Item,Items,Y,
iron,Iron,Iron,matched,31,ingredient; page_item,1,Iron,Item,Items,Y,
wood,Wood,Wood,matched,21,ingredient; page_item,1,Wood,Item,Items,Y,
bamboo flute,Bamboo Flute,Bamboo Flute,matched,4,page_item; used_in_target,1,Bamboo Flute,Item,Items,Y,
rucksack,Rucksack,Rucksack,matched,11,page_item; used_in_target,1,Rucksack,Item,Items,Y,
handsaw,Handsaw,Handsaw,matched,10,ingredient; page_item; used_in_target,1,Handsaw,Item,Items,Y,
leather belt,Leather Belt,Leather Belt,matched,4,page_item; used_in_target,1,Leather Belt,Item,Items,Y,
wooden button,Wooden Button,Wooden Button,matched,6,ingredient; page_item; used_in_target,1,Wooden Button,Item,Items,Y,
sewing needle,Sewing Needle,Sewing Needle,matched,15,ingredient; page_item; used_in_target,1,Sewing Needle,Item,Items,Y,
axe,Axe,Axe,matched,9,ingredient; page_item; used_in_target,1,Axe,Item,Items,Y,
nails,Nails,Nails,matched,28,ingredient; page_item,1,Nails,Item,Items,Y,
board,Board,Board,matched,26,ingredient; page_item; used_in_target,1,Board,Item,Items,Y,
stone,Stone,Stone,matched,20,ingredient; page_item,1,Stone,Item,Items,Y,
tin scraps,Tin Scraps,Tin Scraps,matched,4,ingredient; page_item; used_in_target,1,Tin Scraps,Item,Items,Y,
block of wood,Block of Wood,Block of Wood,matched,5,ingredient; page_item; used_in_target,1,Block of Wood,Item,Items,Y,
spoon,Spoon,Spoon,matched,4,page_item; used_in_target,1,Spoon,Item,Items,Y,
b for buddies,B for Buddies,B for Buddies,matched,1,page_item,1,B for Buddies,Item,Items,Y,
baba bobblehead,Baba Bobblehead,Baba Bobblehead,matched,1,page_item,1,Baba Bobblehead,Item,Items,Y,
baba cola,Baba Cola,Baba Cola,matched,1,page_item,1,Baba Cola,Item,Items,Y,
baba gec's cabbage stew,Baba Gec's Cabbage Stew,Baba Gec's Cabbage Stew,matched,2,page_item; recipe_book,1,Baba Gec's Cabbage Stew,Item,Items,Y,
baba's snack pack,Baba's Snack Pack,Baba's Snack Pack,matched,1,page_item,1,Baba's Snack Pack,Item,Items,Y,
backpack,Backpack,Backpack,matched,1,page_item,1,Backpack,Item,Items,Y,
backstabbing dagger,Backstabbing Dagger,Backstabbing Dagger,matched,1,page_item,1,Backstabbing Dagger,Item,Items,Y,
bacon,Bacon,Bacon,matched,2,ingredient; page_item,1,Bacon,Item,Items,Y,
bag of ghost candy,Bag of Ghost Candy,Bag of Ghost Candy,matched,1,page_item,1,Bag of Ghost Candy,Event,Event,Y,
bag of presents 01,Bag of Presents 01,Bag of Presents 01,matched,1,page_item,1,Bag of Presents 01,Event,Event,Y,
bag of presents 02,Bag of Presents 02,Bag of Presents 02,matched,1,page_item,1,Bag of Presents 02,Event,Event,Y,
bag of snowballs,Bag of Snowballs,Bag of Snowballs,matched,1,page_item,1,Bag of Snowballs,Event,Event,Y,
bag of spring seeds,Bag of Spring Seeds,Bag of Spring Seeds,matched,1,page_item,1,Bag of Spring Seeds,Item,Items,Y,
bahltruvian scales,Bahltruvian Scales,Bahltruvian Scales,matched,1,page_item,1,Bahltruvian Scales,Item,Items,Y,
bait bag 01,Bait Bag 01,Bait Bag 01,matched,1,page_item,1,Bait Bag 01,Item,Items,Y,
bamboo,Bamboo,Bamboo,matched,6,ingredient; page_item,1,Bamboo,Item,Items,Y,
bamboo rope,Bamboo Rope,Bamboo Rope,matched,2,page_item; used_in_target,1,Bamboo Rope,Item,Items,Y,
bamboo fence,Bamboo Fence,Bamboo Fence,matched,4,page_item; used_in_target,1,Bamboo Fence,Item,Items,Y,
bamboo trellis,Bamboo Trellis,Bamboo Trellis,matched,3,page_item; used_in_target,1,Bamboo Trellis,Item,Items,Y,
bamboo chair,Bamboo Chair,Bamboo Chair,matched,4,page_item; used_in_target,1,Bamboo Chair,Item,Items,Y,
twine,Twine,Twine,matched,40,ingredient; page_item; used_in_target,1,Twine,Item,Items,Y,
basic pillow,Basic Pillow,Basic Pillow,matched,5,ingredient; page_item; used_in_target,1,Basic Pillow,Item,Items,Y,
steel wire,Steel Wire,Steel Wire,matched,17,ingredient; page_item; used_in_target,1,Steel Wire,Item,Items,Y,
banana peel,Banana Peel,Banana Peel,matched,1,page_item,1,Banana Peel,Item,Items,N,
bananas,Bananas,Bananas,matched,1,page_item,1,Bananas,Item,Items,Y,
bar of silver,Bar of Silver,Bar of Silver,matched,1,page_item,1,Bar of Silver,Item,Items,Y,
barbed wire,Barbed Wire,Barbed Wire,matched,3,page_item; used_in_target,1,Barbed Wire,Item,Items,Y,
thorns,Thorns,Thorns,matched,2,ingredient; page_item,1,Thorns,Item,Items,Y,
barnacle shell,Barnacle Shell,Barnacle Shell,matched,1,page_item,1,Barnacle Shell,Item,Items,Y,
barracuda,Barracuda,Barracuda,matched,1,page_item,1,Barracuda,Fish,Fish,Y,
feathers,Feathers,Feathers,matched,5,ingredient; page_item,1,Feathers,Item,Items,Y,
cloth,Cloth,Cloth,matched,12,ingredient; page_item; used_in_target,1,Cloth,Item,Items,Y,
bat wing,Bat Wing,Bat Wing,matched,1,page_item,1,Bat Wing,Event,Event,Y,
beach ball,Beach Ball,Beach Ball,matched,1,page_item,1,Beach Ball,Event,Event,Y,
beach towel,Beach Towel,Beach Towel,matched,1,page_item,1,Beach Towel,Item,Items,Y,
beach umbrella,Beach Umbrella,Beach Umbrella,matched,1,page_item,1,Beach Umbrella,Item,Items,Y,
bear buddy doll,Bear Buddy Doll,Bear Buddy Doll,matched,1,page_item,1,Bear Buddy Doll,Item,Items,Y,
beary squishies,Beary Squishies,Beary Squishies,matched,1,page_item,1,Beary Squishies,Item,Items,Y,
beatrix bobblehead,Beatrix Bobblehead,Beatrix Bobblehead,matched,1,page_item,1,Beatrix Bobblehead,Item,Items,Y,
beatrix's big box of boom,Beatrix's Big Box of Boom,Beatrix's Big Box of Boom,matched,1,page_item,1,Beatrix's Big Box of Boom,Item,Items,Y,
beatrix's booming brawl box 01,Beatrix's Booming Brawl Box 01,Beatrix's Booming Brawl Box 01,matched,1,page_item,1,Beatrix's Booming Brawl Box 01,Item,Items,Y,
beatrix's booming brawl box 02,Beatrix's Booming Brawl Box 02,Beatrix's Booming Brawl Box 02,matched,1,page_item,1,Beatrix's Booming Brawl Box 02,Item,Items,Y,
beet,Beet,Beet,matched,2,ingredient; page_item,1,Beet,Crop,Crops,Y,
veggie juice,Veggie Juice,Veggie Juice,matched,12,page_item; used_in_target,1,Veggie Juice,Item,Items,Y,
beet seeds,Beet Seeds,Beet Seeds,matched,1,page_item,1,Beet Seeds,Seed,Seeds,Y,
bell,Bell,Bell,matched,1,page_item,1,Bell,Item,Items,Y,
belt drive,Belt Drive,Belt Drive,matched,5,ingredient; page_item; used_in_target,1,Belt Drive,Item,Items,Y,
purple dye,Purple Dye,Purple Dye,matched,10,ingredient; page_item; used_in_target,1,Purple Dye,Item,Items,Y,
rope,Rope,Rope,matched,7,ingredient; page_item; used_in_target,1,Rope,Item,Items,Y,
pulley,Pulley,Pulley,matched,4,ingredient; page_item,1,Pulley,Item,Items,Y,
engine,Engine,Engine,matched,13,page_item; used_in_target,1,Engine,Item,Items,Y,
belt of commander uteer,Belt of Commander Uteer,Belt of Commander Uteer,matched,1,page_item,1,Belt of Commander Uteer,Item,Items,Y,
belt of freedom,Belt of Freedom,Belt of Freedom,matched,1,page_item,1,Belt of Freedom,Item,Items,Y,
belt of menace,Belt of Menace,Belt of Menace,matched,1,page_item,1,Belt of Menace,Item,Items,Y,
belt of truth,Belt of Truth,Belt of Truth,matched,1,page_item,1,Belt of Truth,Item,Items,Y,
bessi gan belt,Bessi Gan Belt,Bessi Gan Belt,matched,1,page_item,1,Bessi Gan Belt,Item,Items,Y,
bird egg,Bird Egg,Bird Egg,matched,2,ingredient; page_item,1,Bird Egg,Item,Items,Y,
bird key,Bird Key,Bird Key,matched,1,page_item,1,Bird Key,Item,Items,Y,
bird skull 01,Bird Skull 01,Bird Skull 01,matched,1,page_item,1,Bird Skull 01,Item,Items,Y,
birthday present,Birthday Present,Birthday Present,matched,1,page_item,1,Birthday Present,Event,Event,Y,
birthday suit buddy doll,Birthday Suit Buddy Doll,Birthday Suit Buddy Doll,matched,1,page_item,1,Birthday Suit Buddy Doll,Item,Items,Y,
birthday surprise box 03,Birthday Surprise Box 03,Birthday Surprise Box 03,matched,1,page_item,1,Birthday Surprise Box 03,Event,Event,Y,
birthday surprise box 04,Birthday Surprise Box 04,Birthday Surprise Box 04,matched,1,page_item,1,Birthday Surprise Box 04,Event,Event,Y,
bitten apple,Bitten Apple,Bitten Apple,matched,1,page_item,1,Bitten Apple,Item,Items,Y,
black bag,Black Bag,Black Bag,matched,3,page_item; used_in_target,1,Black Bag,Item,Items,Y,
leather bag,Leather Bag,Leather Bag,matched,8,ingredient; page_item; used_in_target,1,Leather Bag,Item,Items,Y,
black dye,Black Dye,Black Dye,matched,10,ingredient; page_item; used_in_target,1,Black Dye,Item,Items,Y,
black cloak,Black Cloak,Black Cloak,matched,5,page_item; used_in_target,1,Black Cloak,Item,Items,Y,
leather,Leather,Leather,matched,25,ingredient; page_item; used_in_target,1,Leather,Item,Items,Y,
cotton,Cotton,Cotton,matched,8,ingredient; page_item,1,Cotton,Crop,Crops,Y,
black twine,Black Twine,Black Twine,matched,4,ingredient; page_item; used_in_target,1,Black Twine,Item,Items,Y,
shadow bloom,Shadow Bloom,Shadow Bloom,matched,2,ingredient; page_item,1,Shadow Bloom,Item,Items,Y,
black purse,Black Purse,Black Purse,matched,3,page_item; used_in_target,1,Black Purse,Item,Items,Y,
black shield,Black Shield,Black Shield,matched,4,page_item; used_in_target,1,Black Shield,Item,Items,Y,
black scarf,Black Scarf,Black Scarf,matched,3,page_item; used_in_target,1,Black Scarf,Item,Items,Y,
black shirt,Black Shirt,Black Shirt,matched,4,page_item; used_in_target,1,Black Shirt,Item,Items,Y,
black powder,Black Powder,Black Powder,matched,5,ingredient; page_item; used_in_target,1,Black Powder,Item,Items,Y,
explosive,Explosive,Explosive,matched,5,page_item; used_in_target,1,Explosive,Item,Items,Y,
bottle rocket,Bottle Rocket,Bottle Rocket,matched,4,page_item; used_in_target,1,Bottle Rocket,Item,Items,Y,
cannon,Cannon,Cannon,matched,8,page_item; used_in_target,1,Cannon,Item,Items,Y,
coin purse,Coin Purse,Coin Purse,matched,7,ingredient; page_item; used_in_target,1,Coin Purse,Item,Items,Y,
yarn,Yarn,Yarn,matched,12,ingredient; page_item; used_in_target,1,Yarn,Item,Items,Y,
steel,Steel,Steel,matched,31,ingredient; page_item; used_in_target,1,Steel,Item,Items,Y,
sturdy shield,Sturdy Shield,Sturdy Shield,matched,5,ingredient; page_item; used_in_target,1,Sturdy Shield,Item,Items,Y,
black truffle,Black Truffle,Black Truffle,matched,1,page_item,1,Black Truffle,Item,Items,Y,
blitzen,Blitzen,Blitzen,matched,1,page_item,1,Blitzen,Event,Event,Y,
pine tree,Pine Tree,Pine Tree,matched,2,ingredient; page_item,1,Pine Tree,Crop,Crops,Y,
grand piano,Grand Piano,Grand Piano,matched,12,page_item; used_in_target,1,Grand Piano,Item,Items,Y,
blood crystal,Blood Crystal,Blood Crystal,matched,1,page_item,1,Blood Crystal,Item,Items,Y,
blubberfish,Blubberfish,Blubberfish,matched,1,page_item,1,Blubberfish,Fish,Fish,Y,
blue butterfly,Blue Butterfly,Blue Butterfly,matched,5,page_item; used_in_target,1,Blue Butterfly,Item,Items,Y,
caterpillar,Caterpillar,Caterpillar,matched,8,ingredient; page_item,1,Caterpillar,Item,Items,Y,
blue dye,Blue Dye,Blue Dye,matched,11,ingredient; page_item; used_in_target,1,Blue Dye,Item,Items,Y,
silk,Silk,Silk,matched,11,ingredient; page_item; used_in_target,1,Silk,Item,Items,Y,
blue catfish,Blue Catfish,Blue Catfish,matched,1,page_item,1,Blue Catfish,Fish,Fish,Y,
blue crab,Blue Crab,Blue Crab,matched,1,page_item,1,Blue Crab,Fish,Fish,Y,
blue diary,Blue Diary,Blue Diary,matched,4,page_item; used_in_target,1,Blue Diary,Item,Items,Y,
white parchment,White Parchment,White Parchment,matched,9,ingredient; page_item; used_in_target,1,White Parchment,Item,Items,Y,
blue parchment,Blue Parchment,Blue Parchment,matched,3,ingredient; page_item; used_in_target,1,Blue Parchment,Item,Items,Y,
blue feathers,Blue Feathers,Blue Feathers,matched,4,ingredient; page_item,1,Blue Feathers,Item,Items,Y,
blue purse,Blue Purse,Blue Purse,matched,3,page_item; used_in_target,1,Blue Purse,Item,Items,Y,
blue twine,Blue Twine,Blue Twine,matched,4,ingredient; page_item; used_in_target,1,Blue Twine,Item,Items,Y,
fancy pan flute,Fancy Pan Flute,Fancy Pan Flute,matched,5,page_item; used_in_target,1,Fancy Pan Flute,Item,Items,Y,
steel vise,Steel Vise,Steel Vise,matched,8,ingredient; page_item; used_in_target,1,Steel Vise,Item,Items,Y,
blue shirt,Blue Shirt,Blue Shirt,matched,4,page_item; used_in_target,1,Blue Shirt,Item,Items,Y,
tie dye scarf,Tie Dye Scarf,Tie Dye Scarf,matched,8,page_item; used_in_target,1,Tie Dye Scarf,Item,Items,Y,
propeller hat,Propeller Hat,Propeller Hat,matched,8,page_item; used_in_target,1,Propeller Hat,Item,Items,Y,
magus hat,Magus Hat,Magus Hat,matched,5,page_item; used_in_target,1,Magus Hat,Item,Items,Y,
blue flowers,Blue Flowers,Blue Flowers,matched,2,ingredient; page_item,1,Blue Flowers,Item,Items,Y,
bouquet of flowers,Bouquet of Flowers,Bouquet of Flowers,matched,8,page_item; used_in_target,1,Bouquet of Flowers,Item,Items,Y,
blue gel,Blue Gel,Blue Gel,matched,4,ingredient; page_item,1,Blue Gel,Item,Items,Y,
canoe,Canoe,Canoe,matched,7,page_item; used_in_target,1,Canoe,Item,Items,Y,
pear grease,Pear Grease,Pear Grease,matched,5,ingredient; page_item; used_in_target,1,Pear Grease,Item,Items,Y,
frost shield,Frost Shield,Frost Shield,matched,6,page_item; used_in_target,1,Frost Shield,Item,Items,Y,
blue milk,Blue Milk,Blue Milk,matched,1,page_item,1,Blue Milk,Item,Items,Y,
blue ornament,Blue Ornament,Blue Ornament,matched,1,page_item,1,Blue Ornament,Event,Event,Y,
blue sea bass,Blue Sea Bass,Blue Sea Bass,matched,1,page_item,1,Blue Sea Bass,Fish,Fish,Y,
blue shell,Blue Shell,Blue Shell,matched,2,ingredient; page_item,1,Blue Shell,Fish,Fish,Y,
seashell necklace,Seashell Necklace,Seashell Necklace,matched,9,page_item; used_in_target,1,Seashell Necklace,Item,Items,Y,
blue spritz,Blue Spritz,Blue Spritz,matched,1,page_item,1,Blue Spritz,Event,Event,Y,
blue star stomper,Blue Star Stomper,Blue Star Stomper,matched,1,page_item,1,Blue Star Stomper,Item,Items,Y,
blue tang,Blue Tang,Blue Tang,matched,1,page_item,1,Blue Tang,Event,Event,Y,
blue tiger fish,Blue Tiger Fish,Blue Tiger Fish,matched,1,page_item,1,Blue Tiger Fish,Fish,Fish,Y,
bluegill,Bluegill,Bluegill,matched,1,page_item,1,Bluegill,Fish,Fish,Y,
wooden barrel,Wooden Barrel,Wooden Barrel,matched,5,ingredient; page_item; used_in_target,1,Wooden Barrel,Item,Items,Y,
looking glass,Looking Glass,Looking Glass,matched,5,ingredient; page_item; used_in_target,1,Looking Glass,Item,Items,Y,
magnifying glass,Magnifying Glass,Magnifying Glass,matched,5,page_item; used_in_target,1,Magnifying Glass,Item,Items,Y,
shovel,Shovel,Shovel,matched,5,page_item; used_in_target,1,Shovel,Item,Items,Y,
hammer,Hammer,Hammer,matched,12,ingredient; page_item; used_in_target,1,Hammer,Item,Items,Y,
bucket,Bucket,Bucket,matched,8,ingredient; page_item; used_in_target,1,Bucket,Item,Items,Y,
broom,Broom,Broom,matched,3,page_item; used_in_target,1,Broom,Item,Items,Y,
fire ant farm,Fire Ant Farm,Fire Ant Farm,matched,6,page_item; used_in_target,1,Fire Ant Farm,Item,Items,Y,
wooden table,Wooden Table,Wooden Table,matched,4,page_item; used_in_target,1,Wooden Table,Item,Items,Y,
ship mast,Ship Mast,Ship Mast,matched,12,page_item; used_in_target,1,Ship Mast,Item,Items,Y,
ladder,Ladder,Ladder,matched,5,ingredient; page_item; used_in_target,1,Ladder,Item,Items,Y,
pitchfork,Pitchfork,Pitchfork,matched,6,page_item; used_in_target,1,Pitchfork,Item,Items,Y,
wooden sword,Wooden Sword,Wooden Sword,matched,4,page_item; used_in_target,1,Wooden Sword,Item,Items,Y,
wagon wheel,Wagon Wheel,Wagon Wheel,matched,4,ingredient; page_item; used_in_target,1,Wagon Wheel,Item,Items,Y,
nailed board,Nailed Board,Nailed Board,matched,4,ingredient; page_item; used_in_target,1,Nailed Board,Item,Items,Y,
pickaxe,Pickaxe,Pickaxe,matched,9,ingredient; page_item; used_in_target,1,Pickaxe,Item,Items,Y,
machine press,Machine Press,Machine Press,matched,8,ingredient; page_item; used_in_target,1,Machine Press,Item,Items,Y,
butter churn,Butter Churn,Butter Churn,matched,4,ingredient; page_item; used_in_target,1,Butter Churn,Item,Items,Y,
wooden plank,Wooden Plank,Wooden Plank,matched,14,ingredient; page_item; used_in_target,1,Wooden Plank,Item,Items,Y,
bog barnacle,Bog Barnacle,Bog Barnacle,matched,1,page_item,1,Bog Barnacle,Fish,Fish,Y,
boghead snapper,Boghead Snapper,Boghead Snapper,matched,1,page_item,1,Boghead Snapper,Fish,Fish,Y,
bogslug,Bogslug,Bogslug,matched,1,page_item,1,Bogslug,Item,Items,Y,
boltonic love potion 4,Boltonic Love Potion 4,Boltonic Love Potion 4,matched,1,page_item,1,Boltonic Love Potion 4,Event,Event,Y,
bomb,Bomb,Bomb,matched,1,page_item,1,Bomb,Item,Items,Y,
bone pickaxe,Bone Pickaxe,Bone Pickaxe,matched,4,page_item; used_in_target,1,Bone Pickaxe,Item,Items,Y,
bone 02,Bone 02,Bone 02,matched,1,page_item,1,Bone 02,Item,Items,Y,
bone 03,Bone 03,Bone 03,matched,1,page_item,1,Bone 03,Item,Items,Y,
bone 04,Bone 04,Bone 04,matched,1,page_item,1,Bone 04,Item,Items,Y,
bone 05,Bone 05,Bone 05,matched,1,page_item,1,Bone 05,Item,Items,Y,
bone 06,Bone 06,Bone 06,matched,1,page_item,1,Bone 06,Item,Items,Y,
bone broth,Bone Broth,Bone Broth,matched,8,ingredient; page_item,1,Bone Broth,Meal,Meals,Y,
rosalie's bone broth,Rosalie's Bone Broth,Rosalie's Bone Broth,matched,2,page_item; recipe_book,1,Rosalie's Bone Broth,Item,Items,Y,
cooking pot,Cooking Pot,Cooking Pot,matched,12,ingredient; page_item; used_in_target,1,Cooking Pot,Item,Items,Y,
bone fish,Bone Fish,Bone Fish,matched,1,page_item,1,Bone Fish,Fish,Fish,Y,
bone fragments,Bone Fragments,Bone Fragments,matched,1,page_item,1,Bone Fragments,Item,Items,Y,
boobun's spray bottle,Boobun's Spray Bottle,Boobun's Spray Bottle,matched,1,page_item,1,Boobun's Spray Bottle,Item,Items,Y,
book of clues,Book of Clues,Book of Clues,matched,1,page_item,1,Book of Clues,Item,Items,Y,
book of fish,Book of Fish,Book of Fish,matched,1,page_item,1,Book of Fish,Item,Items,Y,
