"museum_category","category","item_name","canonical_key","obtainable","generated_buddy_slug","candidate_buddy_url","alternate_buddy_slug","confidence","flags","notes"
"Items","Item","Fenrir's Coin","fenrir's coin","Y","fenrir-s-coin","https://buddy.farm/i/fenrir-s-coin/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Firestream's Magic Wire","firestream's magic wire","Y","firestream-s-magic-wire","https://buddy.farm/i/firestream-s-magic-wire/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Forcepath's Book of Quest Requirements","forcepath's book of quest requirements","Y","forcepath-s-book-of-quest-requirements","https://buddy.farm/i/forcepath-s-book-of-quest-requirements/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","frank's Basket","frank's basket","Y","frank-s-basket","https://buddy.farm/i/frank-s-basket/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","frank's Bunny Mask","frank's bunny mask","Y","frank-s-bunny-mask","https://buddy.farm/i/frank-s-bunny-mask/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Gary's Crushroom Key","gary's crushroom key","Y","gary-s-crushroom-key","https://buddy.farm/i/gary-s-crushroom-key/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Gary's Diary Page 12","gary's diary page 12","Y","gary-s-diary-page-12","https://buddy.farm/i/gary-s-diary-page-12/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Gary's Diary Page 36","gary's diary page 36","Y","gary-s-diary-page-36","https://buddy.farm/i/gary-s-diary-page-36/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Gary's Diary Page 77","gary's diary page 77","Y","gary-s-diary-page-77","https://buddy.farm/i/gary-s-diary-page-77/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Gary's Diary Page 86","gary's diary page 86","Y","gary-s-diary-page-86","https://buddy.farm/i/gary-s-diary-page-86/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","George's Acorn Pie","george's acorn pie","Y","george-s-acorn-pie","https://buddy.farm/i/george-s-acorn-pie/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","George's Onion Soup","george's onion soup","Y","george-s-onion-soup","https://buddy.farm/i/george-s-onion-soup/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Heart-shaped Box 01","heart-shaped box 01","Y","heart-shaped-box-01","https://buddy.farm/i/heart-shaped-box-01/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Heart-shaped Box 02","heart-shaped box 02","Y","heart-shaped-box-02","https://buddy.farm/i/heart-shaped-box-02/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Heart-shaped Box 03","heart-shaped box 03","Y","heart-shaped-box-03","https://buddy.farm/i/heart-shaped-box-03/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Heart-shaped Gem","heart-shaped gem","Y","heart-shaped-gem","https://buddy.farm/i/heart-shaped-gem/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Hensods's Bonsai","hensods's bonsai","Y","hensods-s-bonsai","https://buddy.farm/i/hensods-s-bonsai/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Hessian's Axe","hessian's axe","Y","hessian-s-axe","https://buddy.farm/i/hessian-s-axe/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Holger's Lunch Box","holger's lunch box","Y","holger-s-lunch-box","https://buddy.farm/i/holger-s-lunch-box/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Holger's Mushroom Stew","holger's mushroom stew","Y","holger-s-mushroom-stew","https://buddy.farm/i/holger-s-mushroom-stew/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Horseman's Belt","horseman's belt","Y","horseman-s-belt","https://buddy.farm/i/horseman-s-belt/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Jack-o-key","jack-o-key","Y","jack-o-key","https://buddy.farm/i/jack-o-key/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Jack-o-lantern","jack-o-lantern","Y","jack-o-lantern","https://buddy.farm/i/jack-o-lantern/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Jill's Quandary Chowder","jill's quandary chowder","Y","jill-s-quandary-chowder","https://buddy.farm/i/jill-s-quandary-chowder/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Lorn's Breakfast Boost","lorn's breakfast boost","Y","lorn-s-breakfast-boost","https://buddy.farm/i/lorn-s-breakfast-boost/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Maduin's Cup","maduin's cup","Y","maduin-s-cup","https://buddy.farm/i/maduin-s-cup/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Mariya's Crunchy Omelette","mariya's crunchy omelette","Y","mariya-s-crunchy-omelette","https://buddy.farm/i/mariya-s-crunchy-omelette/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Mariya's Festive Eggnog","mariya's festive eggnog","Y","mariya-s-festive-eggnog","https://buddy.farm/i/mariya-s-festive-eggnog/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Mariya's Hickory Omelette","mariya's hickory omelette","Y","mariya-s-hickory-omelette","https://buddy.farm/i/mariya-s-hickory-omelette/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Mermaid's Necklace","mermaid's necklace","Y","mermaid-s-necklace","https://buddy.farm/i/mermaid-s-necklace/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Mermaid's Scale","mermaid's scale","Y","mermaid-s-scale","https://buddy.farm/i/mermaid-s-scale/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Mizzem's Daisies","mizzem's daisies","Y","mizzem-s-daisies","https://buddy.farm/i/mizzem-s-daisies/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Odthorin's Charm","odthorin's charm","Y","odthorin-s-charm","https://buddy.farm/i/odthorin-s-charm/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Piñata","piñata","Y","pi-ata","https://buddy.farm/i/pi-ata/","pinata","review","non_ascii_or_diacritic; symbol_cleanup; alternate_slug_variant","Contains non-ASCII or diacritic characters; verify the generated slug manually.; Alternate slug variant differs from the primary generated slug.; Punctuation or symbols were cleaned during slug generation."
"Event","Event","Piñata Whop Stick","piñata whop stick","Y","pi-ata-whop-stick","https://buddy.farm/i/pi-ata-whop-stick/","pinata-whop-stick","review","non_ascii_or_diacritic; symbol_cleanup; alternate_slug_variant","Contains non-ASCII or diacritic characters; verify the generated slug manually.; Alternate slug variant differs from the primary generated slug.; Punctuation or symbols were cleaned during slug generation."
"Event","Event","Pot of Gold (Large)","pot of gold (large)","Y","pot-of-gold-large-","https://buddy.farm/i/pot-of-gold-large-/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Pot of Gold (Medium)","pot of gold (medium)","Y","pot-of-gold-medium-","https://buddy.farm/i/pot-of-gold-medium-/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Pot of Gold (Small)","pot of gold (small)","Y","pot-of-gold-small-","https://buddy.farm/i/pot-of-gold-small-/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Quicksilver's Ring","quicksilver's ring","Y","quicksilver-s-ring","https://buddy.farm/i/quicksilver-s-ring/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","R.O.A.S.","r.o.a.s.","Y","r-o-a-s-","https://buddy.farm/i/r-o-a-s-/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Ramjoram's Mask","ramjoram's mask","Y","ramjoram-s-mask","https://buddy.farm/i/ramjoram-s-mask/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Re'taw","re'taw","Y","re-taw","https://buddy.farm/i/re-taw/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Re'taw Pail","re'taw pail","Y","re-taw-pail","https://buddy.farm/i/re-taw-pail/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Roomba's Over The Moon","roomba's over the moon","Y","roomba-s-over-the-moon","https://buddy.farm/i/roomba-s-over-the-moon/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Rosalie's Beach Tote","rosalie's beach tote","Y","rosalie-s-beach-tote","https://buddy.farm/i/rosalie-s-beach-tote/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Rosalie's Bone Broth","rosalie's bone broth","Y","rosalie-s-bone-broth","https://buddy.farm/i/rosalie-s-bone-broth/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Rosalie's Concord Grape Pie","rosalie's concord grape pie","Y","rosalie-s-concord-grape-pie","https://buddy.farm/i/rosalie-s-concord-grape-pie/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Rosalie's Red Berry Pie","rosalie's red berry pie","Y","rosalie-s-red-berry-pie","https://buddy.farm/i/rosalie-s-red-berry-pie/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Santa's Travel Belt","santa's travel belt","Y","santa-s-travel-belt","https://buddy.farm/i/santa-s-travel-belt/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Meals","Meal","Shrimp-a-Plenty","shrimp-a-plenty","Y","shrimp-a-plenty","https://buddy.farm/i/shrimp-a-plenty/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Skull-in-the-box","skull-in-the-box","Y","skull-in-the-box","https://buddy.farm/i/skull-in-the-box/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Star's Treasure Map","star's treasure map","Y","star-s-treasure-map","https://buddy.farm/i/star-s-treasure-map/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Support's Ticket","support's ticket","Y","support-s-ticket","https://buddy.farm/i/support-s-ticket/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Tenfoo's Lost Sock","tenfoo's lost sock","Y","tenfoo-s-lost-sock","https://buddy.farm/i/tenfoo-s-lost-sock/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Thomas's Cat's Meow","thomas's cat's meow","Y","thomas-s-cat-s-meow","https://buddy.farm/i/thomas-s-cat-s-meow/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Thomas's Cup of PB","thomas's cup of pb","Y","thomas-s-cup-of-pb","https://buddy.farm/i/thomas-s-cup-of-pb/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Thomas's Tavern Tote","thomas's tavern tote","Y","thomas-s-tavern-tote","https://buddy.farm/i/thomas-s-tavern-tote/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","U'ral Talisman","u'ral talisman","Y","u-ral-talisman","https://buddy.farm/i/u-ral-talisman/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Utal's Sabre","utal's sabre","Y","utal-s-sabre","https://buddy.farm/i/utal-s-sabre/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Vincent's Sea Pincher Special","vincent's sea pincher special","Y","vincent-s-sea-pincher-special","https://buddy.farm/i/vincent-s-sea-pincher-special/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Witch's Brew","witch's brew","Y","witch-s-brew","https://buddy.farm/i/witch-s-brew/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Event","Event","Witch's Broom","witch's broom","Y","witch-s-broom","https://buddy.farm/i/witch-s-broom/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Wizard's Second Favorite Feather","wizard's second favorite feather","Y","wizard-s-second-favorite-feather","https://buddy.farm/i/wizard-s-second-favorite-feather/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","Zho's Dagger","zho's dagger","Y","zho-s-dagger","https://buddy.farm/i/zho-s-dagger/","","medium","symbol_cleanup","Punctuation or symbols were cleaned during slug generation."
"Items","Item","10 Gold","10 gold","Y","10-gold","https://buddy.farm/i/10-gold/","","high","",""
"Items","Item","100 Gold","100 gold","Y","100-gold","https://buddy.farm/i/100-gold/","","high","",""
"Event","Event","11th Leaf Centerpiece","11th leaf centerpiece","Y","11th-leaf-centerpiece","https://buddy.farm/i/11th-leaf-centerpiece/","","high","",""
"Items","Item","25 Gold","25 gold","Y","25-gold","https://buddy.farm/i/25-gold/","","high","",""
