quest_key,quest_name,questline_key,questline_name,questline_aliases,stage_label,npc,farming_level,fishing_level,crafting_level,exploring_level,tower_level,previous_quest_key,next_quest_keys,source_url,coverage_status,notes
daily dairy v,Daily Dairy V,daily dairy,Daily Dairy,,V,Mariya,99,99,99,99,275,daily dairy iv,daily dairy vi,https://buddy.farm/q/daily-dairy-v/,reviewed,BL-339 bounded August questline verification.
daily dairy vi,Daily Dairy VI,daily dairy,Daily Dairy,,VI,Mariya,99,99,99,99,275,daily dairy v,daily dairy vii,https://buddy.farm/q/daily-dairy-vi/,partial,BL-339 bounded August questline verification.; No item requirement array was found in the quest payload.
daily dairy vii,Daily Dairy VII,daily dairy,Daily Dairy,,VII,Mariya,99,99,99,99,275,daily dairy vi,,https://buddy.farm/q/daily-dairy-vii/,reviewed,BL-339 bounded August questline verification.
fun underground now i,Fun Underground Now I,fun underground now,Fun Underground Now,,I,Cid,40,0,0,0,0,,fun underground now ii,https://buddy.farm/q/fun-underground-now-i/,reviewed,BL-339 bounded August questline verification.
fun underground now ii,Fun Underground Now II,fun underground now,Fun Underground Now,,II,Cid,40,0,0,0,0,fun underground now i,fun underground now iii,https://buddy.farm/q/fun-underground-now-ii/,reviewed,BL-339 bounded August questline verification.
fun underground now iii,Fun Underground Now III,fun underground now,Fun Underground Now,,III,Cid,40,0,0,0,0,fun underground now ii,fun underground now iv,https://buddy.farm/q/fun-underground-now-iii/,reviewed,BL-339 bounded August questline verification.
fun underground now iv,Fun Underground Now IV,fun underground now,Fun Underground Now,,IV,Cid,40,0,0,0,0,fun underground now iii,dig in i,https://buddy.farm/q/fun-underground-now-iv/,reviewed,BL-339 bounded August questline verification.
dig in i,Dig In I,dig in,Dig In,,I,Cid,0,0,0,0,0,fun underground now iv,dig in ii,https://buddy.farm/q/dig-in-i/,reviewed,BL-339 bounded August questline verification.
dig in ii,Dig In II,dig in,Dig In,,II,Cid,0,0,0,0,0,dig in i,dig in iii,https://buddy.farm/q/dig-in-ii/,reviewed,BL-339 bounded August questline verification.
dig in iii,Dig In III,dig in,Dig In,,III,Cid,0,0,0,0,0,dig in ii,delving into charms,https://buddy.farm/q/dig-in-iii/,reviewed,BL-339 bounded August questline verification.
sprung forth i,Sprung Forth I,sprung forth,Sprung Forth,,I,Cid,0,0,0,0,0,delving into charms,sprung forth ii,https://buddy.farm/q/sprung-forth-i/,reviewed,BL-339 bounded August questline verification.
sprung forth ii,Sprung Forth II,sprung forth,Sprung Forth,,II,Cid,0,0,0,0,0,sprung forth i,sprung forth iii,https://buddy.farm/q/sprung-forth-ii/,reviewed,BL-339 bounded August questline verification.
sprung forth iii,Sprung Forth III,sprung forth,Sprung Forth,,III,Cid,0,0,0,0,0,sprung forth ii,sprung forth iv,https://buddy.farm/q/sprung-forth-iii/,reviewed,BL-339 bounded August questline verification.
sprung forth iv,Sprung Forth IV,sprung forth,Sprung Forth,,IV,Cid,0,0,0,0,0,sprung forth iii,sprung forth v,https://buddy.farm/q/sprung-forth-iv/,reviewed,BL-339 bounded August questline verification.
sprung forth v,Sprung Forth V,sprung forth,Sprung Forth,,V,Cid,0,0,0,0,0,sprung forth iv,power play i,https://buddy.farm/q/sprung-forth-v/,reviewed,BL-339 bounded August questline verification.
power play i,Power Play I,power play,Power Play,,I,Cecil,0,0,0,0,0,sprung forth v,power play ii,https://buddy.farm/q/power-play-i/,reviewed,BL-339 bounded August questline verification.
power play ii,Power Play II,power play,Power Play,,II,Cid,0,0,0,0,0,power play i,power play iii,https://buddy.farm/q/power-play-ii/,reviewed,BL-339 bounded August questline verification.
power play iii,Power Play III,power play,Power Play,,III,Cid,0,0,0,0,0,power play ii,power play iv,https://buddy.farm/q/power-play-iii/,reviewed,BL-339 bounded August questline verification.
power play iv,Power Play IV,power play,Power Play,,IV,Cecil,0,0,0,0,0,power play iii,power play v,https://buddy.farm/q/power-play-iv/,reviewed,BL-339 bounded August questline verification.
power play v,Power Play V,power play,Power Play,,V,Cecil,0,50,0,0,0,power play iv,power play vi,https://buddy.farm/q/power-play-v/,reviewed,BL-339 bounded August questline verification.
power play vi,Power Play VI,power play,Power Play,,VI,Cid,0,50,0,0,0,power play v,power play vii,https://buddy.farm/q/power-play-vi/,reviewed,BL-339 bounded August questline verification.
power play vii,Power Play VII,power play,Power Play,,VII,Cid,0,50,0,0,0,power play vi,,https://buddy.farm/q/power-play-vii/,reviewed,BL-339 bounded August questline verification.
