openable_item_name,openable_canonical_key,content_item_name,content_canonical_key,quantity_per_open,quantity_min,quantity_max,quantity_kind,evidence,notes,source_url,page_data_url,cache_file_name,parser_version
Apple Basket,apple basket,Apple Pie,apple pie,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1
Apple Crate 01,apple crate 01,Apple Core,apple core,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple,apple,200,200,200,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Turnover,apple turnover,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Slicer,apple slicer,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Buddy Doll,buddy doll,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Core,apple core,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Cider,apple cider,50,50,50,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Raffle Ticket,raffle ticket,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Pie,apple pie,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Picker,apple picker,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Bar of Silver,bar of silver,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Apple Ant,apple ant,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,Void Bag 01,void bag 01,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,Baba Cola,baba cola,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,YoYo,yoyo,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,Mixed Nuts,mixed nuts,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,Cabbage,cabbage,30,30,30,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,Cheese,cheese,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,Cabbage Stew,cabbage stew,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,Protein Bar,protein bar,2,2,2,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Baba's Snack Pack,baba s snack pack,Lovely Cookies,lovely cookies,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/baba-s-snack-pack/,https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json,baba-s-snack-pack__baba-s-snack-pack.json,buddy-item-multi-source-v1
Backpack,backpack,Apple,apple,25,25,25,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Glass Bottle,glass bottle,50,50,50,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Mushroom Paste,mushroom paste,100,100,100,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Clubs,clubs,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Arnold Palmer,arnold palmer,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Diamonds,diamonds,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Yarn,yarn,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Steel Wire,steel wire,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Iron Ring,iron ring,50,50,50,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Hearts,hearts,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Spades,spades,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Backpack,backpack,Steel,steel,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/backpack/,https://buddy.farm/page-data/i/backpack/page-data.json,backpack__backpack.json,buddy-item-multi-source-v1
Bag of Ghost Candy,bag of ghost candy,Ghost Candy,ghost candy,100,100,100,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-ghost-candy/,https://buddy.farm/page-data/i/bag-of-ghost-candy/page-data.json,bag-of-ghost-candy__bag-of-ghost-candy.json,buddy-item-multi-source-v1
Bag of Ghost Candy,bag of ghost candy,Taffy,taffy,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-ghost-candy/,https://buddy.farm/page-data/i/bag-of-ghost-candy/page-data.json,bag-of-ghost-candy__bag-of-ghost-candy.json,buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Runestone 04,runestone 04,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-01/,https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json,bag-of-presents-01__bag-of-presents-01.json,buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Gold Feather,gold feather,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-01/,https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json,bag-of-presents-01__bag-of-presents-01.json,buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Gold Crab,gold crab,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-01/,https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json,bag-of-presents-01__bag-of-presents-01.json,buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Magna Quartz,magna quartz,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-01/,https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json,bag-of-presents-01__bag-of-presents-01.json,buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Runestone 18,runestone 18,1,1,1,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-01/,https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json,bag-of-presents-01__bag-of-presents-01.json,buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Grab Bag 04,grab bag 04,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-02/,https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json,bag-of-presents-02__bag-of-presents-02.json,buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Large Net,large net,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-02/,https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json,bag-of-presents-02__bag-of-presents-02.json,buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Arnold Palmer,arnold palmer,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-02/,https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json,bag-of-presents-02__bag-of-presents-02.json,buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Happy Cookies,happy cookies,2,2,2,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-02/,https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json,bag-of-presents-02__bag-of-presents-02.json,buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Grab Bag 05,grab bag 05,3,3,3,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-presents-02/,https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json,bag-of-presents-02__bag-of-presents-02.json,buddy-item-multi-source-v1
Bag of Snowballs,bag of snowballs,Snowball,snowball,400,400,400,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-snowballs/,https://buddy.farm/page-data/i/bag-of-snowballs/page-data.json,bag-of-snowballs__bag-of-snowballs.json,buddy-item-multi-source-v1
Bag of Spring Seeds,bag of spring seeds,Spring Seeds,spring seeds,25,25,25,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bag-of-spring-seeds/,https://buddy.farm/page-data/i/bag-of-spring-seeds/page-data.json,bag-of-spring-seeds__bag-of-spring-seeds.json,buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Grubs,grubs,,10,250,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bait-bag-01/,https://buddy.farm/page-data/i/bait-bag-01/page-data.json,bait-bag-01__bait-bag-01.json,buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Worms,worms,,10,250,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bait-bag-01/,https://buddy.farm/page-data/i/bait-bag-01/page-data.json,bait-bag-01__bait-bag-01.json,buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Minnows,minnows,,10,250,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bait-bag-01/,https://buddy.farm/page-data/i/bait-bag-01/page-data.json,bait-bag-01__bait-bag-01.json,buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Gummy Worms,gummy worms,,10,250,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bait-bag-01/,https://buddy.farm/page-data/i/bait-bag-01/page-data.json,bait-bag-01__bait-bag-01.json,buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Mealworms,mealworms,,10,250,range,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/bait-bag-01/,https://buddy.farm/page-data/i/bait-bag-01/page-data.json,bait-bag-01__bait-bag-01.json,buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix s big box of boom,Black Powder,black powder,200,200,200,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-big-box-of-boom/,https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json,beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json,buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix s big box of boom,Blue Star Stomper,blue star stomper,25,25,25,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-big-box-of-boom/,https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json,beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json,buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix s big box of boom,Bottle Rocket,bottle rocket,200,200,200,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-big-box-of-boom/,https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json,beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json,buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix s big box of boom,Fireworks,fireworks,100,100,100,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-big-box-of-boom/,https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json,beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json,buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix s big box of boom,Explosive,explosive,200,200,200,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-big-box-of-boom/,https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json,beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json,buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix s big box of boom,Bomb,bomb,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-big-box-of-boom/,https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json,beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json,buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix s big box of boom,Moonbreaker,moonbreaker,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-big-box-of-boom/,https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json,beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Grape Juice,grape juice,10,10,10,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Bottle Rocket,bottle rocket,250,250,250,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Explosive,explosive,250,250,250,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Moonbreaker,moonbreaker,15,15,15,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Fireworks,fireworks,150,150,150,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Blue Star Stomper,blue star stomper,30,30,30,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Safety Goggles,safety goggles,2,2,2,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Prune Juice,prune juice,4,4,4,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,Green Torpedo,green torpedo,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 02,beatrix s booming brawl box 02,Moonbreaker,moonbreaker,20,20,20,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-02/page-data.json,beatrix-s-booming-brawl-box-02__beatrix-s-booming-brawl-box-02.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 02,beatrix s booming brawl box 02,Bomb,bomb,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-02/page-data.json,beatrix-s-booming-brawl-box-02__beatrix-s-booming-brawl-box-02.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 02,beatrix s booming brawl box 02,Blue Star Stomper,blue star stomper,40,40,40,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-02/page-data.json,beatrix-s-booming-brawl-box-02__beatrix-s-booming-brawl-box-02.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 02,beatrix s booming brawl box 02,Fireworks,fireworks,150,150,150,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-02/page-data.json,beatrix-s-booming-brawl-box-02__beatrix-s-booming-brawl-box-02.json,buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 02,beatrix s booming brawl box 02,Drink Bundle,drink bundle,5,5,5,fixed,container_to_content,Candidate from cached Buddy page-data; review before canonical promotion.,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-02/page-data.json,beatrix-s-booming-brawl-box-02__beatrix-s-booming-brawl-box-02.json,buddy-item-multi-source-v1
