output_item_name,output_canonical_key,recipe_type,recipe_book_item_name,recipe_book_canonical_key,cooking_level,base_time,source_url,page_data_url,cache_file_name,parser_version,flags,notes
Block of Wood,block of wood,craft,,,,,https://buddy.farm/i/block-of-wood/,https://buddy.farm/page-data/i/block-of-wood/page-data.json,,buddy-item-multi-source-v1,,
Blue Butterfly,blue butterfly,craft,,,,,https://buddy.farm/i/blue-butterfly/,https://buddy.farm/page-data/i/blue-butterfly/page-data.json,,buddy-item-multi-source-v1,,
Blue Diary,blue diary,craft,,,,,https://buddy.farm/i/blue-diary/,https://buddy.farm/page-data/i/blue-diary/page-data.json,,buddy-item-multi-source-v1,,
Blue Dye,blue dye,craft,,,,,https://buddy.farm/i/blue-dye/,https://buddy.farm/page-data/i/blue-dye/page-data.json,,buddy-item-multi-source-v1,,
Blue Parchment,blue parchment,craft,,,,,https://buddy.farm/i/blue-parchment/,https://buddy.farm/page-data/i/blue-parchment/page-data.json,,buddy-item-multi-source-v1,,
Blue Purse,blue purse,craft,,,,,https://buddy.farm/i/blue-purse/,https://buddy.farm/page-data/i/blue-purse/page-data.json,,buddy-item-multi-source-v1,,
Blue Shirt,blue shirt,craft,,,,,https://buddy.farm/i/blue-shirt/,https://buddy.farm/page-data/i/blue-shirt/page-data.json,,buddy-item-multi-source-v1,,
Blue Twine,blue twine,craft,,,,,https://buddy.farm/i/blue-twine/,https://buddy.farm/page-data/i/blue-twine/page-data.json,,buddy-item-multi-source-v1,,
Board,board,craft,,,,,https://buddy.farm/i/board/,https://buddy.farm/page-data/i/board/page-data.json,,buddy-item-multi-source-v1,,
Bone Broth,bone broth,cooking,Rosalie's Bone Broth,rosalie s bone broth,1,,https://buddy.farm/i/bone-broth/,https://buddy.farm/page-data/i/bone-broth/page-data.json,,buddy-item-multi-source-v1,,
Bone Pickaxe,bone pickaxe,craft,,,,,https://buddy.farm/i/bone-pickaxe/,https://buddy.farm/page-data/i/bone-pickaxe/page-data.json,,buddy-item-multi-source-v1,,
Bottle Rocket,bottle rocket,craft,,,,,https://buddy.farm/i/bottle-rocket/,https://buddy.farm/page-data/i/bottle-rocket/page-data.json,,buddy-item-multi-source-v1,,
Bouquet of Flowers,bouquet of flowers,craft,,,,,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,,buddy-item-multi-source-v1,,
Breakfast Boost,breakfast boost,cooking,Lorn's Breakfast Boost,lorn s breakfast boost,40,,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,,buddy-item-multi-source-v1,,
Broom,broom,craft,,,,,https://buddy.farm/i/broom/,https://buddy.farm/page-data/i/broom/page-data.json,,buddy-item-multi-source-v1,,
Brown Bag,brown bag,craft,,,,,https://buddy.farm/i/brown-bag/,https://buddy.farm/page-data/i/brown-bag/page-data.json,,buddy-item-multi-source-v1,,
Brown Cloak,brown cloak,craft,,,,,https://buddy.farm/i/brown-cloak/,https://buddy.farm/page-data/i/brown-cloak/page-data.json,,buddy-item-multi-source-v1,,
Brown Dye,brown dye,craft,,,,,https://buddy.farm/i/brown-dye/,https://buddy.farm/page-data/i/brown-dye/page-data.json,,buddy-item-multi-source-v1,,
Brown Twine,brown twine,craft,,,,,https://buddy.farm/i/brown-twine/,https://buddy.farm/page-data/i/brown-twine/page-data.json,,buddy-item-multi-source-v1,,
Bucket,bucket,craft,,,,,https://buddy.farm/i/bucket/,https://buddy.farm/page-data/i/bucket/page-data.json,,buddy-item-multi-source-v1,,
Butter,butter,craft,,,,,https://buddy.farm/i/butter/,https://buddy.farm/page-data/i/butter/page-data.json,,buddy-item-multi-source-v1,,
Butter Churn,butter churn,craft,,,,,https://buddy.farm/i/butter-churn/,https://buddy.farm/page-data/i/butter-churn/page-data.json,,buddy-item-multi-source-v1,,
Cabbage Stew,cabbage stew,cooking,Baba Gec's Cabbage Stew,baba gec s cabbage stew,25,,https://buddy.farm/i/cabbage-stew/,https://buddy.farm/page-data/i/cabbage-stew/page-data.json,,buddy-item-multi-source-v1,,
Cannon,cannon,craft,,,,,https://buddy.farm/i/cannon/,https://buddy.farm/page-data/i/cannon/page-data.json,,buddy-item-multi-source-v1,,
Canoe,canoe,craft,,,,,https://buddy.farm/i/canoe/,https://buddy.farm/page-data/i/canoe/page-data.json,,buddy-item-multi-source-v1,,
Cat's Meow,cat s meow,cooking,Thomas's Cat's Meow,thomas s cat s meow,15,,https://buddy.farm/i/cat-s-meow/,https://buddy.farm/page-data/i/cat-s-meow/page-data.json,,buddy-item-multi-source-v1,,
Chum,chum,craft,,,,,https://buddy.farm/i/chum/,https://buddy.farm/page-data/i/chum/page-data.json,,buddy-item-multi-source-v1,,
Cloth,cloth,craft,,,,,https://buddy.farm/i/cloth/,https://buddy.farm/page-data/i/cloth/page-data.json,,buddy-item-multi-source-v1,,
Coin Purse,coin purse,craft,,,,,https://buddy.farm/i/coin-purse/,https://buddy.farm/page-data/i/coin-purse/page-data.json,,buddy-item-multi-source-v1,,
Compass,compass,craft,,,,,https://buddy.farm/i/compass/,https://buddy.farm/page-data/i/compass/page-data.json,,buddy-item-multi-source-v1,,
Concord Grape Pie,concord grape pie,cooking,Rosalie's Concord Grape Pie,rosalie s concord grape pie,40,,https://buddy.farm/i/concord-grape-pie/,https://buddy.farm/page-data/i/concord-grape-pie/page-data.json,,buddy-item-multi-source-v1,,
Control Box,control box,craft,,,,,https://buddy.farm/i/control-box/,https://buddy.farm/page-data/i/control-box/page-data.json,,buddy-item-multi-source-v1,,
Cooking Pot,cooking pot,craft,,,,,https://buddy.farm/i/cooking-pot/,https://buddy.farm/page-data/i/cooking-pot/page-data.json,,buddy-item-multi-source-v1,,
Corn Husk Doll,corn husk doll,craft,,,,,https://buddy.farm/i/corn-husk-doll/,https://buddy.farm/page-data/i/corn-husk-doll/page-data.json,,buddy-item-multi-source-v1,,
Corn Oil,corn oil,craft,,,,,https://buddy.farm/i/corn-oil/,https://buddy.farm/page-data/i/corn-oil/page-data.json,,buddy-item-multi-source-v1,,
Crossbow,crossbow,craft,,,,,https://buddy.farm/i/crossbow/,https://buddy.farm/page-data/i/crossbow/page-data.json,,buddy-item-multi-source-v1,,
Crown of Clover,crown of clover,craft,,,,,https://buddy.farm/i/crown-of-clover/,https://buddy.farm/page-data/i/crown-of-clover/page-data.json,,buddy-item-multi-source-v1,,
Crystal Pickaxe,crystal pickaxe,craft,,,,,https://buddy.farm/i/crystal-pickaxe/,https://buddy.farm/page-data/i/crystal-pickaxe/page-data.json,,buddy-item-multi-source-v1,,
Emerald,emerald,craft,,,,,https://buddy.farm/i/emerald/,https://buddy.farm/page-data/i/emerald/page-data.json,,buddy-item-multi-source-v1,,
Emerald Ring,emerald ring,craft,,,,,https://buddy.farm/i/emerald-ring/,https://buddy.farm/page-data/i/emerald-ring/page-data.json,,buddy-item-multi-source-v1,,
Energy Coil,energy coil,craft,,,,,https://buddy.farm/i/energy-coil/,https://buddy.farm/page-data/i/energy-coil/page-data.json,,buddy-item-multi-source-v1,,
Engine,engine,craft,,,,,https://buddy.farm/i/engine/,https://buddy.farm/page-data/i/engine/page-data.json,,buddy-item-multi-source-v1,,
Essence of Slime,essence of slime,craft,,,,,https://buddy.farm/i/essence-of-slime/,https://buddy.farm/page-data/i/essence-of-slime/page-data.json,,buddy-item-multi-source-v1,,
Explosive,explosive,craft,,,,,https://buddy.farm/i/explosive/,https://buddy.farm/page-data/i/explosive/page-data.json,,buddy-item-multi-source-v1,,
Fancy Chair,fancy chair,craft,,,,,https://buddy.farm/i/fancy-chair/,https://buddy.farm/page-data/i/fancy-chair/page-data.json,,buddy-item-multi-source-v1,,
Fancy Clock,fancy clock,craft,,,,,https://buddy.farm/i/fancy-clock/,https://buddy.farm/page-data/i/fancy-clock/page-data.json,,buddy-item-multi-source-v1,,
Fancy Drum,fancy drum,craft,,,,,https://buddy.farm/i/fancy-drum/,https://buddy.farm/page-data/i/fancy-drum/page-data.json,,buddy-item-multi-source-v1,,
Fancy Guitar,fancy guitar,craft,,,,,https://buddy.farm/i/fancy-guitar/,https://buddy.farm/page-data/i/fancy-guitar/page-data.json,,buddy-item-multi-source-v1,,
Fancy Pan Flute,fancy pan flute,craft,,,,,https://buddy.farm/i/fancy-pan-flute/,https://buddy.farm/page-data/i/fancy-pan-flute/page-data.json,,buddy-item-multi-source-v1,,
Fancy Pillow,fancy pillow,craft,,,,,https://buddy.farm/i/fancy-pillow/,https://buddy.farm/page-data/i/fancy-pillow/page-data.json,,buddy-item-multi-source-v1,,
Fancy Pipe,fancy pipe,craft,,,,,https://buddy.farm/i/fancy-pipe/,https://buddy.farm/page-data/i/fancy-pipe/page-data.json,,buddy-item-multi-source-v1,,
Fancy Sword,fancy sword,craft,,,,,https://buddy.farm/i/fancy-sword/,https://buddy.farm/page-data/i/fancy-sword/page-data.json,,buddy-item-multi-source-v1,,
Fancy Table,fancy table,craft,,,,,https://buddy.farm/i/fancy-table/,https://buddy.farm/page-data/i/fancy-table/page-data.json,,buddy-item-multi-source-v1,,
Fancy Violin,fancy violin,craft,,,,,https://buddy.farm/i/fancy-violin/,https://buddy.farm/page-data/i/fancy-violin/page-data.json,,buddy-item-multi-source-v1,,
Fire Ant Farm,fire ant farm,craft,,,,,https://buddy.farm/i/fire-ant-farm/,https://buddy.farm/page-data/i/fire-ant-farm/page-data.json,,buddy-item-multi-source-v1,,
Fishing Net,fishing net,craft,,,,,https://buddy.farm/i/fishing-net/,https://buddy.farm/page-data/i/fishing-net/page-data.json,,buddy-item-multi-source-v1,,
Flarite,flarite,craft,,,,,https://buddy.farm/i/flarite/,https://buddy.farm/page-data/i/flarite/page-data.json,,buddy-item-multi-source-v1,,
Flying Machine,flying machine,craft,,,,,https://buddy.farm/i/flying-machine/,https://buddy.farm/page-data/i/flying-machine/page-data.json,,buddy-item-multi-source-v1,,
Flywheel,flywheel,craft,,,,,https://buddy.farm/i/flywheel/,https://buddy.farm/page-data/i/flywheel/page-data.json,,buddy-item-multi-source-v1,,
Frost Shield,frost shield,craft,,,,,https://buddy.farm/i/frost-shield/,https://buddy.farm/page-data/i/frost-shield/page-data.json,,buddy-item-multi-source-v1,,
Fruit Punch,fruit punch,craft,,,,,https://buddy.farm/i/fruit-punch/,https://buddy.farm/page-data/i/fruit-punch/page-data.json,,buddy-item-multi-source-v1,,
Gainite,gainite,craft,,,,,https://buddy.farm/i/gainite/,https://buddy.farm/page-data/i/gainite/page-data.json,,buddy-item-multi-source-v1,,
Garnet,garnet,craft,,,,,https://buddy.farm/i/garnet/,https://buddy.farm/page-data/i/garnet/page-data.json,,buddy-item-multi-source-v1,,
Garnet Ring,garnet ring,craft,,,,,https://buddy.farm/i/garnet-ring/,https://buddy.farm/page-data/i/garnet-ring/page-data.json,,buddy-item-multi-source-v1,,
Gazebo,gazebo,craft,,,,,https://buddy.farm/i/gazebo/,https://buddy.farm/page-data/i/gazebo/page-data.json,,buddy-item-multi-source-v1,,
Glass Bottle,glass bottle,craft,,,,,https://buddy.farm/i/glass-bottle/,https://buddy.farm/page-data/i/glass-bottle/page-data.json,,buddy-item-multi-source-v1,,
Glass Jar,glass jar,craft,,,,,https://buddy.farm/i/glass-jar/,https://buddy.farm/page-data/i/glass-jar/page-data.json,,buddy-item-multi-source-v1,,
Glass Orb,glass orb,craft,,,,,https://buddy.farm/i/glass-orb/,https://buddy.farm/page-data/i/glass-orb/page-data.json,,buddy-item-multi-source-v1,,
Glowing Lantern,glowing lantern,craft,,,,,https://buddy.farm/i/glowing-lantern/,https://buddy.farm/page-data/i/glowing-lantern/page-data.json,,buddy-item-multi-source-v1,,
Gold Aquamarine Ring,gold aquamarine ring,craft,,,,,https://buddy.farm/i/gold-aquamarine-ring/,https://buddy.farm/page-data/i/gold-aquamarine-ring/page-data.json,,buddy-item-multi-source-v1,,
Gold Diamond Ring,gold diamond ring,craft,,,,,https://buddy.farm/i/gold-diamond-ring/,https://buddy.farm/page-data/i/gold-diamond-ring/page-data.json,,buddy-item-multi-source-v1,,
Gold Emerald Ring,gold emerald ring,craft,,,,,https://buddy.farm/i/gold-emerald-ring/,https://buddy.farm/page-data/i/gold-emerald-ring/page-data.json,,buddy-item-multi-source-v1,,
Gold Garnet Ring,gold garnet ring,craft,,,,,https://buddy.farm/i/gold-garnet-ring/,https://buddy.farm/page-data/i/gold-garnet-ring/page-data.json,,buddy-item-multi-source-v1,,
Gold Jade Ring,gold jade ring,craft,,,,,https://buddy.farm/i/gold-jade-ring/,https://buddy.farm/page-data/i/gold-jade-ring/page-data.json,,buddy-item-multi-source-v1,,
Gold Lemon Quartz Ring,gold lemon quartz ring,craft,,,,,https://buddy.farm/i/gold-lemon-quartz-ring/,https://buddy.farm/page-data/i/gold-lemon-quartz-ring/page-data.json,,buddy-item-multi-source-v1,,
Gold Ruby Ring,gold ruby ring,craft,,,,,https://buddy.farm/i/gold-ruby-ring/,https://buddy.farm/page-data/i/gold-ruby-ring/page-data.json,,buddy-item-multi-source-v1,,
Grand Piano,grand piano,craft,,,,,https://buddy.farm/i/grand-piano/,https://buddy.farm/page-data/i/grand-piano/page-data.json,,buddy-item-multi-source-v1,,
Grape Juice,grape juice,craft,,,,,https://buddy.farm/i/grape-juice/,https://buddy.farm/page-data/i/grape-juice/page-data.json,,buddy-item-multi-source-v1,,
Green Butterfly,green butterfly,craft,,,,,https://buddy.farm/i/green-butterfly/,https://buddy.farm/page-data/i/green-butterfly/page-data.json,,buddy-item-multi-source-v1,,
Green Cloak,green cloak,craft,,,,,https://buddy.farm/i/green-cloak/,https://buddy.farm/page-data/i/green-cloak/page-data.json,,buddy-item-multi-source-v1,,
Green Diary,green diary,craft,,,,,https://buddy.farm/i/green-diary/,https://buddy.farm/page-data/i/green-diary/page-data.json,,buddy-item-multi-source-v1,,
Green Dye,green dye,craft,,,,,https://buddy.farm/i/green-dye/,https://buddy.farm/page-data/i/green-dye/page-data.json,,buddy-item-multi-source-v1,,
Green Parchment,green parchment,craft,,,,,https://buddy.farm/i/green-parchment/,https://buddy.farm/page-data/i/green-parchment/page-data.json,,buddy-item-multi-source-v1,,
Green Scarf,green scarf,craft,,,,,https://buddy.farm/i/green-scarf/,https://buddy.farm/page-data/i/green-scarf/page-data.json,,buddy-item-multi-source-v1,,
Green Shirt,green shirt,craft,,,,,https://buddy.farm/i/green-shirt/,https://buddy.farm/page-data/i/green-shirt/page-data.json,,buddy-item-multi-source-v1,,
Green Twine,green twine,craft,,,,,https://buddy.farm/i/green-twine/,https://buddy.farm/page-data/i/green-twine/page-data.json,,buddy-item-multi-source-v1,,
Hammer,hammer,craft,,,,,https://buddy.farm/i/hammer/,https://buddy.farm/page-data/i/hammer/page-data.json,,buddy-item-multi-source-v1,,
Handsaw,handsaw,craft,,,,,https://buddy.farm/i/handsaw/,https://buddy.farm/page-data/i/handsaw/page-data.json,,buddy-item-multi-source-v1,,
Heart Container,heart container,craft,,,,,https://buddy.farm/i/heart-container/,https://buddy.farm/page-data/i/heart-container/page-data.json,,buddy-item-multi-source-v1,,
Hickory Omelette,hickory omelette,cooking,Mariya's Hickory Omelette,mariya s hickory omelette,35,,https://buddy.farm/i/hickory-omelette/,https://buddy.farm/page-data/i/hickory-omelette/page-data.json,,buddy-item-multi-source-v1,,
Horn Canteen,horn canteen,craft,,,,,https://buddy.farm/i/horn-canteen/,https://buddy.farm/page-data/i/horn-canteen/page-data.json,,buddy-item-multi-source-v1,,
Horseshoe,horseshoe,craft,,,,,https://buddy.farm/i/horseshoe/,https://buddy.farm/page-data/i/horseshoe/page-data.json,,buddy-item-multi-source-v1,,
Hourglass,hourglass,craft,,,,,https://buddy.farm/i/hourglass/,https://buddy.farm/page-data/i/hourglass/page-data.json,,buddy-item-multi-source-v1,,
Iced Tea,iced tea,craft,,,,,https://buddy.farm/i/iced-tea/,https://buddy.farm/page-data/i/iced-tea/page-data.json,,buddy-item-multi-source-v1,,
Inferno Sphere,inferno sphere,craft,,,,,https://buddy.farm/i/inferno-sphere/,https://buddy.farm/page-data/i/inferno-sphere/page-data.json,,buddy-item-multi-source-v1,,
Iron Cup,iron cup,craft,,,,,https://buddy.farm/i/iron-cup/,https://buddy.farm/page-data/i/iron-cup/page-data.json,,buddy-item-multi-source-v1,,
Iron Ring,iron ring,craft,,,,,https://buddy.farm/i/iron-ring/,https://buddy.farm/page-data/i/iron-ring/page-data.json,,buddy-item-multi-source-v1,,
Jade,jade,craft,,,,,https://buddy.farm/i/jade/,https://buddy.farm/page-data/i/jade/page-data.json,,buddy-item-multi-source-v1,,
Jade Charm,jade charm,craft,,,,,https://buddy.farm/i/jade-charm/,https://buddy.farm/page-data/i/jade-charm/page-data.json,,buddy-item-multi-source-v1,,
Kill Switch,kill switch,craft,,,,,https://buddy.farm/i/kill-switch/,https://buddy.farm/page-data/i/kill-switch/page-data.json,,buddy-item-multi-source-v1,,
Ladder,ladder,craft,,,,,https://buddy.farm/i/ladder/,https://buddy.farm/page-data/i/ladder/page-data.json,,buddy-item-multi-source-v1,,
Lantern,lantern,craft,,,,,https://buddy.farm/i/lantern/,https://buddy.farm/page-data/i/lantern/page-data.json,,buddy-item-multi-source-v1,,
Large Net,large net,craft,,,,,https://buddy.farm/i/large-net/,https://buddy.farm/page-data/i/large-net/page-data.json,,buddy-item-multi-source-v1,,
Lava Sphere,lava sphere,craft,,,,,https://buddy.farm/i/lava-sphere/,https://buddy.farm/page-data/i/lava-sphere/page-data.json,,buddy-item-multi-source-v1,,
Leather,leather,craft,,,,,https://buddy.farm/i/leather/,https://buddy.farm/page-data/i/leather/page-data.json,,buddy-item-multi-source-v1,,
Leather Bag,leather bag,craft,,,,,https://buddy.farm/i/leather-bag/,https://buddy.farm/page-data/i/leather-bag/page-data.json,,buddy-item-multi-source-v1,,
Leather Belt,leather belt,craft,,,,,https://buddy.farm/i/leather-belt/,https://buddy.farm/page-data/i/leather-belt/page-data.json,,buddy-item-multi-source-v1,,
Leather Diary,leather diary,craft,,,,,https://buddy.farm/i/leather-diary/,https://buddy.farm/page-data/i/leather-diary/page-data.json,,buddy-item-multi-source-v1,,
Leather Helmet,leather helmet,craft,,,,,https://buddy.farm/i/leather-helmet/,https://buddy.farm/page-data/i/leather-helmet/page-data.json,,buddy-item-multi-source-v1,,
Leather Waterskin,leather waterskin,craft,,,,,https://buddy.farm/i/leather-waterskin/,https://buddy.farm/page-data/i/leather-waterskin/page-data.json,,buddy-item-multi-source-v1,,
Lemon Quartz Ring,lemon quartz ring,craft,,,,,https://buddy.farm/i/lemon-quartz-ring/,https://buddy.farm/page-data/i/lemon-quartz-ring/page-data.json,,buddy-item-multi-source-v1,,
Lemonade,lemonade,craft,,,,,https://buddy.farm/i/lemonade/,https://buddy.farm/page-data/i/lemonade/page-data.json,,buddy-item-multi-source-v1,,
Linked Lantern,linked lantern,craft,,,,,https://buddy.farm/i/linked-lantern/,https://buddy.farm/page-data/i/linked-lantern/page-data.json,,buddy-item-multi-source-v1,,
Looking Glass,looking glass,craft,,,,,https://buddy.farm/i/looking-glass/,https://buddy.farm/page-data/i/looking-glass/page-data.json,,buddy-item-multi-source-v1,,
Machine Press,machine press,craft,,,,,https://buddy.farm/i/machine-press/,https://buddy.farm/page-data/i/machine-press/page-data.json,,buddy-item-multi-source-v1,,
Magicite,magicite,craft,,,,,https://buddy.farm/i/magicite/,https://buddy.farm/page-data/i/magicite/page-data.json,,buddy-item-multi-source-v1,,
Magna Core,magna core,craft,,,,,https://buddy.farm/i/magna-core/,https://buddy.farm/page-data/i/magna-core/page-data.json,,buddy-item-multi-source-v1,,
Magnifying Glass,magnifying glass,craft,,,,,https://buddy.farm/i/magnifying-glass/,https://buddy.farm/page-data/i/magnifying-glass/page-data.json,,buddy-item-multi-source-v1,,
Magus Hat,magus hat,craft,,,,,https://buddy.farm/i/magus-hat/,https://buddy.farm/page-data/i/magus-hat/page-data.json,,buddy-item-multi-source-v1,,
Mayonnaise,mayonnaise,craft,,,,,https://buddy.farm/i/mayonnaise/,https://buddy.farm/page-data/i/mayonnaise/page-data.json,,buddy-item-multi-source-v1,,
Metal Spool,metal spool,craft,,,,,https://buddy.farm/i/metal-spool/,https://buddy.farm/page-data/i/metal-spool/page-data.json,,buddy-item-multi-source-v1,,
Mushroom Paste,mushroom paste,craft,,,,,https://buddy.farm/i/mushroom-paste/,https://buddy.farm/page-data/i/mushroom-paste/page-data.json,,buddy-item-multi-source-v1,,
Mushroom Stew,mushroom stew,cooking,Holger's Mushroom Stew,holger s mushroom stew,20,,https://buddy.farm/i/mushroom-stew/,https://buddy.farm/page-data/i/mushroom-stew/page-data.json,,buddy-item-multi-source-v1,,
Mystic Ring,mystic ring,craft,,,,,https://buddy.farm/i/mystic-ring/,https://buddy.farm/page-data/i/mystic-ring/page-data.json,,buddy-item-multi-source-v1,,
Nailed Board,nailed board,craft,,,,,https://buddy.farm/i/nailed-board/,https://buddy.farm/page-data/i/nailed-board/page-data.json,,buddy-item-multi-source-v1,,
Neigh,neigh,cooking,Charles's Neigh,charles s neigh,30,,https://buddy.farm/i/neigh/,https://buddy.farm/page-data/i/neigh/page-data.json,,buddy-item-multi-source-v1,,
Oak Table,oak table,craft,,,,,https://buddy.farm/i/oak-table/,https://buddy.farm/page-data/i/oak-table/page-data.json,,buddy-item-multi-source-v1,,
Onion Soup,onion soup,cooking,George's Onion Soup,george s onion soup,5,,https://buddy.farm/i/onion-soup/,https://buddy.farm/page-data/i/onion-soup/page-data.json,,buddy-item-multi-source-v1,,
Orange Butterfly,orange butterfly,craft,,,,,https://buddy.farm/i/orange-butterfly/,https://buddy.farm/page-data/i/orange-butterfly/page-data.json,,buddy-item-multi-source-v1,,
Orange Dye,orange dye,craft,,,,,https://buddy.farm/i/orange-dye/,https://buddy.farm/page-data/i/orange-dye/page-data.json,,buddy-item-multi-source-v1,,
Orange Juice,orange juice,craft,,,,,https://buddy.farm/i/orange-juice/,https://buddy.farm/page-data/i/orange-juice/page-data.json,,buddy-item-multi-source-v1,,
Orange Scarf,orange scarf,craft,,,,,https://buddy.farm/i/orange-scarf/,https://buddy.farm/page-data/i/orange-scarf/page-data.json,,buddy-item-multi-source-v1,,
Orange Shirt,orange shirt,craft,,,,,https://buddy.farm/i/orange-shirt/,https://buddy.farm/page-data/i/orange-shirt/page-data.json,,buddy-item-multi-source-v1,,
Orange Twine,orange twine,craft,,,,,https://buddy.farm/i/orange-twine/,https://buddy.farm/page-data/i/orange-twine/page-data.json,,buddy-item-multi-source-v1,,
Over The Moon,over the moon,cooking,Roomba's Over The Moon,roomba s over the moon,10,,https://buddy.farm/i/over-the-moon/,https://buddy.farm/page-data/i/over-the-moon/page-data.json,,buddy-item-multi-source-v1,,
Pair of Boots,pair of boots,craft,,,,,https://buddy.farm/i/pair-of-boots/,https://buddy.farm/page-data/i/pair-of-boots/page-data.json,,buddy-item-multi-source-v1,,
Pair of Gold Boots,pair of gold boots,craft,,,,,https://buddy.farm/i/pair-of-gold-boots/,https://buddy.farm/page-data/i/pair-of-gold-boots/page-data.json,,buddy-item-multi-source-v1,,
