output_canonical_key,output_item_name,input_order,input_item_name,input_canonical_key,quantity,source_url,page_data_url,cache_file_name,parser_version,flags,notes
arnold palmer,Arnold Palmer,2,Iced Tea,iced tea,1,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
awl,Awl,1,Iron,iron,1,https://buddy.farm/i/awl/,https://buddy.farm/page-data/i/awl/page-data.json,awl__awl.json,buddy-item-multi-source-v1,,
awl,Awl,2,Iron Ring,iron ring,2,https://buddy.farm/i/awl/,https://buddy.farm/page-data/i/awl/page-data.json,awl__awl.json,buddy-item-multi-source-v1,,
awl,Awl,3,Wood,wood,1,https://buddy.farm/i/awl/,https://buddy.farm/page-data/i/awl/page-data.json,awl__awl.json,buddy-item-multi-source-v1,,
axe,Axe,1,Iron,iron,1,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,axe__axe.json,buddy-item-multi-source-v1,,
axe,Axe,2,Nails,nails,2,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,axe__axe.json,buddy-item-multi-source-v1,,
axe,Axe,3,Board,board,1,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,axe__axe.json,buddy-item-multi-source-v1,,
axe,Axe,4,Stone,stone,1,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,axe__axe.json,buddy-item-multi-source-v1,,
axe,Axe,5,Mushroom Paste,mushroom paste,1,https://buddy.farm/i/axe/,https://buddy.farm/page-data/i/axe/page-data.json,axe__axe.json,buddy-item-multi-source-v1,,
bamboo chair,Bamboo Chair,1,Twine,twine,15,https://buddy.farm/i/bamboo-chair/,https://buddy.farm/page-data/i/bamboo-chair/page-data.json,bamboo-chair__bamboo-chair.json,buddy-item-multi-source-v1,,
bamboo chair,Bamboo Chair,2,Bamboo,bamboo,30,https://buddy.farm/i/bamboo-chair/,https://buddy.farm/page-data/i/bamboo-chair/page-data.json,bamboo-chair__bamboo-chair.json,buddy-item-multi-source-v1,,
bamboo chair,Bamboo Chair,3,Basic Pillow,basic pillow,1,https://buddy.farm/i/bamboo-chair/,https://buddy.farm/page-data/i/bamboo-chair/page-data.json,bamboo-chair__bamboo-chair.json,buddy-item-multi-source-v1,,
bamboo fence,Bamboo Fence,1,Board,board,10,https://buddy.farm/i/bamboo-fence/,https://buddy.farm/page-data/i/bamboo-fence/page-data.json,bamboo-fence__bamboo-fence.json,buddy-item-multi-source-v1,,
bamboo fence,Bamboo Fence,2,Twine,twine,10,https://buddy.farm/i/bamboo-fence/,https://buddy.farm/page-data/i/bamboo-fence/page-data.json,bamboo-fence__bamboo-fence.json,buddy-item-multi-source-v1,,
bamboo fence,Bamboo Fence,3,Bamboo,bamboo,35,https://buddy.farm/i/bamboo-fence/,https://buddy.farm/page-data/i/bamboo-fence/page-data.json,bamboo-fence__bamboo-fence.json,buddy-item-multi-source-v1,,
bamboo flute,Bamboo Flute,1,Steel Wire,steel wire,1,https://buddy.farm/i/bamboo-flute/,https://buddy.farm/page-data/i/bamboo-flute/page-data.json,bamboo-flute__bamboo-flute.json,buddy-item-multi-source-v1,,
bamboo flute,Bamboo Flute,2,Awl,awl,1,https://buddy.farm/i/bamboo-flute/,https://buddy.farm/page-data/i/bamboo-flute/page-data.json,bamboo-flute__bamboo-flute.json,buddy-item-multi-source-v1,,
bamboo flute,Bamboo Flute,3,Bamboo,bamboo,2,https://buddy.farm/i/bamboo-flute/,https://buddy.farm/page-data/i/bamboo-flute/page-data.json,bamboo-flute__bamboo-flute.json,buddy-item-multi-source-v1,,
bamboo rope,Bamboo Rope,1,Bamboo,bamboo,4,https://buddy.farm/i/bamboo-rope/,https://buddy.farm/page-data/i/bamboo-rope/page-data.json,bamboo-rope__bamboo-rope.json,buddy-item-multi-source-v1,,
bamboo trellis,Bamboo Trellis,1,Twine,twine,10,https://buddy.farm/i/bamboo-trellis/,https://buddy.farm/page-data/i/bamboo-trellis/page-data.json,bamboo-trellis__bamboo-trellis.json,buddy-item-multi-source-v1,,
bamboo trellis,Bamboo Trellis,2,Bamboo,bamboo,20,https://buddy.farm/i/bamboo-trellis/,https://buddy.farm/page-data/i/bamboo-trellis/page-data.json,bamboo-trellis__bamboo-trellis.json,buddy-item-multi-source-v1,,
barbed wire,Barbed Wire,1,Thorns,thorns,5,https://buddy.farm/i/barbed-wire/,https://buddy.farm/page-data/i/barbed-wire/page-data.json,barbed-wire__barbed-wire.json,buddy-item-multi-source-v1,,
barbed wire,Barbed Wire,2,Steel Wire,steel wire,1,https://buddy.farm/i/barbed-wire/,https://buddy.farm/page-data/i/barbed-wire/page-data.json,barbed-wire__barbed-wire.json,buddy-item-multi-source-v1,,
basic pillow,Basic Pillow,1,Feathers,feathers,25,https://buddy.farm/i/basic-pillow/,https://buddy.farm/page-data/i/basic-pillow/page-data.json,basic-pillow__basic-pillow.json,buddy-item-multi-source-v1,,
basic pillow,Basic Pillow,2,Twine,twine,2,https://buddy.farm/i/basic-pillow/,https://buddy.farm/page-data/i/basic-pillow/page-data.json,basic-pillow__basic-pillow.json,buddy-item-multi-source-v1,,
basic pillow,Basic Pillow,3,Cloth,cloth,2,https://buddy.farm/i/basic-pillow/,https://buddy.farm/page-data/i/basic-pillow/page-data.json,basic-pillow__basic-pillow.json,buddy-item-multi-source-v1,,
belt drive,Belt Drive,1,Purple Dye,purple dye,1,https://buddy.farm/i/belt-drive/,https://buddy.farm/page-data/i/belt-drive/page-data.json,belt-drive__belt-drive.json,buddy-item-multi-source-v1,,
belt drive,Belt Drive,2,Rope,rope,1,https://buddy.farm/i/belt-drive/,https://buddy.farm/page-data/i/belt-drive/page-data.json,belt-drive__belt-drive.json,buddy-item-multi-source-v1,,
belt drive,Belt Drive,3,Pulley,pulley,2,https://buddy.farm/i/belt-drive/,https://buddy.farm/page-data/i/belt-drive/page-data.json,belt-drive__belt-drive.json,buddy-item-multi-source-v1,,
black bag,Black Bag,1,Leather Bag,leather bag,1,https://buddy.farm/i/black-bag/,https://buddy.farm/page-data/i/black-bag/page-data.json,black-bag__black-bag.json,buddy-item-multi-source-v1,,
black bag,Black Bag,2,Black Dye,black dye,1,https://buddy.farm/i/black-bag/,https://buddy.farm/page-data/i/black-bag/page-data.json,black-bag__black-bag.json,buddy-item-multi-source-v1,,
black cloak,Black Cloak,1,Leather,leather,5,https://buddy.farm/i/black-cloak/,https://buddy.farm/page-data/i/black-cloak/page-data.json,black-cloak__black-cloak.json,buddy-item-multi-source-v1,,
black cloak,Black Cloak,2,Cotton,cotton,1,https://buddy.farm/i/black-cloak/,https://buddy.farm/page-data/i/black-cloak/page-data.json,black-cloak__black-cloak.json,buddy-item-multi-source-v1,,
black cloak,Black Cloak,3,Black Twine,black twine,10,https://buddy.farm/i/black-cloak/,https://buddy.farm/page-data/i/black-cloak/page-data.json,black-cloak__black-cloak.json,buddy-item-multi-source-v1,,
black cloak,Black Cloak,4,Black Dye,black dye,10,https://buddy.farm/i/black-cloak/,https://buddy.farm/page-data/i/black-cloak/page-data.json,black-cloak__black-cloak.json,buddy-item-multi-source-v1,,
black dye,Black Dye,1,Glass Bottle,glass bottle,1,https://buddy.farm/i/black-dye/,https://buddy.farm/page-data/i/black-dye/page-data.json,black-dye__black-dye.json,buddy-item-multi-source-v1,,
black dye,Black Dye,2,Shadow Bloom,shadow bloom,3,https://buddy.farm/i/black-dye/,https://buddy.farm/page-data/i/black-dye/page-data.json,black-dye__black-dye.json,buddy-item-multi-source-v1,,
black powder,Black Powder,1,Coal,coal,3,https://buddy.farm/i/black-powder/,https://buddy.farm/page-data/i/black-powder/page-data.json,black-powder__black-powder.json,buddy-item-multi-source-v1,,
black purse,Black Purse,1,Coin Purse,coin purse,1,https://buddy.farm/i/black-purse/,https://buddy.farm/page-data/i/black-purse/page-data.json,black-purse__black-purse.json,buddy-item-multi-source-v1,,
black purse,Black Purse,2,Black Dye,black dye,1,https://buddy.farm/i/black-purse/,https://buddy.farm/page-data/i/black-purse/page-data.json,black-purse__black-purse.json,buddy-item-multi-source-v1,,
black scarf,Black Scarf,1,Yarn,yarn,2,https://buddy.farm/i/black-scarf/,https://buddy.farm/page-data/i/black-scarf/page-data.json,black-scarf__black-scarf.json,buddy-item-multi-source-v1,,
black scarf,Black Scarf,2,Black Dye,black dye,1,https://buddy.farm/i/black-scarf/,https://buddy.farm/page-data/i/black-scarf/page-data.json,black-scarf__black-scarf.json,buddy-item-multi-source-v1,,
black shield,Black Shield,1,Steel,steel,3,https://buddy.farm/i/black-shield/,https://buddy.farm/page-data/i/black-shield/page-data.json,black-shield__black-shield.json,buddy-item-multi-source-v1,,
black shield,Black Shield,2,Sturdy Shield,sturdy shield,1,https://buddy.farm/i/black-shield/,https://buddy.farm/page-data/i/black-shield/page-data.json,black-shield__black-shield.json,buddy-item-multi-source-v1,,
black shield,Black Shield,3,Black Dye,black dye,1,https://buddy.farm/i/black-shield/,https://buddy.farm/page-data/i/black-shield/page-data.json,black-shield__black-shield.json,buddy-item-multi-source-v1,,
black shirt,Black Shirt,1,Sewing Needle,sewing needle,1,https://buddy.farm/i/black-shirt/,https://buddy.farm/page-data/i/black-shirt/page-data.json,black-shirt__black-shirt.json,buddy-item-multi-source-v1,,
black shirt,Black Shirt,2,Black Dye,black dye,1,https://buddy.farm/i/black-shirt/,https://buddy.farm/page-data/i/black-shirt/page-data.json,black-shirt__black-shirt.json,buddy-item-multi-source-v1,,
black shirt,Black Shirt,3,Cloth,cloth,10,https://buddy.farm/i/black-shirt/,https://buddy.farm/page-data/i/black-shirt/page-data.json,black-shirt__black-shirt.json,buddy-item-multi-source-v1,,
black twine,Black Twine,1,Twine,twine,1,https://buddy.farm/i/black-twine/,https://buddy.farm/page-data/i/black-twine/page-data.json,black-twine__black-twine.json,buddy-item-multi-source-v1,,
black twine,Black Twine,2,Black Dye,black dye,1,https://buddy.farm/i/black-twine/,https://buddy.farm/page-data/i/black-twine/page-data.json,black-twine__black-twine.json,buddy-item-multi-source-v1,,
block of wood,Block of Wood,1,Axe,axe,1,https://buddy.farm/i/block-of-wood/,https://buddy.farm/page-data/i/block-of-wood/page-data.json,block-of-wood__block-of-wood.json,buddy-item-multi-source-v1,,
block of wood,Block of Wood,2,Pine Tree,pine tree,1,https://buddy.farm/i/block-of-wood/,https://buddy.farm/page-data/i/block-of-wood/page-data.json,block-of-wood__block-of-wood.json,buddy-item-multi-source-v1,,
block of wood,Block of Wood,3,Handsaw,handsaw,1,https://buddy.farm/i/block-of-wood/,https://buddy.farm/page-data/i/block-of-wood/page-data.json,block-of-wood__block-of-wood.json,buddy-item-multi-source-v1,,
blue butterfly,Blue Butterfly,1,Wood,wood,1,https://buddy.farm/i/blue-butterfly/,https://buddy.farm/page-data/i/blue-butterfly/page-data.json,blue-butterfly__blue-butterfly.json,buddy-item-multi-source-v1,,
blue butterfly,Blue Butterfly,2,Caterpillar,caterpillar,1,https://buddy.farm/i/blue-butterfly/,https://buddy.farm/page-data/i/blue-butterfly/page-data.json,blue-butterfly__blue-butterfly.json,buddy-item-multi-source-v1,,
blue butterfly,Blue Butterfly,3,Blue Dye,blue dye,1,https://buddy.farm/i/blue-butterfly/,https://buddy.farm/page-data/i/blue-butterfly/page-data.json,blue-butterfly__blue-butterfly.json,buddy-item-multi-source-v1,,
blue butterfly,Blue Butterfly,4,Silk,silk,3,https://buddy.farm/i/blue-butterfly/,https://buddy.farm/page-data/i/blue-butterfly/page-data.json,blue-butterfly__blue-butterfly.json,buddy-item-multi-source-v1,,
blue diary,Blue Diary,1,Mushroom Paste,mushroom paste,1,https://buddy.farm/i/blue-diary/,https://buddy.farm/page-data/i/blue-diary/page-data.json,blue-diary__blue-diary.json,buddy-item-multi-source-v1,,
blue diary,Blue Diary,2,White Parchment,white parchment,1,https://buddy.farm/i/blue-diary/,https://buddy.farm/page-data/i/blue-diary/page-data.json,blue-diary__blue-diary.json,buddy-item-multi-source-v1,,
blue diary,Blue Diary,3,Blue Parchment,blue parchment,1,https://buddy.farm/i/blue-diary/,https://buddy.farm/page-data/i/blue-diary/page-data.json,blue-diary__blue-diary.json,buddy-item-multi-source-v1,,
blue dye,Blue Dye,1,Glass Bottle,glass bottle,1,https://buddy.farm/i/blue-dye/,https://buddy.farm/page-data/i/blue-dye/page-data.json,blue-dye__blue-dye.json,buddy-item-multi-source-v1,,
blue dye,Blue Dye,2,Blue Feathers,blue feathers,3,https://buddy.farm/i/blue-dye/,https://buddy.farm/page-data/i/blue-dye/page-data.json,blue-dye__blue-dye.json,buddy-item-multi-source-v1,,
blue parchment,Blue Parchment,1,Blue Feathers,blue feathers,3,https://buddy.farm/i/blue-parchment/,https://buddy.farm/page-data/i/blue-parchment/page-data.json,blue-parchment__blue-parchment.json,buddy-item-multi-source-v1,,
blue purse,Blue Purse,1,Blue Dye,blue dye,1,https://buddy.farm/i/blue-purse/,https://buddy.farm/page-data/i/blue-purse/page-data.json,blue-purse__blue-purse.json,buddy-item-multi-source-v1,,
blue purse,Blue Purse,2,Coin Purse,coin purse,1,https://buddy.farm/i/blue-purse/,https://buddy.farm/page-data/i/blue-purse/page-data.json,blue-purse__blue-purse.json,buddy-item-multi-source-v1,,
blue shirt,Blue Shirt,1,Blue Dye,blue dye,1,https://buddy.farm/i/blue-shirt/,https://buddy.farm/page-data/i/blue-shirt/page-data.json,blue-shirt__blue-shirt.json,buddy-item-multi-source-v1,,
blue shirt,Blue Shirt,2,Sewing Needle,sewing needle,1,https://buddy.farm/i/blue-shirt/,https://buddy.farm/page-data/i/blue-shirt/page-data.json,blue-shirt__blue-shirt.json,buddy-item-multi-source-v1,,
blue shirt,Blue Shirt,3,Cloth,cloth,10,https://buddy.farm/i/blue-shirt/,https://buddy.farm/page-data/i/blue-shirt/page-data.json,blue-shirt__blue-shirt.json,buddy-item-multi-source-v1,,
blue twine,Blue Twine,1,Twine,twine,1,https://buddy.farm/i/blue-twine/,https://buddy.farm/page-data/i/blue-twine/page-data.json,blue-twine__blue-twine.json,buddy-item-multi-source-v1,,
blue twine,Blue Twine,2,Blue Dye,blue dye,1,https://buddy.farm/i/blue-twine/,https://buddy.farm/page-data/i/blue-twine/page-data.json,blue-twine__blue-twine.json,buddy-item-multi-source-v1,,
board,Board,1,Wood,wood,5,https://buddy.farm/i/board/,https://buddy.farm/page-data/i/board/page-data.json,board__board.json,buddy-item-multi-source-v1,,
bone broth,Bone Broth,1,Bone,bone,10,https://buddy.farm/i/bone-broth/,https://buddy.farm/page-data/i/bone-broth/page-data.json,bone-broth__bone-broth.json,buddy-item-multi-source-v1,,
bone broth,Bone Broth,2,Coal,coal,5,https://buddy.farm/i/bone-broth/,https://buddy.farm/page-data/i/bone-broth/page-data.json,bone-broth__bone-broth.json,buddy-item-multi-source-v1,,
bone broth,Bone Broth,3,Cooking Pot,cooking pot,1,https://buddy.farm/i/bone-broth/,https://buddy.farm/page-data/i/bone-broth/page-data.json,bone-broth__bone-broth.json,buddy-item-multi-source-v1,,
bone pickaxe,Bone Pickaxe,1,Mushroom Paste,mushroom paste,1,https://buddy.farm/i/bone-pickaxe/,https://buddy.farm/page-data/i/bone-pickaxe/page-data.json,bone-pickaxe__bone-pickaxe.json,buddy-item-multi-source-v1,,
bone pickaxe,Bone Pickaxe,2,Bone,bone,1,https://buddy.farm/i/bone-pickaxe/,https://buddy.farm/page-data/i/bone-pickaxe/page-data.json,bone-pickaxe__bone-pickaxe.json,buddy-item-multi-source-v1,,
bone pickaxe,Bone Pickaxe,3,Pickaxe,pickaxe,1,https://buddy.farm/i/bone-pickaxe/,https://buddy.farm/page-data/i/bone-pickaxe/page-data.json,bone-pickaxe__bone-pickaxe.json,buddy-item-multi-source-v1,,
bottle rocket,Bottle Rocket,1,Black Powder,black powder,1,https://buddy.farm/i/bottle-rocket/,https://buddy.farm/page-data/i/bottle-rocket/page-data.json,bottle-rocket__bottle-rocket.json,buddy-item-multi-source-v1,,
bottle rocket,Bottle Rocket,2,Wood,wood,3,https://buddy.farm/i/bottle-rocket/,https://buddy.farm/page-data/i/bottle-rocket/page-data.json,bottle-rocket__bottle-rocket.json,buddy-item-multi-source-v1,,
bottle rocket,Bottle Rocket,3,Feathers,feathers,2,https://buddy.farm/i/bottle-rocket/,https://buddy.farm/page-data/i/bottle-rocket/page-data.json,bottle-rocket__bottle-rocket.json,buddy-item-multi-source-v1,,
bouquet of flowers,Bouquet of Flowers,1,Red Flowers,red flowers,2,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,bouquet-of-flowers__bouquet-of-flowers.json,buddy-item-multi-source-v1,,
bouquet of flowers,Bouquet of Flowers,2,White Parchment,white parchment,1,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,bouquet-of-flowers__bouquet-of-flowers.json,buddy-item-multi-source-v1,,
bouquet of flowers,Bouquet of Flowers,3,Yellow Flowers,yellow flowers,2,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,bouquet-of-flowers__bouquet-of-flowers.json,buddy-item-multi-source-v1,,
bouquet of flowers,Bouquet of Flowers,4,Blue Flowers,blue flowers,2,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,bouquet-of-flowers__bouquet-of-flowers.json,buddy-item-multi-source-v1,,
bouquet of flowers,Bouquet of Flowers,5,Orange Flowers,orange flowers,2,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,bouquet-of-flowers__bouquet-of-flowers.json,buddy-item-multi-source-v1,,
bouquet of flowers,Bouquet of Flowers,6,Twine,twine,1,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,bouquet-of-flowers__bouquet-of-flowers.json,buddy-item-multi-source-v1,,
bouquet of flowers,Bouquet of Flowers,7,White Flowers,white flowers,2,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,bouquet-of-flowers__bouquet-of-flowers.json,buddy-item-multi-source-v1,,
breakfast boost,Breakfast Boost,1,Eggs,eggs,3,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,breakfast-boost__breakfast-boost.json,buddy-item-multi-source-v1,,
breakfast boost,Breakfast Boost,2,Cabbage,cabbage,2,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,breakfast-boost__breakfast-boost.json,buddy-item-multi-source-v1,,
breakfast boost,Breakfast Boost,3,Coal,coal,120,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,breakfast-boost__breakfast-boost.json,buddy-item-multi-source-v1,,
breakfast boost,Breakfast Boost,4,Grape Juice,grape juice,1,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,breakfast-boost__breakfast-boost.json,buddy-item-multi-source-v1,,
breakfast boost,Breakfast Boost,5,Cheese,cheese,1,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,breakfast-boost__breakfast-boost.json,buddy-item-multi-source-v1,,
breakfast boost,Breakfast Boost,6,Flour,flour,4,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,breakfast-boost__breakfast-boost.json,buddy-item-multi-source-v1,,
breakfast boost,Breakfast Boost,7,Butter,butter,1,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,breakfast-boost__breakfast-boost.json,buddy-item-multi-source-v1,,
broom,Broom,1,Board,board,1,https://buddy.farm/i/broom/,https://buddy.farm/page-data/i/broom/page-data.json,broom__broom.json,buddy-item-multi-source-v1,,
broom,Broom,2,Straw,straw,1,https://buddy.farm/i/broom/,https://buddy.farm/page-data/i/broom/page-data.json,broom__broom.json,buddy-item-multi-source-v1,,
brown bag,Brown Bag,1,Leather Bag,leather bag,1,https://buddy.farm/i/brown-bag/,https://buddy.farm/page-data/i/brown-bag/page-data.json,brown-bag__brown-bag.json,buddy-item-multi-source-v1,,
brown bag,Brown Bag,2,Brown Dye,brown dye,1,https://buddy.farm/i/brown-bag/,https://buddy.farm/page-data/i/brown-bag/page-data.json,brown-bag__brown-bag.json,buddy-item-multi-source-v1,,
brown cloak,Brown Cloak,1,Leather,leather,5,https://buddy.farm/i/brown-cloak/,https://buddy.farm/page-data/i/brown-cloak/page-data.json,brown-cloak__brown-cloak.json,buddy-item-multi-source-v1,,
brown cloak,Brown Cloak,2,Twine,twine,10,https://buddy.farm/i/brown-cloak/,https://buddy.farm/page-data/i/brown-cloak/page-data.json,brown-cloak__brown-cloak.json,buddy-item-multi-source-v1,,
brown cloak,Brown Cloak,3,Cotton,cotton,1,https://buddy.farm/i/brown-cloak/,https://buddy.farm/page-data/i/brown-cloak/page-data.json,brown-cloak__brown-cloak.json,buddy-item-multi-source-v1,,
brown cloak,Brown Cloak,4,Brown Dye,brown dye,10,https://buddy.farm/i/brown-cloak/,https://buddy.farm/page-data/i/brown-cloak/page-data.json,brown-cloak__brown-cloak.json,buddy-item-multi-source-v1,,
brown dye,Brown Dye,1,Glass Bottle,glass bottle,1,https://buddy.farm/i/brown-dye/,https://buddy.farm/page-data/i/brown-dye/page-data.json,brown-dye__brown-dye.json,buddy-item-multi-source-v1,,
brown dye,Brown Dye,2,Mudcap,mudcap,3,https://buddy.farm/i/brown-dye/,https://buddy.farm/page-data/i/brown-dye/page-data.json,brown-dye__brown-dye.json,buddy-item-multi-source-v1,,
brown twine,Brown Twine,1,Twine,twine,1,https://buddy.farm/i/brown-twine/,https://buddy.farm/page-data/i/brown-twine/page-data.json,brown-twine__brown-twine.json,buddy-item-multi-source-v1,,
