quest_key,reward_type,item_name,canonical_key,quantity,source_url,notes
"1,000,000 farmers iv",item,Large Chest 03,large chest 03,50,https://buddy.farm/i/large-chest-03/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/large-chest-03/; Page data: https://buddy.farm/page-data/i/large-chest-03/page-data.json; Cache: large-chest-03__large-chest-03.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551516; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iv",item,Sea Pincher Special,sea pincher special,3,https://buddy.farm/i/sea-pincher-special/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/sea-pincher-special/; Page data: https://buddy.farm/page-data/i/sea-pincher-special/page-data.json; Cache: sea-pincher-special__sea-pincher-special.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551516; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers iv",item,Void Bag 01,void bag 01,15,https://buddy.farm/i/void-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/void-bag-01/; Page data: https://buddy.farm/page-data/i/void-bag-01/page-data.json; Cache: void-bag-01__void-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551516; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ix",item,Borgen Bag 01,borgen bag 01,3,https://buddy.farm/i/borgen-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/borgen-bag-01/; Page data: https://buddy.farm/page-data/i/borgen-bag-01/page-data.json; Cache: borgen-bag-01__borgen-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551521; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ix",item,Fish and Chips,fish and chips,1,https://buddy.farm/i/fish-and-chips/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/fish-and-chips/; Page data: https://buddy.farm/page-data/i/fish-and-chips/page-data.json; Cache: fish-and-chips__fish-and-chips.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551521; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ix",item,Thank You Card,thank you card,1,https://buddy.farm/i/thank-you-card/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/thank-you-card/; Page data: https://buddy.farm/page-data/i/thank-you-card/page-data.json; Cache: thank-you-card__thank-you-card.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551521; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ix",item,Travel Voucher,travel voucher,2,https://buddy.farm/i/travel-voucher/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/travel-voucher/; Page data: https://buddy.farm/page-data/i/travel-voucher/page-data.json; Cache: travel-voucher__travel-voucher.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551521; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers ix",item,Void Bag 01,void bag 01,50,https://buddy.farm/i/void-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/void-bag-01/; Page data: https://buddy.farm/page-data/i/void-bag-01/page-data.json; Cache: void-bag-01__void-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551521; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers v",item,Corn Prize Bag,corn prize bag,5,https://buddy.farm/i/corn-prize-bag/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/corn-prize-bag/; Page data: https://buddy.farm/page-data/i/corn-prize-bag/page-data.json; Cache: corn-prize-bag__corn-prize-bag.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551517; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers v",item,Event Token,event token,125,https://buddy.farm/i/event-token/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/event-token/; Page data: https://buddy.farm/page-data/i/event-token/page-data.json; Cache: event-token__event-token.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551517; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers v",item,Fish and Chips,fish and chips,1,https://buddy.farm/i/fish-and-chips/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/fish-and-chips/; Page data: https://buddy.farm/page-data/i/fish-and-chips/page-data.json; Cache: fish-and-chips__fish-and-chips.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551517; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers v",item,Fruit Punch,fruit punch,50,https://buddy.farm/i/fruit-punch/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/fruit-punch/; Page data: https://buddy.farm/page-data/i/fruit-punch/page-data.json; Cache: fruit-punch__fruit-punch.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551517; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers v",item,Mushroom Stew,mushroom stew,3,https://buddy.farm/i/mushroom-stew/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/mushroom-stew/; Page data: https://buddy.farm/page-data/i/mushroom-stew/page-data.json; Cache: mushroom-stew__mushroom-stew.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551517; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers v",item,Void Bag 01,void bag 01,20,https://buddy.farm/i/void-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/void-bag-01/; Page data: https://buddy.farm/page-data/i/void-bag-01/page-data.json; Cache: void-bag-01__void-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551517; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vi",item,Event Token,event token,150,https://buddy.farm/i/event-token/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/event-token/; Page data: https://buddy.farm/page-data/i/event-token/page-data.json; Cache: event-token__event-token.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551518; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vi",item,Fish and Chips,fish and chips,1,https://buddy.farm/i/fish-and-chips/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/fish-and-chips/; Page data: https://buddy.farm/page-data/i/fish-and-chips/page-data.json; Cache: fish-and-chips__fish-and-chips.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551518; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vi",item,Lemon Cream Pie,lemon cream pie,5,https://buddy.farm/i/lemon-cream-pie/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemon-cream-pie/; Page data: https://buddy.farm/page-data/i/lemon-cream-pie/page-data.json; Cache: lemon-cream-pie__lemon-cream-pie.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551518; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vi",item,Raptor Claw,raptor claw,50,https://buddy.farm/i/raptor-claw/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/raptor-claw/; Page data: https://buddy.farm/page-data/i/raptor-claw/page-data.json; Cache: raptor-claw__raptor-claw.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551518; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vi",item,Void Bag 01,void bag 01,25,https://buddy.farm/i/void-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/void-bag-01/; Page data: https://buddy.farm/page-data/i/void-bag-01/page-data.json; Cache: void-bag-01__void-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551518; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii",item,Borgen Bag 01,borgen bag 01,1,https://buddy.farm/i/borgen-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/borgen-bag-01/; Page data: https://buddy.farm/page-data/i/borgen-bag-01/page-data.json; Cache: borgen-bag-01__borgen-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551519; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii",item,Borgen Buck,borgen buck,1,https://buddy.farm/i/borgen-buck/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/borgen-buck/; Page data: https://buddy.farm/page-data/i/borgen-buck/page-data.json; Cache: borgen-buck__borgen-buck.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551519; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii",item,Buddy Doll,buddy doll,1,https://buddy.farm/i/buddy-doll/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/buddy-doll/; Page data: https://buddy.farm/page-data/i/buddy-doll/page-data.json; Cache: buddy-doll__buddy-doll.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551519; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii",item,Crunchy Omelette,crunchy omelette,1,https://buddy.farm/i/crunchy-omelette/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/crunchy-omelette/; Page data: https://buddy.farm/page-data/i/crunchy-omelette/page-data.json; Cache: crunchy-omelette__crunchy-omelette.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551519; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii",item,Event Token,event token,175,https://buddy.farm/i/event-token/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/event-token/; Page data: https://buddy.farm/page-data/i/event-token/page-data.json; Cache: event-token__event-token.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551519; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii",item,Fish and Chips,fish and chips,1,https://buddy.farm/i/fish-and-chips/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/fish-and-chips/; Page data: https://buddy.farm/page-data/i/fish-and-chips/page-data.json; Cache: fish-and-chips__fish-and-chips.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551519; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii",item,Piece of Heart,piece of heart,1,https://buddy.farm/i/piece-of-heart/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/piece-of-heart/; Page data: https://buddy.farm/page-data/i/piece-of-heart/page-data.json; Cache: piece-of-heart__piece-of-heart.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551519; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers vii",item,Thank You Card,thank you card,1,https://buddy.farm/i/thank-you-card/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/thank-you-card/; Page data: https://buddy.farm/page-data/i/thank-you-card/page-data.json; Cache: thank-you-card__thank-you-card.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551519; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii",item,Black Truffle,black truffle,200,https://buddy.farm/i/black-truffle/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/black-truffle/; Page data: https://buddy.farm/page-data/i/black-truffle/page-data.json; Cache: black-truffle__black-truffle.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551520; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii",item,Buddy Loves You Card,buddy loves you card,1,https://buddy.farm/i/buddy-loves-you-card/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/buddy-loves-you-card/; Page data: https://buddy.farm/page-data/i/buddy-loves-you-card/page-data.json; Cache: buddy-loves-you-card__buddy-loves-you-card.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551520; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii",item,Clawed Card,clawed card,1,https://buddy.farm/i/clawed-card/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/clawed-card/; Page data: https://buddy.farm/page-data/i/clawed-card/page-data.json; Cache: clawed-card__clawed-card.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551520; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii",item,Event Token,event token,200,https://buddy.farm/i/event-token/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/event-token/; Page data: https://buddy.farm/page-data/i/event-token/page-data.json; Cache: event-token__event-token.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551520; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii",item,Fish and Chips,fish and chips,1,https://buddy.farm/i/fish-and-chips/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/fish-and-chips/; Page data: https://buddy.farm/page-data/i/fish-and-chips/page-data.json; Cache: fish-and-chips__fish-and-chips.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551520; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii",item,Friendship Bag 01,friendship bag 01,1,https://buddy.farm/i/friendship-bag-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/friendship-bag-01/; Page data: https://buddy.farm/page-data/i/friendship-bag-01/page-data.json; Cache: friendship-bag-01__friendship-bag-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551520; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii",item,Pumpkin Juice,pumpkin juice,1,https://buddy.farm/i/pumpkin-juice/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/pumpkin-juice/; Page data: https://buddy.farm/page-data/i/pumpkin-juice/page-data.json; Cache: pumpkin-juice__pumpkin-juice.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551520; Quest end date: 2025-12-06T05:59:59+00:00
"1,000,000 farmers viii",item,You Rock Card,you rock card,1,https://buddy.farm/i/you-rock-card/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/you-rock-card/; Page data: https://buddy.farm/page-data/i/you-rock-card/page-data.json; Cache: you-rock-card__you-rock-card.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 7551520; Quest end date: 2025-12-06T05:59:59+00:00
"10,000 players!",item,Apple,apple,5,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 52; Quest end date: 2021-06-22T04:59:59+00:00
"10,000 players!",item,Iced Tea,iced tea,1,https://buddy.farm/i/iced-tea/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/iced-tea/; Page data: https://buddy.farm/page-data/i/iced-tea/page-data.json; Cache: iced-tea__iced-tea.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 52; Quest end date: 2021-06-22T04:59:59+00:00
"10,000 players!",item,Orange Juice,orange juice,3,https://buddy.farm/i/orange-juice/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange-juice/; Page data: https://buddy.farm/page-data/i/orange-juice/page-data.json; Cache: orange-juice__orange-juice.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 52; Quest end date: 2021-06-22T04:59:59+00:00
"100,000",item,Ancient Coin,ancient coin,100,https://buddy.farm/i/ancient-coin/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 696; Quest end date: 2022-01-01T05:59:59+00:00
"100,000",item,Apple,apple,100,https://buddy.farm/i/apple/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 696; Quest end date: 2022-01-01T05:59:59+00:00
"100,000",item,Fishing Net,fishing net,100,https://buddy.farm/i/fishing-net/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/fishing-net/; Page data: https://buddy.farm/page-data/i/fishing-net/page-data.json; Cache: fishing-net__fishing-net.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 696; Quest end date: 2022-01-01T05:59:59+00:00
"100,000",item,Lemonade,lemonade,100,https://buddy.farm/i/lemonade/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/lemonade/; Page data: https://buddy.farm/page-data/i/lemonade/page-data.json; Cache: lemonade__lemonade.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 696; Quest end date: 2022-01-01T05:59:59+00:00
"100,000",item,Orange Juice,orange juice,100,https://buddy.farm/i/orange-juice/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/orange-juice/; Page data: https://buddy.farm/page-data/i/orange-juice/page-data.json; Cache: orange-juice__orange-juice.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 696; Quest end date: 2022-01-01T05:59:59+00:00
12 days of christmas,item,Christmas Present 01,christmas present 01,1,https://buddy.farm/i/christmas-present-01/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/christmas-present-01/; Page data: https://buddy.farm/page-data/i/christmas-present-01/page-data.json; Cache: christmas-present-01__christmas-present-01.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 620; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ii,item,Christmas Present 02,christmas present 02,1,https://buddy.farm/i/christmas-present-02/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/christmas-present-02/; Page data: https://buddy.farm/page-data/i/christmas-present-02/page-data.json; Cache: christmas-present-02__christmas-present-02.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 621; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iii,item,Christmas Present 03,christmas present 03,1,https://buddy.farm/i/christmas-present-03/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/christmas-present-03/; Page data: https://buddy.farm/page-data/i/christmas-present-03/page-data.json; Cache: christmas-present-03__christmas-present-03.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 631; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iv,item,Christmas Present 04,christmas present 04,1,https://buddy.farm/i/christmas-present-04/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/christmas-present-04/; Page data: https://buddy.farm/page-data/i/christmas-present-04/page-data.json; Cache: christmas-present-04__christmas-present-04.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 630; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,item,Christmas Present 09,christmas present 09,1,https://buddy.farm/i/christmas-present-09/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/christmas-present-09/; Page data: https://buddy.farm/page-data/i/christmas-present-09/page-data.json; Cache: christmas-present-09__christmas-present-09.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 625; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,item,Christmas Present 05,christmas present 05,1,https://buddy.farm/i/christmas-present-05/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/christmas-present-05/; Page data: https://buddy.farm/page-data/i/christmas-present-05/page-data.json; Cache: christmas-present-05__christmas-present-05.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 629; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,item,Christmas Present 06,christmas present 06,1,https://buddy.farm/i/christmas-present-06/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/christmas-present-06/; Page data: https://buddy.farm/page-data/i/christmas-present-06/page-data.json; Cache: christmas-present-06__christmas-present-06.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 628; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,item,Christmas Present 07,christmas present 07,1,https://buddy.farm/i/christmas-present-07/,Promoted from complete cached Buddy item-page reward evidence for BL-274.; Observed on item page: https://buddy.farm/i/christmas-present-07/; Page data: https://buddy.farm/page-data/i/christmas-present-07/page-data.json; Cache: christmas-present-07__christmas-present-07.json; Parser: buddy-item-multi-source-v1; Buddy quest id: 627; Quest end date: 2026-01-04T05:59:59+00:00
