item_name,canonical_key,mastery_possible,farmrpg_item_id,buddy_slug,source_datasets,notes
Bar of Silver,bar of silver,unknown,1285,bar-of-silver,buddy_item_evidence_cache,
Barbed Wire,barbed wire,yes,1211,barbed-wire,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Barnacle Shell,barnacle shell,yes,1243,barnacle-shell,buddy_item_evidence_cache;mastery_difficulty,
Barracuda,barracuda,yes,307,barracuda,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Basic Pillow,basic pillow,yes,1420,basic-pillow,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Bat Wing,bat wing,unknown,667,bat-wing,buddy_item_evidence_cache,
Beach Ball,beach ball,unknown,793,beach-ball,buddy_item_evidence_cache,
Beach Towel,beach towel,unknown,1087,beach-towel,buddy_item_evidence_cache,
Beach Umbrella,beach umbrella,unknown,1086,beach-umbrella,buddy_item_evidence_cache,
Bear Buddy Doll,bear buddy doll,unknown,1446,bear-buddy-doll,buddy_item_evidence_cache,
Beary Squishies,beary squishies,unknown,1048,beary-squishies,buddy_item_evidence_cache,
Beatrix Bobblehead,beatrix bobblehead,unknown,1061,beatrix-bobblehead,buddy_item_evidence_cache,
Beatrix's Big Box of Boom,beatrix's big box of boom,unknown,790,beatrix-s-big-box-of-boom,buddy_item_evidence_cache,
Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,unknown,1091,beatrix-s-booming-brawl-box-01,buddy_item_evidence_cache,
Beatrix's Booming Brawl Box 02,beatrix's booming brawl box 02,unknown,1261,beatrix-s-booming-brawl-box-02,buddy_item_evidence_cache,
Beatrix's Booming Brawl Box 03,beatrix's booming brawl box 03,no,1513,beatrix-s-booming-brawl-box-03,buddy_item_evidence_cache;new_item_intake_2026_06_30,Promoted for BL-318 from user-confirmed new item evidence and cached Buddy page-data. User confirmed not masterable. Generated slug beatrixs-booming-brawl-box-03 returned 404; confirmed Buddy slug is beatrix-s-booming-brawl-box-03. Canonical key preserves the apostrophe per project identity rules. Source: https://buddy.farm/i/beatrix-s-booming-brawl-box-03/; Page data: https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-03/page-data.json; Cache: beatrix-s-booming-brawl-box-03__beatrix-s-booming-brawl-box-03.json; Parser: buddy-item-multi-source-v1
Beet,beet,yes,450,beet,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;tower_requirements,
Beet Seeds,beet seeds,unknown,449,beet-seeds,buddy_item_evidence_cache,
Bell,bell,unknown,471,bell,buddy_item_evidence_cache,
Belt Drive,belt drive,yes,677,belt-drive,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Belt of Commander Uteer,belt of commander uteer,unknown,848,belt-of-commander-uteer,buddy_item_evidence_cache,
Belt of Freedom,belt of freedom,unknown,1098,belt-of-freedom,buddy_item_evidence_cache,
Belt of Menace,belt of menace,unknown,868,belt-of-menace,buddy_item_evidence_cache,
Belt of Truth,belt of truth,unknown,851,belt-of-truth,buddy_item_evidence_cache,
Bessi Gan Belt,bessi gan belt,unknown,849,bessi-gan-belt,buddy_item_evidence_cache,
Bird Egg,bird egg,unknown,111,bird-egg,buddy_item_evidence_cache;recipe_inputs.input,
Bird Key,bird key,unknown,1127,bird-key,buddy_item_evidence_cache,
Bird Skull 01,bird skull 01,unknown,902,bird-skull-01,buddy_item_evidence_cache,
Birthday Present,birthday present,unknown,547,birthday-present,buddy_item_evidence_cache,
Birthday Suit Buddy Doll,birthday suit buddy doll,unknown,1235,birthday-suit-buddy-doll,buddy_item_evidence_cache,
Birthday Surprise Box 03,birthday surprise box 03,unknown,1039,birthday-surprise-box-03,buddy_item_evidence_cache,
Birthday Surprise Box 04,birthday surprise box 04,unknown,1233,birthday-surprise-box-04,buddy_item_evidence_cache,
Birthday Surprise Box 05,birthday surprise box 05,unknown,1490,birthday-surprise-box-05,buddy_item_evidence_cache,
Bitten Apple,bitten apple,unknown,1288,bitten-apple,buddy_item_evidence_cache,
Black Bag,black bag,yes,1400,black-bag,buddy_item_evidence_cache;recipes.output;personal_mastery_export_2026_08_08;user_mastery_eligibility_review_2026_08_08,Promoted in BL-326 from a mastery value in the reviewed personal export and user confirmation.
Black Cloak,black cloak,yes,1401,black-cloak,buddy_item_evidence_cache;recipes.output;personal_mastery_export_2026_08_08;user_mastery_eligibility_review_2026_08_08,Promoted in BL-326 from a mastery value in the reviewed personal export and user confirmation.
Black Dye,black dye,yes,1366,black-dye,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Black Hole Egg,black hole egg,unknown,1470,black-hole-egg,buddy_item_evidence_cache,
Black Powder,black powder,yes,104,black-powder,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Black Purse,black purse,yes,1395,black-purse,buddy_item_evidence_cache;recipes.output;personal_mastery_export_2026_08_08;user_mastery_eligibility_review_2026_08_08,Promoted in BL-326 from a mastery value in the reviewed personal export and user confirmation.
Black Scarf,black scarf,yes,1407,black-scarf,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Black Shield,black shield,yes,1404,black-shield,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Black Shirt,black shirt,yes,1417,black-shirt,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Black Truffle,black truffle,unknown,1036,black-truffle,buddy_item_evidence_cache,
Black Twine,black twine,yes,1390,black-twine,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Blitz Buddy Doll,blitz buddy doll,no,1533,blitz-buddy-doll,buddy_item_evidence_cache;new_item_intake_2026_08_08,Promoted for BL-325 from user-confirmed new item evidence and cached Buddy page-data. User confirmed not masterable. Source: https://buddy.farm/i/blitz-buddy-doll/; Page data: https://buddy.farm/page-data/i/blitz-buddy-doll/page-data.json; Cache: blitz-buddy-doll__blitz-buddy-doll.json; Parser: buddy-item-multi-source-v1
Blitzen,blitzen,unknown,447,blitzen,buddy_item_evidence_cache,
Block of Wood,block of wood,yes,1065,block-of-wood,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Blood Crystal,blood crystal,unknown,1117,blood-crystal,buddy_item_evidence_cache,
Blubberfish,blubberfish,yes,1385,blubberfish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Blue Butterfly,blue butterfly,yes,1209,blue-butterfly,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Blue Catfish,blue catfish,yes,89,blue-catfish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Blue Crab,blue crab,yes,57,blue-crab,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Blue Diamond Fish,blue diamond fish,unknown,1494,blue-diamond-fish,buddy_item_evidence_cache,
Blue Diary,blue diary,yes,896,blue-diary,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Blue Dye,blue dye,yes,535,blue-dye,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Blue Feathers,blue feathers,unknown,171,blue-feathers,buddy_item_evidence_cache;recipe_inputs.input,
Blue Flowers,blue flowers,unknown,732,blue-flowers,buddy_item_evidence_cache;recipe_inputs.input,
Blue Gel,blue gel,unknown,314,blue-gel,buddy_item_evidence_cache;recipe_inputs.input,
Blue Milk,blue milk,yes,546,blue-milk,buddy_item_evidence_cache;personal_mastery_export_2026_08_08;user_mastery_eligibility_review_2026_08_08,Promoted in BL-326 from a mastery value in the reviewed personal export and user confirmation.
Blue Ornament,blue ornament,unknown,406,blue-ornament,buddy_item_evidence_cache,
Blue Parchment,blue parchment,yes,895,blue-parchment,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Blue Purse,blue purse,yes,540,blue-purse,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Blue Sea Bass,blue sea bass,yes,133,blue-sea-bass,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Blue Shell,blue shell,yes,90,blue-shell,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;tower_requirements,
Blue Shirt,blue shirt,yes,1410,blue-shirt,buddy_item_evidence_cache;recipes.output;personal_mastery_export_2026_08_08;user_mastery_eligibility_review_2026_08_08,Promoted in BL-326 from a mastery value in the reviewed personal export and user confirmation.
Blue Spritz,blue spritz,unknown,568,blue-spritz,buddy_item_evidence_cache,
Blue Star Stomper,blue star stomper,unknown,791,blue-star-stomper,buddy_item_evidence_cache,
Blue Tang,blue tang,unknown,1259,blue-tang,buddy_item_evidence_cache,
Blue Tiger Fish,blue tiger fish,yes,200,blue-tiger-fish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Blue Twine,blue twine,yes,899,blue-twine,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Bluegill,bluegill,yes,131,bluegill,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Board,board,yes,21,board,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Bog Barnacle,bog barnacle,yes,1376,bog-barnacle,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Boghead Snapper,boghead snapper,yes,1372,boghead-snapper,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Bogslug,bogslug,unknown,1356,bogslug,buddy_item_evidence_cache,
Boltonic Love Potion 4,boltonic love potion 4,unknown,973,boltonic-love-potion-4,buddy_item_evidence_cache,
Bomb,bomb,unknown,789,bomb,buddy_item_evidence_cache,
Bone,bone,unknown,113,bone,buddy_item_evidence_cache;recipe_inputs.input,
Bone 02,bone 02,unknown,905,bone-02,buddy_item_evidence_cache,
Bone 03,bone 03,unknown,908,bone-03,buddy_item_evidence_cache,
Bone 04,bone 04,unknown,915,bone-04,buddy_item_evidence_cache,
Bone 05,bone 05,unknown,925,bone-05,buddy_item_evidence_cache,
Bone 06,bone 06,unknown,1116,bone-06,buddy_item_evidence_cache,
Bone Broth,bone broth,yes,641,bone-broth,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Bone Fish,bone fish,yes,87,bone-fish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Bone Fragments,bone fragments,unknown,854,bone-fragments,buddy_item_evidence_cache,
Bone Pickaxe,bone pickaxe,yes,879,bone-pickaxe,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Boobun's Spray Bottle,boobun's spray bottle,unknown,986,boobun-s-spray-bottle,buddy_item_evidence_cache,
Book of Clues,book of clues,unknown,183,book-of-clues,buddy_item_evidence_cache,
Book of Fish,book of fish,unknown,552,book-of-fish,buddy_item_evidence_cache,
Book of Flora,book of flora,unknown,182,book-of-flora,buddy_item_evidence_cache,
Book of Insects,book of insects,unknown,210,book-of-insects,buddy_item_evidence_cache,
Book of Knots,book of knots,unknown,181,book-of-knots,buddy_item_evidence_cache,
Book of Maps,book of maps,unknown,184,book-of-maps,buddy_item_evidence_cache,
Book of Schemas,book of schemas,unknown,180,book-of-schemas,buddy_item_evidence_cache,
Book of Skill,book of skill,unknown,209,book-of-skill,buddy_item_evidence_cache,
Book of Spells,book of spells,unknown,1138,book-of-spells,buddy_item_evidence_cache,
Book of Time,book of time,unknown,208,book-of-time,buddy_item_evidence_cache,
Borgen Bag 01,borgen bag 01,unknown,861,borgen-bag-01,buddy_item_evidence_cache,
Borgen Bobblehead,borgen bobblehead,unknown,1062,borgen-bobblehead,buddy_item_evidence_cache,
Borgen Buck,borgen buck,unknown,761,borgen-buck,buddy_item_evidence_cache,
Borgen's Dancing Belt,borgen's dancing belt,unknown,985,borgen-s-dancing-belt,buddy_item_evidence_cache,
Bottle Rocket,bottle rocket,yes,105,bottle-rocket,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Bouquet of Flowers,bouquet of flowers,yes,742,bouquet-of-flowers,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Bouquet of Roses,bouquet of roses,unknown,487,bouquet-of-roses,buddy_item_evidence_cache,
Box of Chocolate 01,box of chocolate 01,unknown,483,box-of-chocolate-01,buddy_item_evidence_cache,
Box of Chocolate 02,box of chocolate 02,unknown,715,box-of-chocolate-02,buddy_item_evidence_cache,
Box of Holiday Cakes,box of holiday cakes,unknown,1339,box-of-holiday-cakes,buddy_item_evidence_cache,
Brain Fungus,brain fungus,unknown,929,brain-fungus,buddy_item_evidence_cache,
Bread,bread,unknown,882,bread,buddy_item_evidence_cache,
Breakfast Boost,breakfast boost,yes,661,breakfast-boost,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Briomine,briomine,unknown,822,briomine,buddy_item_evidence_cache,
Broccoli,broccoli,yes,256,broccoli,buddy_item_evidence_cache;mastery_difficulty,
Broccoli Seeds,broccoli seeds,unknown,257,broccoli-seeds,buddy_item_evidence_cache,
Broken Bangle,broken bangle,unknown,1120,broken-bangle,buddy_item_evidence_cache,
Broken Memory Belt,broken memory belt,unknown,858,broken-memory-belt,buddy_item_evidence_cache,
Broken Pipe,broken pipe,unknown,593,broken-pipe,buddy_item_evidence_cache;recipe_inputs.input,
Broken Sword,broken sword,unknown,932,broken-sword,buddy_item_evidence_cache,
Brooch of the Bahltruvian Elite,brooch of the bahltruvian elite,unknown,709,brooch-of-the-bahltruvian-elite,buddy_item_evidence_cache,
Broom,broom,yes,129,broom,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Brown Bag,brown bag,yes,1399,brown-bag,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Brown Cloak,brown cloak,yes,1403,brown-cloak,buddy_item_evidence_cache;recipes.output;personal_mastery_export_2026_08_08;user_mastery_eligibility_review_2026_08_08,Promoted in BL-326 from a mastery value in the reviewed personal export and user confirmation.
Brown Dye,brown dye,yes,1365,brown-dye,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Brown Sugar,brown sugar,yes,1300,brown-sugar,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input,
Brown Twine,brown twine,yes,1392,brown-twine,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Bucket,bucket,yes,23,bucket,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Buddy Bobblehead,buddy bobblehead,unknown,1063,buddy-bobblehead,buddy_item_evidence_cache,
Buddy Box,buddy box,unknown,1509,buddy-box,buddy_item_evidence_cache,
Buddy Cushion,buddy cushion,unknown,751,buddy-cushion,buddy_item_evidence_cache,
Buddy Doll,buddy doll,unknown,739,buddy-doll,buddy_item_evidence_cache,
Buddy Doll Bag 01,buddy doll bag 01,unknown,1297,buddy-doll-bag-01,buddy_item_evidence_cache,
Buddy Doll Bag 02,buddy doll bag 02,unknown,1318,buddy-doll-bag-02,buddy_item_evidence_cache,
Buddy Elf on a Shelf,buddy elf on a shelf,unknown,1341,buddy-elf-on-a-shelf,buddy_item_evidence_cache,
Buddy Loves You Card,buddy loves you card,unknown,747,buddy-loves-you-card,buddy_item_evidence_cache,
Buddy's Beach Bag,buddy's beach bag,unknown,1244,buddy-s-beach-bag,buddy_item_evidence_cache,
Buddy's Beach Ball,buddy's beach ball,unknown,1088,buddy-s-beach-ball,buddy_item_evidence_cache,
Buddy's Old Pirate Belt,buddy's old pirate belt,unknown,853,buddy-s-old-pirate-belt,buddy_item_evidence_cache,
Buddy's School Bag,buddy's school bag,unknown,807,buddy-s-school-bag,buddy_item_evidence_cache,
Buddy's Sleeping Cap,buddy's sleeping cap,unknown,1034,buddy-s-sleeping-cap,buddy_item_evidence_cache,
Buddystone,buddystone,unknown,298,buddystone,buddy_item_evidence_cache,
Bug Bag 01,bug bag 01,unknown,1043,bug-bag-01,buddy_item_evidence_cache,
Bullfish,bullfish,yes,690,bullfish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Bunny Buddy Doll,bunny buddy doll,unknown,1227,bunny-buddy-doll,buddy_item_evidence_cache,
Bunny Ears,bunny ears,unknown,520,bunny-ears,buddy_item_evidence_cache,
Butter,butter,yes,660,butter,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Butter Churn,butter churn,yes,659,butter-churn,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Cabbage,cabbage,yes,67,cabbage,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input,
Cabbage Seeds,cabbage seeds,unknown,66,cabbage-seeds,buddy_item_evidence_cache,
Cabbage Stew,cabbage stew,yes,781,cabbage-stew,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Cake,cake,unknown,1508,cake,buddy_item_evidence_cache,
Calavera 01,calavera 01,unknown,877,calavera-01,buddy_item_evidence_cache,
Calavera 02,calavera 02,unknown,878,calavera-02,buddy_item_evidence_cache,
Calcifite,calcifite,unknown,823,calcifite,buddy_item_evidence_cache,
Camping Buddy Doll,camping buddy doll,unknown,1502,camping-buddy-doll,buddy_item_evidence_cache,
Candy,candy,unknown,358,candy,buddy_item_evidence_cache,
Candy Cane,candy cane,unknown,401,candy-cane,buddy_item_evidence_cache,
Candy Corn,candy corn,yes,361,candy-corn,buddy_item_evidence_cache;mastery_difficulty,
Candy Roll,candy roll,unknown,426,candy-roll,buddy_item_evidence_cache,
Cannon,cannon,yes,978,cannon,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Canoe,canoe,yes,615,canoe,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Captains Log,captains log,unknown,247,captains-log,buddy_item_evidence_cache,
Captured Ghost,captured ghost,unknown,871,captured-ghost,buddy_item_evidence_cache,
Capy Birthday Card,capy birthday card,unknown,750,capy-birthday-card,buddy_item_evidence_cache,
Carbon Sphere,carbon sphere,unknown,144,carbon-sphere,buddy_item_evidence_cache;recipe_inputs.input,
Carnevale,carnevale,unknown,497,carnevale,buddy_item_evidence_cache,
Carp,carp,yes,132,carp,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Carrot,carrot,yes,19,carrot,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;tower_requirements,
Carrot Seeds,carrot seeds,unknown,20,carrot-seeds,buddy_item_evidence_cache,
Carved Bear,carved bear,unknown,294,carved-bear,buddy_item_evidence_cache,
Carved Camel,carved camel,unknown,291,carved-camel,buddy_item_evidence_cache,
Carved Chicken,carved chicken,unknown,1054,carved-chicken,buddy_item_evidence_cache,
Carved Cow,carved cow,unknown,1055,carved-cow,buddy_item_evidence_cache,
Carved Dragon,carved dragon,unknown,1056,carved-dragon,buddy_item_evidence_cache,
Carved Fox,carved fox,unknown,1057,carved-fox,buddy_item_evidence_cache,
Carved Kitty,carved kitty,unknown,1053,carved-kitty,buddy_item_evidence_cache,
Carved Moose,carved moose,unknown,295,carved-moose,buddy_item_evidence_cache,
Carved Mouse,carved mouse,unknown,1058,carved-mouse,buddy_item_evidence_cache,
Carved Owl,carved owl,unknown,288,carved-owl,buddy_item_evidence_cache,
Carved Pig,carved pig,unknown,1059,carved-pig,buddy_item_evidence_cache,
Carved Rabbit,carved rabbit,unknown,292,carved-rabbit,buddy_item_evidence_cache,
Carved Rhino,carved rhino,unknown,290,carved-rhino,buddy_item_evidence_cache,
Carved Squirrel,carved squirrel,unknown,293,carved-squirrel,buddy_item_evidence_cache,
Carved Squisquatch,carved squisquatch,unknown,1060,carved-squisquatch,buddy_item_evidence_cache,
Carved Warthog,carved warthog,unknown,296,carved-warthog,buddy_item_evidence_cache,
Cat's Meow,cat's meow,yes,643,cat-s-meow,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Caterpillar,caterpillar,unknown,285,caterpillar,buddy_item_evidence_cache;recipe_inputs.input,
Catfish,catfish,yes,107,catfish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Cave Key,cave key,unknown,797,cave-key,buddy_item_evidence_cache,
Cave Mushroom,cave mushroom,unknown,856,cave-mushroom,buddy_item_evidence_cache,
Cecil Bobblehead,cecil bobblehead,unknown,1067,cecil-bobblehead,buddy_item_evidence_cache,
