output_canonical_key,output_item_name,input_order,input_item_name,input_canonical_key,quantity
belt drive,Belt Drive,3,Pulley,pulley,2
black bag,Black Bag,1,Leather Bag,leather bag,1
black bag,Black Bag,2,Black Dye,black dye,1
black cloak,Black Cloak,1,Leather,leather,5
black cloak,Black Cloak,2,Cotton,cotton,1
black cloak,Black Cloak,3,Black Twine,black twine,10
black cloak,Black Cloak,4,Black Dye,black dye,10
black dye,Black Dye,1,Glass Bottle,glass bottle,1
black dye,Black Dye,2,Shadow Bloom,shadow bloom,3
black powder,Black Powder,1,Coal,coal,3
black purse,Black Purse,1,Coin Purse,coin purse,1
black purse,Black Purse,2,Black Dye,black dye,1
black scarf,Black Scarf,1,Yarn,yarn,2
black scarf,Black Scarf,2,Black Dye,black dye,1
black shield,Black Shield,1,Steel,steel,3
black shield,Black Shield,2,Sturdy Shield,sturdy shield,1
black shield,Black Shield,3,Black Dye,black dye,1
black shirt,Black Shirt,1,Sewing Needle,sewing needle,1
black shirt,Black Shirt,2,Black Dye,black dye,1
black shirt,Black Shirt,3,Cloth,cloth,10
black twine,Black Twine,1,Twine,twine,1
black twine,Black Twine,2,Black Dye,black dye,1
block of wood,Block of Wood,1,Axe,axe,1
block of wood,Block of Wood,2,Pine Tree,pine tree,1
block of wood,Block of Wood,3,Handsaw,handsaw,1
blue butterfly,Blue Butterfly,1,Wood,wood,1
blue butterfly,Blue Butterfly,2,Caterpillar,caterpillar,1
blue butterfly,Blue Butterfly,3,Blue Dye,blue dye,1
blue butterfly,Blue Butterfly,4,Silk,silk,3
blue diary,Blue Diary,1,White Parchment,white parchment,1
blue diary,Blue Diary,2,Blue Parchment,blue parchment,1
blue diary,Blue Diary,3,Mushroom Paste,mushroom paste,1
blue dye,Blue Dye,1,Glass Bottle,glass bottle,1
blue dye,Blue Dye,2,Blue Feathers,blue feathers,3
blue parchment,Blue Parchment,1,Blue Feathers,blue feathers,3
blue purse,Blue Purse,1,Blue Dye,blue dye,1
blue purse,Blue Purse,2,Coin Purse,coin purse,1
blue shirt,Blue Shirt,1,Blue Dye,blue dye,1
blue shirt,Blue Shirt,2,Sewing Needle,sewing needle,1
blue shirt,Blue Shirt,3,Cloth,cloth,10
blue twine,Blue Twine,1,Twine,twine,1
blue twine,Blue Twine,2,Blue Dye,blue dye,1
board,Board,1,Wood,wood,5
bone broth,Bone Broth,1,Bone,bone,10
bone broth,Bone Broth,2,Coal,coal,5
bone broth,Bone Broth,3,Cooking Pot,cooking pot,1
bone pickaxe,Bone Pickaxe,1,Mushroom Paste,mushroom paste,1
bone pickaxe,Bone Pickaxe,2,Bone,bone,1
bone pickaxe,Bone Pickaxe,3,Pickaxe,pickaxe,1
bottle rocket,Bottle Rocket,1,Black Powder,black powder,1
bottle rocket,Bottle Rocket,2,Wood,wood,3
bottle rocket,Bottle Rocket,3,Feathers,feathers,2
bouquet of flowers,Bouquet of Flowers,1,Red Flowers,red flowers,2
bouquet of flowers,Bouquet of Flowers,2,White Parchment,white parchment,1
bouquet of flowers,Bouquet of Flowers,3,Yellow Flowers,yellow flowers,2
bouquet of flowers,Bouquet of Flowers,4,Blue Flowers,blue flowers,2
bouquet of flowers,Bouquet of Flowers,5,Orange Flowers,orange flowers,2
bouquet of flowers,Bouquet of Flowers,6,Twine,twine,1
bouquet of flowers,Bouquet of Flowers,7,White Flowers,white flowers,2
breakfast boost,Breakfast Boost,1,Coal,coal,120
breakfast boost,Breakfast Boost,2,Flour,flour,4
breakfast boost,Breakfast Boost,3,Eggs,eggs,3
breakfast boost,Breakfast Boost,4,Cabbage,cabbage,2
breakfast boost,Breakfast Boost,5,Butter,butter,1
breakfast boost,Breakfast Boost,6,Cheese,cheese,1
breakfast boost,Breakfast Boost,7,Grape Juice,grape juice,1
broom,Broom,1,Board,board,1
broom,Broom,2,Straw,straw,1
brown bag,Brown Bag,1,Leather Bag,leather bag,1
brown bag,Brown Bag,2,Brown Dye,brown dye,1
brown cloak,Brown Cloak,1,Leather,leather,5
brown cloak,Brown Cloak,2,Twine,twine,10
brown cloak,Brown Cloak,3,Cotton,cotton,1
brown cloak,Brown Cloak,4,Brown Dye,brown dye,10
brown dye,Brown Dye,1,Glass Bottle,glass bottle,1
brown dye,Brown Dye,2,Mudcap,mudcap,3
brown twine,Brown Twine,1,Twine,twine,1
brown twine,Brown Twine,2,Brown Dye,brown dye,1
bucket,Bucket,1,Board,board,5
bucket,Bucket,2,Iron,iron,1
butter,Butter,1,Milk,milk,25
butter,Butter,2,Salt,salt,1
butter,Butter,3,Butter Churn,butter churn,1
butter churn,Butter Churn,1,Board,board,1
butter churn,Butter Churn,2,Wooden Barrel,wooden barrel,1
cabbage stew,Cabbage Stew,1,Coal,coal,480
cabbage stew,Cabbage Stew,2,Cabbage,cabbage,250
cabbage stew,Cabbage Stew,3,Salt,salt,50
cabbage stew,Cabbage Stew,4,Carrot,carrot,40
cabbage stew,Cabbage Stew,5,Potato,potato,40
cabbage stew,Cabbage Stew,6,Herbs,herbs,25
cabbage stew,Cabbage Stew,7,Leek,leek,25
cabbage stew,Cabbage Stew,8,Onion,onion,25
cabbage stew,Cabbage Stew,9,Tomato,tomato,15
cabbage stew,Cabbage Stew,10,Bone Broth,bone broth,5
cannon,Cannon,1,Board,board,12
cannon,Cannon,2,Black Powder,black powder,10
cannon,Cannon,3,Steel,steel,25
cannon,Cannon,4,Machine Part,machine part,6
cannon,Cannon,5,Scrap Metal,scrap metal,25
cannon,Cannon,6,Emberstone,emberstone,10
cannon,Cannon,7,Wagon Wheel,wagon wheel,4
canoe,Canoe,1,Blue Gel,blue gel,10
canoe,Canoe,2,Board,board,4
canoe,Canoe,3,Mushroom Paste,mushroom paste,5
canoe,Canoe,4,Nails,nails,10
canoe,Canoe,5,Rope,rope,2
canoe,Canoe,6,Oak,oak,100
cat's meow,Cat's Meow,1,Coal,coal,120
cat's meow,Cat's Meow,2,Fish Bones,fish bones,25
cat's meow,Cat's Meow,3,Milk,milk,5
cat's meow,Cat's Meow,4,Onion,onion,5
cat's meow,Cat's Meow,5,Essence of Slime,essence of slime,3
cat's meow,Cat's Meow,6,Bone Broth,bone broth,1
cat's meow,Cat's Meow,7,Cooking Pot,cooking pot,1
cat's meow,Cat's Meow,8,Salt,salt,1
chum,Chum,1,Minnows,minnows,4
chum,Chum,2,Worms,worms,10
chum,Chum,3,Bucket,bucket,1
chum,Chum,4,Grubs,grubs,7
cloth,Cloth,1,Scrap Cloth,scrap cloth,3
coin purse,Coin Purse,1,Iron Ring,iron ring,1
coin purse,Coin Purse,2,Leather,leather,2
compass,Compass,1,Ruby,ruby,1
compass,Compass,2,Aquamarine,aquamarine,1
compass,Compass,3,Iron Ring,iron ring,1
compass,Compass,4,Twine,twine,1
compass,Compass,5,Small Screw,small screw,4
compass,Compass,6,Magna Core,magna core,1
compass,Compass,7,Wood,wood,2
compass,Compass,8,Glass Orb,glass orb,1
concord grape pie,Concord Grape Pie,1,Coal,coal,750
concord grape pie,Concord Grape Pie,2,Grapes,grapes,100
concord grape pie,Concord Grape Pie,3,Sweet Root,sweet root,100
concord grape pie,Concord Grape Pie,4,Flour,flour,25
concord grape pie,Concord Grape Pie,5,Eggs,eggs,10
concord grape pie,Concord Grape Pie,6,Salt,salt,10
concord grape pie,Concord Grape Pie,7,Butter,butter,5
concord grape pie,Concord Grape Pie,8,Milk,milk,1
concord grape pie,Concord Grape Pie,9,Pie Pan,pie pan,1
control box,Control Box,1,Small Screw,small screw,2
control box,Control Box,2,Steel Plate,steel plate,2
control box,Control Box,3,Small Spring,small spring,3
control box,Control Box,4,Broken Pipe,broken pipe,3
control box,Control Box,5,Machine Part,machine part,10
control box,Control Box,6,Moonstone,moonstone,3
cooking pot,Cooking Pot,1,Moonstone,moonstone,1
cooking pot,Cooking Pot,2,Iron,iron,25
cooking pot,Cooking Pot,3,Emberstone,emberstone,25
corn husk doll,Corn Husk Doll,1,Corn,corn,3
corn husk doll,Corn Husk Doll,2,Red Twine,red twine,5
corn husk doll,Corn Husk Doll,3,Wooden Button,wooden button,2
corn oil,Corn Oil,1,Corn,corn,8
corn oil,Corn Oil,2,Machine Press,machine press,1
corn oil,Corn Oil,3,Glass Bottle,glass bottle,1
crossbow,Crossbow,1,Arrowhead,arrowhead,1
crossbow,Crossbow,2,Iron,iron,2
crossbow,Crossbow,3,Iron Ring,iron ring,2
crossbow,Crossbow,4,Steel Wire,steel wire,2
crossbow,Crossbow,5,Oak,oak,3
crown of clover,Crown of Clover,1,3-leaf Clover,3-leaf clover,20
crown of clover,Crown of Clover,2,4-leaf Clover,4-leaf clover,2
crown of clover,Crown of Clover,3,Steel Wire,steel wire,1
crystal pickaxe,Crystal Pickaxe,1,Stone,stone,1
crystal pickaxe,Crystal Pickaxe,2,Mushroom Paste,mushroom paste,1
crystal pickaxe,Crystal Pickaxe,3,Pickaxe,pickaxe,1
crystal pickaxe,Crystal Pickaxe,4,Fairy Crystal,fairy crystal,1
crystal pickaxe,Crystal Pickaxe,5,Lapis Lazuli,lapis lazuli,1
emerald,Emerald,1,Unpolished Emerald,unpolished emerald,2
emerald,Emerald,2,Stone,stone,2
emerald ring,Emerald Ring,1,Iron Ring,iron ring,1
emerald ring,Emerald Ring,2,Mushroom Paste,mushroom paste,1
emerald ring,Emerald Ring,3,Emerald,emerald,1
energy coil,Energy Coil,1,Transistor,transistor,25
energy coil,Energy Coil,2,Glass Orb,glass orb,1
energy coil,Energy Coil,3,Steel,steel,2
energy coil,Energy Coil,4,Wrench,wrench,1
energy coil,Energy Coil,5,Scrap Wire,scrap wire,8
energy coil,Energy Coil,6,Spool of Copper,spool of copper,1
engine,Engine,1,Belt Drive,belt drive,1
engine,Engine,2,Magicite,magicite,1
engine,Engine,3,Pear Grease,pear grease,1
engine,Engine,4,Energy Coil,energy coil,1
engine,Engine,5,Kill Switch,kill switch,1
engine,Engine,6,Power Monitor,power monitor,1
engine,Engine,7,Steel Plate,steel plate,1
engine,Engine,8,Control Box,control box,1
engine,Engine,9,Flywheel,flywheel,1
engine,Engine,10,Steel Wire,steel wire,50
engine,Engine,11,Transistor,transistor,12
engine,Engine,12,Steel,steel,20
essence of slime,Essence of Slime,1,Glass Orb,glass orb,1
essence of slime,Essence of Slime,2,Slimestone,slimestone,2
essence of slime,Essence of Slime,3,Iron Ring,iron ring,1
essence of slime,Essence of Slime,4,Hammer,hammer,1
explosive,Explosive,1,Board,board,3
explosive,Explosive,2,Nails,nails,6
explosive,Explosive,3,Feathers,feathers,1
explosive,Explosive,4,Black Powder,black powder,2
fancy chair,Fancy Chair,1,Leather,leather,4
fancy chair,Fancy Chair,2,Red Dye,red dye,1
fancy chair,Fancy Chair,3,Nails,nails,8
fancy chair,Fancy Chair,4,Twine,twine,8
fancy chair,Fancy Chair,5,Green Dye,green dye,1
fancy chair,Fancy Chair,6,Cotton,cotton,6
fancy chair,Fancy Chair,7,Oak,oak,50
fancy clock,Fancy Clock,1,Oak,oak,12
fancy clock,Fancy Clock,2,Small Gear,small gear,4
fancy clock,Fancy Clock,3,Steel Wire,steel wire,8
fancy clock,Fancy Clock,4,Scrap Metal,scrap metal,4
fancy clock,Fancy Clock,5,Cogwheel,cogwheel,2
fancy clock,Fancy Clock,6,Glass Orb,glass orb,4
fancy clock,Fancy Clock,7,Pocket Watch,pocket watch,1
fancy drum,Fancy Drum,1,Yarn,yarn,4
fancy drum,Fancy Drum,2,Mushroom Paste,mushroom paste,2
fancy drum,Fancy Drum,3,Leather,leather,2
fancy drum,Fancy Drum,4,Oak,oak,15
fancy guitar,Fancy Guitar,1,Oak,oak,5
fancy guitar,Fancy Guitar,2,Iron,iron,4
fancy guitar,Fancy Guitar,3,Mushroom Paste,mushroom paste,3
fancy guitar,Fancy Guitar,4,Steel Wire,steel wire,6
fancy pan flute,Fancy Pan Flute,1,Blue Dye,blue dye,1
fancy pan flute,Fancy Pan Flute,2,Leather,leather,1
fancy pan flute,Fancy Pan Flute,3,Twine,twine,5
fancy pan flute,Fancy Pan Flute,4,Wood,wood,9
fancy pillow,Fancy Pillow,1,Duck Feather,duck feather,25
fancy pillow,Fancy Pillow,2,Sewing Needle,sewing needle,1
fancy pillow,Fancy Pillow,3,Silk,silk,2
fancy pipe,Fancy Pipe,1,Wood,wood,2
fancy pipe,Fancy Pipe,2,Iron Ring,iron ring,3
fancy pipe,Fancy Pipe,3,Iron,iron,1
fancy sword,Fancy Sword,1,Mushroom Paste,mushroom paste,2
fancy sword,Fancy Sword,2,Lemon Quartz,lemon quartz,2
fancy sword,Fancy Sword,3,Steel Wire,steel wire,4
fancy sword,Fancy Sword,4,Gold Leaf,gold leaf,2
fancy sword,Fancy Sword,5,Sturdy Sword,sturdy sword,1
fancy table,Fancy Table,1,Corn Oil,corn oil,1
fancy table,Fancy Table,2,Glass Orb,glass orb,8
fancy table,Fancy Table,3,Nails,nails,32
fancy table,Fancy Table,4,Oak,oak,80
fancy table,Fancy Table,5,Steel Vise,steel vise,1
fancy violin,Fancy Violin,1,Mushroom Paste,mushroom paste,8
fancy violin,Fancy Violin,2,Steel,steel,4
fancy violin,Fancy Violin,3,Moonstone,moonstone,4
fancy violin,Fancy Violin,4,Steel Wire,steel wire,4
fancy violin,Fancy Violin,5,Purple Dye,purple dye,3
fancy violin,Fancy Violin,6,Steel Plate,steel plate,1
fancy violin,Fancy Violin,7,Pine Board,pine board,5
fire ant farm,Fire Ant Farm,1,Board,board,4
fire ant farm,Fire Ant Farm,2,Nails,nails,4
fire ant farm,Fire Ant Farm,3,Glass Orb,glass orb,3
fire ant farm,Fire Ant Farm,4,Fire Ant,fire ant,25
fire ant farm,Fire Ant Farm,5,Sand,sand,5
fishing net,Fishing Net,1,Antler,antler,1
fishing net,Fishing Net,2,Iron,iron,4
fishing net,Fishing Net,3,Rope,rope,2
flarite,Flarite,1,Unpolished Flarite,unpolished flarite,2
flying machine,Flying Machine,1,Rope,rope,10
flying machine,Flying Machine,2,Power Monitor,power monitor,1
flying machine,Flying Machine,3,Magna Quartz,magna quartz,4
flying machine,Flying Machine,4,Small Gear,small gear,4
flying machine,Flying Machine,5,Steel Wire,steel wire,10
flying machine,Flying Machine,6,Nailed Board,nailed board,10
flying machine,Flying Machine,7,Leather,leather,10
flying machine,Flying Machine,8,Steel Buckle,steel buckle,2
flying machine,Flying Machine,9,Small Spring,small spring,6
flying machine,Flying Machine,10,Pulley,pulley,4
flywheel,Flywheel,1,Small Screw,small screw,7
flywheel,Flywheel,2,Steel,steel,20
flywheel,Flywheel,3,Small Gear,small gear,1
frost shield,Frost Shield,1,Hammer,hammer,1
frost shield,Frost Shield,2,Nails,nails,3
frost shield,Frost Shield,3,Blue Gel,blue gel,3
frost shield,Frost Shield,4,Red Shield,red shield,1
frost shield,Frost Shield,5,Frost Snapper Shell,frost snapper shell,1
fruit punch,Fruit Punch,1,Apple,apple,25
fruit punch,Fruit Punch,2,Peach,peach,5
fruit punch,Fruit Punch,3,Orange,orange,25
fruit punch,Fruit Punch,4,Lemon,lemon,25
fruit punch,Fruit Punch,5,Glass Bottle,glass bottle,1
fruit punch,Fruit Punch,6,Grapes,grapes,25
gainite,Gainite,1,Stone,stone,2000
gainite,Gainite,2,Mushroom Paste,mushroom paste,2000
gainite,Gainite,3,Steel,steel,2000
gainite,Gainite,4,Green Dye,green dye,500
gainite,Gainite,5,Painite,painite,5
garnet,Garnet,1,Unpolished Garnet,unpolished garnet,2
garnet,Garnet,2,Stone,stone,1
garnet ring,Garnet Ring,1,Garnet,garnet,1
garnet ring,Garnet Ring,2,Mushroom Paste,mushroom paste,1
garnet ring,Garnet Ring,3,Iron Ring,iron ring,1
gazebo,Gazebo,1,Nails,nails,120
gazebo,Gazebo,2,Hammer,hammer,1
gazebo,Gazebo,3,Oak,oak,120
glass bottle,Glass Bottle,1,Stone,stone,1
glass bottle,Glass Bottle,2,Glass Orb,glass orb,1
glass jar,Glass Jar,1,Glass Orb,glass orb,3
glass jar,Glass Jar,2,Shimmer Quartz,shimmer quartz,1
glass jar,Glass Jar,3,Steel,steel,1
glass orb,Glass Orb,1,Shimmer Stone,shimmer stone,2
glass orb,Glass Orb,2,Stone,stone,1
glowing lantern,Glowing Lantern,1,Iron Ring,iron ring,2
glowing lantern,Glowing Lantern,2,Iron,iron,3
glowing lantern,Glowing Lantern,3,Glass Bottle,glass bottle,1
glowing lantern,Glowing Lantern,4,Green Twine,green twine,2
glowing lantern,Glowing Lantern,5,Glowshroom,glowshroom,4
gold aquamarine ring,Gold Aquamarine Ring,1,Aquamarine,aquamarine,1
gold aquamarine ring,Gold Aquamarine Ring,2,Strong Paste,strong paste,1
gold aquamarine ring,Gold Aquamarine Ring,3,Gold Ring,gold ring,1
gold diamond ring,Gold Diamond Ring,1,Gold Ring,gold ring,1
gold diamond ring,Gold Diamond Ring,2,Strong Paste,strong paste,1
gold diamond ring,Gold Diamond Ring,3,Diamond,diamond,1
gold emerald ring,Gold Emerald Ring,1,Emerald,emerald,1
gold emerald ring,Gold Emerald Ring,2,Gold Ring,gold ring,1
gold emerald ring,Gold Emerald Ring,3,Strong Paste,strong paste,1
gold garnet ring,Gold Garnet Ring,1,Garnet,garnet,1
gold garnet ring,Gold Garnet Ring,2,Gold Ring,gold ring,1
gold garnet ring,Gold Garnet Ring,3,Strong Paste,strong paste,1
gold jade ring,Gold Jade Ring,1,Jade,jade,1
gold jade ring,Gold Jade Ring,2,Gold Ring,gold ring,1
gold jade ring,Gold Jade Ring,3,Strong Paste,strong paste,1
gold lemon quartz ring,Gold Lemon Quartz Ring,1,Gold Ring,gold ring,1
gold lemon quartz ring,Gold Lemon Quartz Ring,2,Strong Paste,strong paste,1
gold lemon quartz ring,Gold Lemon Quartz Ring,3,Lemon Quartz,lemon quartz,1
gold ruby ring,Gold Ruby Ring,1,Ruby,ruby,1
gold ruby ring,Gold Ruby Ring,2,Gold Ring,gold ring,1
gold ruby ring,Gold Ruby Ring,3,Strong Paste,strong paste,1
grand piano,Grand Piano,1,White Parchment,white parchment,10
grand piano,Grand Piano,2,Green Dye,green dye,5
grand piano,Grand Piano,3,Hammer,hammer,1
grand piano,Grand Piano,4,Block of Wood,block of wood,8
grand piano,Grand Piano,5,Handsaw,handsaw,1
grand piano,Grand Piano,6,Wood,wood,88
grand piano,Grand Piano,7,Horn,horn,88
grand piano,Grand Piano,8,Steel Wire,steel wire,88
grand piano,Grand Piano,9,Fancy Chair,fancy chair,1
grand piano,Grand Piano,10,Steel,steel,10
grand piano,Grand Piano,11,Wooden Plank,wooden plank,11
grape juice,Grape Juice,1,Glass Bottle,glass bottle,1
grape juice,Grape Juice,2,Grapes,grapes,200
green butterfly,Green Butterfly,1,Wood,wood,1
green butterfly,Green Butterfly,2,Green Dye,green dye,1
green butterfly,Green Butterfly,3,Caterpillar,caterpillar,1
green butterfly,Green Butterfly,4,Silk,silk,3
green cloak,Green Cloak,1,Green Dye,green dye,10
green cloak,Green Cloak,2,Cotton,cotton,1
green cloak,Green Cloak,3,Leather,leather,5
green cloak,Green Cloak,4,Twine,twine,10
green diary,Green Diary,1,White Parchment,white parchment,1
green diary,Green Diary,2,Mushroom Paste,mushroom paste,1
green diary,Green Diary,3,Green Parchment,green parchment,1
green dye,Green Dye,1,Glass Bottle,glass bottle,1
green dye,Green Dye,2,Fern Leaf,fern leaf,6
green parchment,Green Parchment,1,Fern Leaf,fern leaf,3
green scarf,Green Scarf,1,Yarn,yarn,2
green scarf,Green Scarf,2,Green Dye,green dye,1
green shield,Green Shield,1,Green Dye,green dye,1
green shield,Green Shield,2,Wooden Shield,wooden shield,1
green shield,Green Shield,3,Iron,iron,3
green shirt,Green Shirt,1,Green Dye,green dye,1
green shirt,Green Shirt,2,Sewing Needle,sewing needle,1
green shirt,Green Shirt,3,Cloth,cloth,10
green top hat,Green Top Hat,1,Fern Leaf,fern leaf,6
green top hat,Green Top Hat,2,Leather,leather,2
green top hat,Green Top Hat,3,Steel,steel,1
green top hat,Green Top Hat,4,4-leaf Clover,4-leaf clover,4
green top hat,Green Top Hat,5,Green Dye,green dye,4
green top hat,Green Top Hat,6,Cotton,cotton,1
green twine,Green Twine,1,Twine,twine,1
green twine,Green Twine,2,Green Dye,green dye,1
hammer,Hammer,1,Iron,iron,1
hammer,Hammer,2,Board,board,1
hammer,Hammer,3,Mushroom Paste,mushroom paste,1
handsaw,Handsaw,1,Wooden Plank,wooden plank,1
handsaw,Handsaw,2,Mushroom Paste,mushroom paste,2
handsaw,Handsaw,3,Steel,steel,2
handsaw,Handsaw,4,Hammer,hammer,1
handsaw,Handsaw,5,Awl,awl,1
heart container,Heart Container,1,Piece of Heart,piece of heart,4
hickory omelette,Hickory Omelette,1,Bird Egg,bird egg,500
hickory omelette,Hickory Omelette,2,Coal,coal,240
hickory omelette,Hickory Omelette,3,Peppers,peppers,6
hickory omelette,Hickory Omelette,4,Salt,salt,3
hickory omelette,Hickory Omelette,5,Tomato,tomato,3
hickory omelette,Hickory Omelette,6,Cheese,cheese,2
hickory omelette,Hickory Omelette,7,Herbs,herbs,2
hickory omelette,Hickory Omelette,8,Milk,milk,2
hickory omelette,Hickory Omelette,9,Butter,butter,1
horn canteen,Horn Canteen,1,Iron Ring,iron ring,2
horn canteen,Horn Canteen,2,Twine,twine,1
horn canteen,Horn Canteen,3,Wood,wood,1
horn canteen,Horn Canteen,4,Horn,horn,1
horseshoe,Horseshoe,1,Iron,iron,5
horseshoe,Horseshoe,2,Nails,nails,7
horseshoe,Horseshoe,3,Stone,stone,2
hourglass,Hourglass,1,Wood,wood,6
hourglass,Hourglass,2,Glass Bottle,glass bottle,2
hourglass,Hourglass,3,Sand,sand,1
hourglass,Hourglass,4,Mushroom Paste,mushroom paste,2
iced tea,Iced Tea,1,Glass Bottle,glass bottle,1
iced tea,Iced Tea,2,Tea Leaves,tea leaves,3
inferno sphere,Inferno Sphere,1,Runestone 04,runestone 04,1
inferno sphere,Inferno Sphere,2,Runestone 05,runestone 05,1
inferno sphere,Inferno Sphere,3,Runestone 09,runestone 09,1
inferno sphere,Inferno Sphere,4,Runestone 10,runestone 10,1
inferno sphere,Inferno Sphere,5,Runestone 08,runestone 08,1
inferno sphere,Inferno Sphere,6,Runestone 07,runestone 07,1
inferno sphere,Inferno Sphere,7,Runestone 01,runestone 01,1
inferno sphere,Inferno Sphere,8,Runestone 06,runestone 06,1
inferno sphere,Inferno Sphere,9,Runestone 03,runestone 03,1
inferno sphere,Inferno Sphere,10,Runestone 02,runestone 02,1
iron cup,Iron Cup,1,Iron,iron,3
iron cup,Iron Cup,2,Stone,stone,1
iron ring,Iron Ring,1,Iron,iron,2
iron ring,Iron Ring,2,Stone,stone,1
jade,Jade,1,Unpolished Jade,unpolished jade,2
jade,Jade,2,Stone,stone,1
jade charm,Jade Charm,1,Stone,stone,6
jade charm,Jade Charm,2,Iron Ring,iron ring,1
jade charm,Jade Charm,3,Steel,steel,2
jade charm,Jade Charm,4,Jade,jade,1
kill switch,Kill Switch,1,Broken Pipe,broken pipe,1
kill switch,Kill Switch,2,Scrap Wire,scrap wire,2
kill switch,Kill Switch,3,Scrap Metal,scrap metal,5
kill switch,Kill Switch,4,Red Dye,red dye,1
kill switch,Kill Switch,5,Emberstone,emberstone,3
ladder,Ladder,1,Board,board,6
ladder,Ladder,2,Nails,nails,8
lantern,Lantern,1,Coal,coal,1
lantern,Lantern,2,Twine,twine,2
lantern,Lantern,3,Glass Bottle,glass bottle,1
lantern,Lantern,4,Iron,iron,3
lantern,Lantern,5,Iron Ring,iron ring,1
large net,Large Net,1,Iron Ring,iron ring,25
large net,Large Net,2,Fishing Net,fishing net,25
lava sphere,Lava Sphere,1,Runestone 17,runestone 17,1
lava sphere,Lava Sphere,2,Runestone 16,runestone 16,1
lava sphere,Lava Sphere,3,Runestone 11,runestone 11,1
lava sphere,Lava Sphere,4,Runestone 14,runestone 14,1
lava sphere,Lava Sphere,5,Runestone 18,runestone 18,1
lava sphere,Lava Sphere,6,Runestone 13,runestone 13,1
lava sphere,Lava Sphere,7,Runestone 15,runestone 15,1
lava sphere,Lava Sphere,8,Runestone 19,runestone 19,1
lava sphere,Lava Sphere,9,Runestone 12,runestone 12,1
lava sphere,Lava Sphere,10,Runestone 20,runestone 20,1
leather,Leather,1,Hide,hide,2
leather bag,Leather Bag,1,Twine,twine,2
leather bag,Leather Bag,2,Leather,leather,2
leather bag,Leather Bag,3,Iron Ring,iron ring,4
leather belt,Leather Belt,1,Steel Buckle,steel buckle,1
leather belt,Leather Belt,2,Awl,awl,1
leather belt,Leather Belt,3,Leather,leather,3
leather diary,Leather Diary,1,Mushroom Paste,mushroom paste,1
leather diary,Leather Diary,2,White Parchment,white parchment,1
leather diary,Leather Diary,3,Leather,leather,1
