item_name,canonical_key,source_name,source_canonical_key,source_type,preferred_unit,source_url,notes
4-leaf Clover,4-leaf clover,Old Boot,old boot,wishing_well,Wishing Well throw,https://buddy.farm/i/4-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Reward chance: 0.3333333333333333; Candidate flags: reverse_relation; reward_quantity_defaulted; Reverse Wishing Well relation from reward page; candidate export defaults quantity to 1 for review.; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json; Parser: buddy-item-multi-source-v1
4-leaf Clover,4-leaf clover,Shark Tooth,shark tooth,wishing_well,Wishing Well throw,https://buddy.farm/i/4-leaf-clover/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Reward chance: 0.3333333333333333; Candidate flags: reverse_relation; reward_quantity_defaulted; Reverse Wishing Well relation from reward page; candidate export defaults quantity to 1 for review.; Source: https://buddy.farm/i/4-leaf-clover/; Page data: https://buddy.farm/page-data/i/4-leaf-clover/page-data.json; Cache: 4-leaf-clover__4-leaf-clover.json; Parser: buddy-item-multi-source-v1
Acorn,acorn,Cornucopia 01,cornucopia 01,openable,openable,https://buddy.farm/i/acorn/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/acorn/; Page data: https://buddy.farm/page-data/i/acorn/page-data.json; Cache: acorn__acorn.json; Parser: buddy-item-multi-source-v1
Amethyst,amethyst,Small Chest 01,small chest 01,openable,openable,https://buddy.farm/i/amethyst/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-10; Source: https://buddy.farm/i/amethyst/; Page data: https://buddy.farm/page-data/i/amethyst/page-data.json; Cache: amethyst__amethyst.json; Parser: buddy-item-multi-source-v1
Amethyst,amethyst,Aquamarine,aquamarine,wishing_well,Wishing Well throw,https://buddy.farm/i/amethyst/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Reward chance: 0.25; Candidate flags: reverse_relation; reward_quantity_defaulted; Reverse Wishing Well relation from reward page; candidate export defaults quantity to 1 for review.; Source: https://buddy.farm/i/amethyst/; Page data: https://buddy.farm/page-data/i/amethyst/page-data.json; Cache: amethyst__amethyst.json; Parser: buddy-item-multi-source-v1
Amethyst,amethyst,Jade,jade,wishing_well,Wishing Well throw,https://buddy.farm/i/amethyst/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Reward chance: 0.25; Candidate flags: reverse_relation; reward_quantity_defaulted; Reverse Wishing Well relation from reward page; candidate export defaults quantity to 1 for review.; Source: https://buddy.farm/i/amethyst/; Page data: https://buddy.farm/page-data/i/amethyst/page-data.json; Cache: amethyst__amethyst.json; Parser: buddy-item-multi-source-v1
Amethyst Necklace,amethyst necklace,Medium Chest 02,medium chest 02,openable,openable,https://buddy.farm/i/amethyst-necklace/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 5-5; Source: https://buddy.farm/i/amethyst-necklace/; Page data: https://buddy.farm/page-data/i/amethyst-necklace/page-data.json; Cache: amethyst-necklace__amethyst-necklace.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Christmas Present 05,christmas present 05,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Christmas Present 09,christmas present 09,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 90-90; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Corn Prize Bag,corn prize bag,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Gift Basket 01,gift basket 01,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Gift Basket 02,gift basket 02,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Grab Bag 02,grab bag 02,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-25; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Grab Bag 06,grab bag 06,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-150; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Large Chest 01,large chest 01,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Medium Chest 01,medium chest 01,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Present 01,present 01,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 20-20; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Present 02,present 02,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 500-500; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Red Envelope,red envelope,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-10; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Treat Bag 03,treat bag 03,openable,openable,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-10; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Old Boot,old boot,wishing_well,Wishing Well throw,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Reward chance: 0.3333333333333333; Candidate flags: reverse_relation; reward_quantity_defaulted; Reverse Wishing Well relation from reward page; candidate export defaults quantity to 1 for review.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Ancient Coin,ancient coin,Taffy,taffy,wishing_well,Wishing Well throw,https://buddy.farm/i/ancient-coin/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Reward chance: 0.3333333333333333; Candidate flags: reverse_relation; reward_quantity_defaulted; Reverse Wishing Well relation from reward page; candidate export defaults quantity to 1 for review.; Source: https://buddy.farm/i/ancient-coin/; Page data: https://buddy.farm/page-data/i/ancient-coin/page-data.json; Cache: ancient-coin__ancient-coin.json; Parser: buddy-item-multi-source-v1
Antler,antler,Christmas Present 04,christmas present 04,openable,openable,https://buddy.farm/i/antler/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 40-40; Source: https://buddy.farm/i/antler/; Page data: https://buddy.farm/page-data/i/antler/page-data.json; Cache: antler__antler.json; Parser: buddy-item-multi-source-v1
Antler,antler,Christmas Present 09,christmas present 09,openable,openable,https://buddy.farm/i/antler/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 90-90; Source: https://buddy.farm/i/antler/; Page data: https://buddy.farm/page-data/i/antler/page-data.json; Cache: antler__antler.json; Parser: buddy-item-multi-source-v1
Antler,antler,Grab Bag 02,grab bag 02,openable,openable,https://buddy.farm/i/antler/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-25; Source: https://buddy.farm/i/antler/; Page data: https://buddy.farm/page-data/i/antler/page-data.json; Cache: antler__antler.json; Parser: buddy-item-multi-source-v1
Antler,antler,Small Chest 02,small chest 02,openable,openable,https://buddy.farm/i/antler/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 10-10; Source: https://buddy.farm/i/antler/; Page data: https://buddy.farm/page-data/i/antler/page-data.json; Cache: antler__antler.json; Parser: buddy-item-multi-source-v1
Antler,antler,Pine Cone,pine cone,wishing_well,Wishing Well throw,https://buddy.farm/i/antler/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Reward chance: 0.3333333333333333; Candidate flags: reverse_relation; reward_quantity_defaulted; Reverse Wishing Well relation from reward page; candidate export defaults quantity to 1 for review.; Source: https://buddy.farm/i/antler/; Page data: https://buddy.farm/page-data/i/antler/page-data.json; Cache: antler__antler.json; Parser: buddy-item-multi-source-v1
Apple,apple,Apple Basket,apple basket,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 200-200; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Apple Crate 01,apple crate 01,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 200-200; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Apple Crate 02,apple crate 02,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 200-200; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Backpack,backpack,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 25-25; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Birthday Present,birthday present,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 200-200; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Box of Chocolate 01,box of chocolate 01,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 5-5; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Box of Chocolate 02,box of chocolate 02,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Buddy's School Bag,buddy's school bag,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Christmas Present 03,christmas present 03,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 30-30; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Christmas Present 10,christmas present 10,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Christmas Stocking,christmas stocking,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 3-3; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Cornucopia 01,cornucopia 01,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 25-25; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Cornucopia 02,cornucopia 02,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Fall Basket,fall basket,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,frank's Basket,frank's basket,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 25-25; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Gift Basket 01,gift basket 01,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 25-25; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Gift Basket 02,gift basket 02,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Heart-shaped Box 01,heart-shaped box 01,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Heart-shaped Box 02,heart-shaped box 02,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Medium Chest 01,medium chest 01,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 100-100; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Spring Basket 01,spring basket 01,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 20-20; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Spring Basket 02,spring basket 02,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Spring Basket 03,spring basket 03,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 200-200; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Treat Bag 01,treat bag 01,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 3-3; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Treat Bag 04,treat bag 04,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 25-25; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Treat Bag 05,treat bag 05,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 25-25; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Treat Bag 06,treat bag 06,openable,openable,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 50-50; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple,apple,Candy,candy,wishing_well,Wishing Well throw,https://buddy.farm/i/apple/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Reward chance: 0.25; Candidate flags: reverse_relation; reward_quantity_defaulted; Reverse Wishing Well relation from reward page; candidate export defaults quantity to 1 for review.; Source: https://buddy.farm/i/apple/; Page data: https://buddy.farm/page-data/i/apple/page-data.json; Cache: apple__apple.json; Parser: buddy-item-multi-source-v1
Apple Ant,apple ant,Apple Crate 02,apple crate 02,openable,openable,https://buddy.farm/i/apple-ant/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 5-5; Source: https://buddy.farm/i/apple-ant/; Page data: https://buddy.farm/page-data/i/apple-ant/page-data.json; Cache: apple-ant__apple-ant.json; Parser: buddy-item-multi-source-v1
Apple Basket,apple basket,Birthday Surprise Box 03,birthday surprise box 03,openable,openable,https://buddy.farm/i/apple-basket/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 1-2; Source: https://buddy.farm/i/apple-basket/; Page data: https://buddy.farm/page-data/i/apple-basket/page-data.json; Cache: apple-basket__apple-basket.json; Parser: buddy-item-multi-source-v1
Apple Basket,apple basket,Birthday Surprise Box 04,birthday surprise box 04,openable,openable,https://buddy.farm/i/apple-basket/,Promoted as advisory source hint from complete cached Buddy page-data fan-out for BL-263.; Not counted as exact supply by this table.; Quantity range: 1-2; Source: https://buddy.farm/i/apple-basket/; Page data: https://buddy.farm/page-data/i/apple-basket/page-data.json; Cache: apple-basket__apple-basket.json; Parser: buddy-item-multi-source-v1
