output_item_name,output_canonical_key,recipe_type,recipe_book_item_name,recipe_book_canonical_key,cooking_level,base_time,source_buddy_url,source_page_data_url,cache_file_name,parser_version,notes
Belt Drive,belt drive,craft,,,,,https://buddy.farm/i/belt-drive/,https://buddy.farm/page-data/i/belt-drive/page-data.json,belt-drive__belt-drive.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/belt-drive/page-data.json; Cache: belt-drive__belt-drive.json; Parser: buddy-item-multi-source-v1
Black Bag,black bag,craft,,,,,https://buddy.farm/i/black-bag/,https://buddy.farm/page-data/i/black-bag/page-data.json,black-bag__black-bag.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-bag/page-data.json; Cache: black-bag__black-bag.json; Parser: buddy-item-multi-source-v1
Black Cloak,black cloak,craft,,,,,https://buddy.farm/i/black-cloak/,https://buddy.farm/page-data/i/black-cloak/page-data.json,black-cloak__black-cloak.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-cloak/page-data.json; Cache: black-cloak__black-cloak.json; Parser: buddy-item-multi-source-v1
Black Dye,black dye,craft,,,,,https://buddy.farm/i/black-dye/,https://buddy.farm/page-data/i/black-dye/page-data.json,black-dye__black-dye.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-dye/page-data.json; Cache: black-dye__black-dye.json; Parser: buddy-item-multi-source-v1
Black Powder,black powder,craft,,,,,https://buddy.farm/i/black-powder/,https://buddy.farm/page-data/i/black-powder/page-data.json,black-powder__black-powder.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-powder/page-data.json; Cache: black-powder__black-powder.json; Parser: buddy-item-multi-source-v1
Black Purse,black purse,craft,,,,,https://buddy.farm/i/black-purse/,https://buddy.farm/page-data/i/black-purse/page-data.json,black-purse__black-purse.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-purse/page-data.json; Cache: black-purse__black-purse.json; Parser: buddy-item-multi-source-v1
Black Scarf,black scarf,craft,,,,,https://buddy.farm/i/black-scarf/,https://buddy.farm/page-data/i/black-scarf/page-data.json,black-scarf__black-scarf.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-scarf/page-data.json; Cache: black-scarf__black-scarf.json; Parser: buddy-item-multi-source-v1
Black Shield,black shield,craft,,,,,https://buddy.farm/i/black-shield/,https://buddy.farm/page-data/i/black-shield/page-data.json,black-shield__black-shield.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-shield/page-data.json; Cache: black-shield__black-shield.json; Parser: buddy-item-multi-source-v1
Black Shirt,black shirt,craft,,,,,https://buddy.farm/i/black-shirt/,https://buddy.farm/page-data/i/black-shirt/page-data.json,black-shirt__black-shirt.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-shirt/page-data.json; Cache: black-shirt__black-shirt.json; Parser: buddy-item-multi-source-v1
Black Twine,black twine,craft,,,,,https://buddy.farm/i/black-twine/,https://buddy.farm/page-data/i/black-twine/page-data.json,black-twine__black-twine.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/black-twine/page-data.json; Cache: black-twine__black-twine.json; Parser: buddy-item-multi-source-v1
Block of Wood,block of wood,craft,,,,,https://buddy.farm/i/block-of-wood/,https://buddy.farm/page-data/i/block-of-wood/page-data.json,block-of-wood__block-of-wood.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/block-of-wood/page-data.json; Cache: block-of-wood__block-of-wood.json; Parser: buddy-item-multi-source-v1
Blue Butterfly,blue butterfly,craft,,,,,https://buddy.farm/i/blue-butterfly/,https://buddy.farm/page-data/i/blue-butterfly/page-data.json,blue-butterfly__blue-butterfly.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/blue-butterfly/page-data.json; Cache: blue-butterfly__blue-butterfly.json; Parser: buddy-item-multi-source-v1
Blue Diary,blue diary,craft,,,,,https://buddy.farm/i/blue-diary/,https://buddy.farm/page-data/i/blue-diary/page-data.json,blue-diary__blue-diary.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/blue-diary/page-data.json; Cache: blue-diary__blue-diary.json; Parser: buddy-item-multi-source-v1
Blue Dye,blue dye,craft,,,,,https://buddy.farm/i/blue-dye/,https://buddy.farm/page-data/i/blue-dye/page-data.json,blue-dye__blue-dye.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/blue-dye/page-data.json; Cache: blue-dye__blue-dye.json; Parser: buddy-item-multi-source-v1
Blue Parchment,blue parchment,craft,,,,,https://buddy.farm/i/blue-parchment/,https://buddy.farm/page-data/i/blue-parchment/page-data.json,blue-parchment__blue-parchment.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/blue-parchment/page-data.json; Cache: blue-parchment__blue-parchment.json; Parser: buddy-item-multi-source-v1
Blue Purse,blue purse,craft,,,,,https://buddy.farm/i/blue-purse/,https://buddy.farm/page-data/i/blue-purse/page-data.json,blue-purse__blue-purse.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/blue-purse/page-data.json; Cache: blue-purse__blue-purse.json; Parser: buddy-item-multi-source-v1
Blue Shirt,blue shirt,craft,,,,,https://buddy.farm/i/blue-shirt/,https://buddy.farm/page-data/i/blue-shirt/page-data.json,blue-shirt__blue-shirt.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/blue-shirt/page-data.json; Cache: blue-shirt__blue-shirt.json; Parser: buddy-item-multi-source-v1
Blue Twine,blue twine,craft,,,,,https://buddy.farm/i/blue-twine/,https://buddy.farm/page-data/i/blue-twine/page-data.json,blue-twine__blue-twine.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/blue-twine/page-data.json; Cache: blue-twine__blue-twine.json; Parser: buddy-item-multi-source-v1
Board,board,craft,,,,,https://buddy.farm/i/board/,https://buddy.farm/page-data/i/board/page-data.json,board__board.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/board/page-data.json; Cache: board__board.json; Parser: buddy-item-multi-source-v1
Bone Broth,bone broth,cooking,Rosalie's Bone Broth,rosalie's bone broth,1,10m,https://buddy.farm/i/bone-broth/,https://buddy.farm/page-data/i/bone-broth/page-data.json,bone-broth__bone-broth.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bone-broth/page-data.json; Cache: bone-broth__bone-broth.json; Parser: buddy-item-multi-source-v1; Base time carried forward from previous canonical recipe data because the current Buddy cache does not expose cooking base time.
Bone Pickaxe,bone pickaxe,craft,,,,,https://buddy.farm/i/bone-pickaxe/,https://buddy.farm/page-data/i/bone-pickaxe/page-data.json,bone-pickaxe__bone-pickaxe.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bone-pickaxe/page-data.json; Cache: bone-pickaxe__bone-pickaxe.json; Parser: buddy-item-multi-source-v1
Bottle Rocket,bottle rocket,craft,,,,,https://buddy.farm/i/bottle-rocket/,https://buddy.farm/page-data/i/bottle-rocket/page-data.json,bottle-rocket__bottle-rocket.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bottle-rocket/page-data.json; Cache: bottle-rocket__bottle-rocket.json; Parser: buddy-item-multi-source-v1
Bouquet of Flowers,bouquet of flowers,craft,,,,,https://buddy.farm/i/bouquet-of-flowers/,https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json,bouquet-of-flowers__bouquet-of-flowers.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bouquet-of-flowers/page-data.json; Cache: bouquet-of-flowers__bouquet-of-flowers.json; Parser: buddy-item-multi-source-v1
Breakfast Boost,breakfast boost,cooking,Lorn's Breakfast Boost,lorn's breakfast boost,40,2h,https://buddy.farm/i/breakfast-boost/,https://buddy.farm/page-data/i/breakfast-boost/page-data.json,breakfast-boost__breakfast-boost.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/breakfast-boost/page-data.json; Cache: breakfast-boost__breakfast-boost.json; Parser: buddy-item-multi-source-v1; Base time carried forward from previous canonical recipe data because the current Buddy cache does not expose cooking base time.
Broom,broom,craft,,,,,https://buddy.farm/i/broom/,https://buddy.farm/page-data/i/broom/page-data.json,broom__broom.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/broom/page-data.json; Cache: broom__broom.json; Parser: buddy-item-multi-source-v1
Brown Bag,brown bag,craft,,,,,https://buddy.farm/i/brown-bag/,https://buddy.farm/page-data/i/brown-bag/page-data.json,brown-bag__brown-bag.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/brown-bag/page-data.json; Cache: brown-bag__brown-bag.json; Parser: buddy-item-multi-source-v1
Brown Cloak,brown cloak,craft,,,,,https://buddy.farm/i/brown-cloak/,https://buddy.farm/page-data/i/brown-cloak/page-data.json,brown-cloak__brown-cloak.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/brown-cloak/page-data.json; Cache: brown-cloak__brown-cloak.json; Parser: buddy-item-multi-source-v1
Brown Dye,brown dye,craft,,,,,https://buddy.farm/i/brown-dye/,https://buddy.farm/page-data/i/brown-dye/page-data.json,brown-dye__brown-dye.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/brown-dye/page-data.json; Cache: brown-dye__brown-dye.json; Parser: buddy-item-multi-source-v1
Brown Twine,brown twine,craft,,,,,https://buddy.farm/i/brown-twine/,https://buddy.farm/page-data/i/brown-twine/page-data.json,brown-twine__brown-twine.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/brown-twine/page-data.json; Cache: brown-twine__brown-twine.json; Parser: buddy-item-multi-source-v1
Bucket,bucket,craft,,,,,https://buddy.farm/i/bucket/,https://buddy.farm/page-data/i/bucket/page-data.json,bucket__bucket.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/bucket/page-data.json; Cache: bucket__bucket.json; Parser: buddy-item-multi-source-v1
Butter,butter,craft,,,,,https://buddy.farm/i/butter/,https://buddy.farm/page-data/i/butter/page-data.json,butter__butter.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/butter/page-data.json; Cache: butter__butter.json; Parser: buddy-item-multi-source-v1
Butter Churn,butter churn,craft,,,,,https://buddy.farm/i/butter-churn/,https://buddy.farm/page-data/i/butter-churn/page-data.json,butter-churn__butter-churn.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/butter-churn/page-data.json; Cache: butter-churn__butter-churn.json; Parser: buddy-item-multi-source-v1
Cabbage Stew,cabbage stew,cooking,Baba Gec's Cabbage Stew,baba gec's cabbage stew,25,8h,https://buddy.farm/i/cabbage-stew/,https://buddy.farm/page-data/i/cabbage-stew/page-data.json,cabbage-stew__cabbage-stew.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/cabbage-stew/page-data.json; Cache: cabbage-stew__cabbage-stew.json; Parser: buddy-item-multi-source-v1; Base time carried forward from previous canonical recipe data because the current Buddy cache does not expose cooking base time.
Cannon,cannon,craft,,,,,https://buddy.farm/i/cannon/,https://buddy.farm/page-data/i/cannon/page-data.json,cannon__cannon.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/cannon/page-data.json; Cache: cannon__cannon.json; Parser: buddy-item-multi-source-v1
Canoe,canoe,craft,,,,,https://buddy.farm/i/canoe/,https://buddy.farm/page-data/i/canoe/page-data.json,canoe__canoe.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/canoe/page-data.json; Cache: canoe__canoe.json; Parser: buddy-item-multi-source-v1
Cat's Meow,cat's meow,cooking,Thomas's Cat's Meow,thomas's cat's meow,15,2h,https://buddy.farm/i/cat-s-meow/,https://buddy.farm/page-data/i/cat-s-meow/page-data.json,cat-s-meow__cat-s-meow.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/cat-s-meow/page-data.json; Cache: cat-s-meow__cat-s-meow.json; Parser: buddy-item-multi-source-v1; Base time carried forward from previous canonical recipe data because the current Buddy cache does not expose cooking base time.
Chum,chum,craft,,,,,https://buddy.farm/i/chum/,https://buddy.farm/page-data/i/chum/page-data.json,chum__chum.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/chum/page-data.json; Cache: chum__chum.json; Parser: buddy-item-multi-source-v1
Cloth,cloth,craft,,,,,https://buddy.farm/i/cloth/,https://buddy.farm/page-data/i/cloth/page-data.json,cloth__cloth.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/cloth/page-data.json; Cache: cloth__cloth.json; Parser: buddy-item-multi-source-v1
Coin Purse,coin purse,craft,,,,,https://buddy.farm/i/coin-purse/,https://buddy.farm/page-data/i/coin-purse/page-data.json,coin-purse__coin-purse.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/coin-purse/page-data.json; Cache: coin-purse__coin-purse.json; Parser: buddy-item-multi-source-v1
Compass,compass,craft,,,,,https://buddy.farm/i/compass/,https://buddy.farm/page-data/i/compass/page-data.json,compass__compass.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/compass/page-data.json; Cache: compass__compass.json; Parser: buddy-item-multi-source-v1
Concord Grape Pie,concord grape pie,cooking,Rosalie's Concord Grape Pie,rosalie's concord grape pie,40,12h,https://buddy.farm/i/concord-grape-pie/,https://buddy.farm/page-data/i/concord-grape-pie/page-data.json,concord-grape-pie__concord-grape-pie.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/concord-grape-pie/page-data.json; Cache: concord-grape-pie__concord-grape-pie.json; Parser: buddy-item-multi-source-v1; Base time carried forward from previous canonical recipe data because the current Buddy cache does not expose cooking base time.
Control Box,control box,craft,,,,,https://buddy.farm/i/control-box/,https://buddy.farm/page-data/i/control-box/page-data.json,control-box__control-box.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/control-box/page-data.json; Cache: control-box__control-box.json; Parser: buddy-item-multi-source-v1
Cooking Pot,cooking pot,craft,,,,,https://buddy.farm/i/cooking-pot/,https://buddy.farm/page-data/i/cooking-pot/page-data.json,cooking-pot__cooking-pot.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/cooking-pot/page-data.json; Cache: cooking-pot__cooking-pot.json; Parser: buddy-item-multi-source-v1
Corn Husk Doll,corn husk doll,craft,,,,,https://buddy.farm/i/corn-husk-doll/,https://buddy.farm/page-data/i/corn-husk-doll/page-data.json,corn-husk-doll__corn-husk-doll.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/corn-husk-doll/page-data.json; Cache: corn-husk-doll__corn-husk-doll.json; Parser: buddy-item-multi-source-v1
Corn Oil,corn oil,craft,,,,,https://buddy.farm/i/corn-oil/,https://buddy.farm/page-data/i/corn-oil/page-data.json,corn-oil__corn-oil.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/corn-oil/page-data.json; Cache: corn-oil__corn-oil.json; Parser: buddy-item-multi-source-v1
Crossbow,crossbow,craft,,,,,https://buddy.farm/i/crossbow/,https://buddy.farm/page-data/i/crossbow/page-data.json,crossbow__crossbow.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/crossbow/page-data.json; Cache: crossbow__crossbow.json; Parser: buddy-item-multi-source-v1
Crown of Clover,crown of clover,craft,,,,,https://buddy.farm/i/crown-of-clover/,https://buddy.farm/page-data/i/crown-of-clover/page-data.json,crown-of-clover__crown-of-clover.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/crown-of-clover/page-data.json; Cache: crown-of-clover__crown-of-clover.json; Parser: buddy-item-multi-source-v1
Crystal Pickaxe,crystal pickaxe,craft,,,,,https://buddy.farm/i/crystal-pickaxe/,https://buddy.farm/page-data/i/crystal-pickaxe/page-data.json,crystal-pickaxe__crystal-pickaxe.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/crystal-pickaxe/page-data.json; Cache: crystal-pickaxe__crystal-pickaxe.json; Parser: buddy-item-multi-source-v1
Emerald,emerald,craft,,,,,https://buddy.farm/i/emerald/,https://buddy.farm/page-data/i/emerald/page-data.json,emerald__emerald.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/emerald/page-data.json; Cache: emerald__emerald.json; Parser: buddy-item-multi-source-v1
Emerald Ring,emerald ring,craft,,,,,https://buddy.farm/i/emerald-ring/,https://buddy.farm/page-data/i/emerald-ring/page-data.json,emerald-ring__emerald-ring.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/emerald-ring/page-data.json; Cache: emerald-ring__emerald-ring.json; Parser: buddy-item-multi-source-v1
Energy Coil,energy coil,craft,,,,,https://buddy.farm/i/energy-coil/,https://buddy.farm/page-data/i/energy-coil/page-data.json,energy-coil__energy-coil.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/energy-coil/page-data.json; Cache: energy-coil__energy-coil.json; Parser: buddy-item-multi-source-v1
Engine,engine,craft,,,,,https://buddy.farm/i/engine/,https://buddy.farm/page-data/i/engine/page-data.json,engine__engine.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/engine/page-data.json; Cache: engine__engine.json; Parser: buddy-item-multi-source-v1
Essence of Slime,essence of slime,craft,,,,,https://buddy.farm/i/essence-of-slime/,https://buddy.farm/page-data/i/essence-of-slime/page-data.json,essence-of-slime__essence-of-slime.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/essence-of-slime/page-data.json; Cache: essence-of-slime__essence-of-slime.json; Parser: buddy-item-multi-source-v1
Explosive,explosive,craft,,,,,https://buddy.farm/i/explosive/,https://buddy.farm/page-data/i/explosive/page-data.json,explosive__explosive.json,buddy-item-multi-source-v1,Promoted from complete cached Buddy page-data fan-out for BL-259.; Page data: https://buddy.farm/page-data/i/explosive/page-data.json; Cache: explosive__explosive.json; Parser: buddy-item-multi-source-v1
