quest_key,quest_name,questline_key,questline_name,questline_aliases,stage_label,npc,farming_level,fishing_level,crafting_level,exploring_level,tower_level,previous_quest_key,next_quest_keys,source_url,coverage_status,notes
"100,000","100,000","100,000","100,000",,,,,,,,,,,https://buddy.farm/q/100-000/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 696; Quest image: /img/items/a_098.png; Quest end date: 2022-01-01T05:59:59+00:00
12 days of christmas,12 Days of Christmas,12 days of christmas,12 Days of Christmas,,,,,,,,,,,https://buddy.farm/q/12-days-of-christmas/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 620; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ii,12 Days of Christmas II,12 days of christmas,12 Days of Christmas,,II,,,,,,,,12 days of christmas iii,https://buddy.farm/q/12-days-of-christmas-ii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 621; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iii,12 Days of Christmas III,12 days of christmas,12 Days of Christmas,,III,,,,,,,12 days of christmas ii,12 days of christmas iv,https://buddy.farm/q/12-days-of-christmas-iii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 631; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas iv,12 Days of Christmas IV,12 days of christmas,12 Days of Christmas,,IV,,,,,,,12 days of christmas iii,12 days of christmas v,https://buddy.farm/q/12-days-of-christmas-iv/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 630; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas v,12 Days of Christmas V,12 days of christmas,12 Days of Christmas,,V,,,,,,,12 days of christmas iv,12 days of christmas vi,https://buddy.farm/q/12-days-of-christmas-v/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 629; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vi,12 Days of Christmas VI,12 days of christmas,12 Days of Christmas,,VI,,,,,,,12 days of christmas v,12 days of christmas vii,https://buddy.farm/q/12-days-of-christmas-vi/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 628; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas vii,12 Days of Christmas VII,12 days of christmas,12 Days of Christmas,,VII,,,,,,,12 days of christmas vi,12 days of christmas viii,https://buddy.farm/q/12-days-of-christmas-vii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 627; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas viii,12 Days of Christmas VIII,12 days of christmas,12 Days of Christmas,,VIII,,,,,,,12 days of christmas vii,12 days of christmas ix,https://buddy.farm/q/12-days-of-christmas-viii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 626; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas ix,12 Days of Christmas IX,12 days of christmas,12 Days of Christmas,,IX,,,,,,,12 days of christmas viii,12 days of christmas x,https://buddy.farm/q/12-days-of-christmas-ix/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 625; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas x,12 Days of Christmas X,12 days of christmas,12 Days of Christmas,,X,,,,,,,12 days of christmas ix,12 days of christmas xi,https://buddy.farm/q/12-days-of-christmas-x/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 624; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas xi,12 Days of Christmas XI,12 days of christmas,12 Days of Christmas,,XI,,,,,,,12 days of christmas x,12 days of christmas xii,https://buddy.farm/q/12-days-of-christmas-xi/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 623; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of christmas xii,12 Days of Christmas XII,12 days of christmas,12 Days of Christmas,,XII,,,,,,,12 days of christmas xi,,https://buddy.farm/q/12-days-of-christmas-xii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 622; Quest image: /img/items/lornsanta.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats i,12 Days of Sweet Treats I,12 days of sweet treats,12 Days of Sweet Treats,,I,,,,,,,,12 days of sweet treats ii,https://buddy.farm/q/12-days-of-sweet-treats-i/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7550586; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats ii,12 Days of Sweet Treats II,12 days of sweet treats,12 Days of Sweet Treats,,II,,,,,,,12 days of sweet treats i,12 days of sweet treats iii,https://buddy.farm/q/12-days-of-sweet-treats-ii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552710; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats iii,12 Days of Sweet Treats III,12 days of sweet treats,12 Days of Sweet Treats,,III,,,,,,,12 days of sweet treats ii,12 days of sweet treats iv,https://buddy.farm/q/12-days-of-sweet-treats-iii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552711; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats iv,12 Days of Sweet Treats IV,12 days of sweet treats,12 Days of Sweet Treats,,IV,,,,,,,12 days of sweet treats iii,12 days of sweet treats v,https://buddy.farm/q/12-days-of-sweet-treats-iv/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552814; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats v,12 Days of Sweet Treats V,12 days of sweet treats,12 Days of Sweet Treats,,V,,,,,,,12 days of sweet treats iv,12 days of sweet treats vi,https://buddy.farm/q/12-days-of-sweet-treats-v/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552818; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats vi,12 Days of Sweet Treats VI,12 days of sweet treats,12 Days of Sweet Treats,,VI,,,,,,,12 days of sweet treats v,12 days of sweet treats vii,https://buddy.farm/q/12-days-of-sweet-treats-vi/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552819; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats vii,12 Days of Sweet Treats VII,12 days of sweet treats,12 Days of Sweet Treats,,VII,,,,,,,12 days of sweet treats vi,12 days of sweet treats viii,https://buddy.farm/q/12-days-of-sweet-treats-vii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552820; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats viii,12 Days of Sweet Treats VIII,12 days of sweet treats,12 Days of Sweet Treats,,VIII,,,,,,,12 days of sweet treats vii,12 days of sweet treats ix,https://buddy.farm/q/12-days-of-sweet-treats-viii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552821; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats ix,12 Days of Sweet Treats IX,12 days of sweet treats,12 Days of Sweet Treats,,IX,,,,,,,12 days of sweet treats viii,12 days of sweet treats x,https://buddy.farm/q/12-days-of-sweet-treats-ix/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552822; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats x,12 Days of Sweet Treats X,12 days of sweet treats,12 Days of Sweet Treats,,X,,,,,,,12 days of sweet treats ix,12 days of sweet treats xi,https://buddy.farm/q/12-days-of-sweet-treats-x/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552991; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats xi,12 Days of Sweet Treats XI,12 days of sweet treats,12 Days of Sweet Treats,,XI,,,,,,,12 days of sweet treats x,12 days of sweet treats xii,https://buddy.farm/q/12-days-of-sweet-treats-xi/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552992; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
12 days of sweet treats xii,12 Days of Sweet Treats XII,12 days of sweet treats,12 Days of Sweet Treats,,XII,,,,,,,12 days of sweet treats xi,,https://buddy.farm/q/12-days-of-sweet-treats-xii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 7552993; Quest image: /img/items/npc_bunny1.png; Quest end date: 2026-01-04T05:59:59+00:00
"20,000 players!","20,000 Players!","20,000 players!","20,000 Players!",,,,,,,,,,,https://buddy.farm/q/20-000-players/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 90; Quest image: /img/items/a_098.png; Quest end date: 2021-07-13T04:59:59+00:00
200 patrons!,200 Patrons!,200 patrons!,200 Patrons!,,,,,,,,,,,https://buddy.farm/q/200-patrons/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 115; Quest image: /img/items/a_098.png; Quest end date: 2021-07-29T04:59:59+00:00
"200,000","200,000","200,000","200,000",,,,,,,,,,,https://buddy.farm/q/200-000/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 1606021; Quest image: /img/items/a_098.png; Quest end date: 2022-11-23T05:59:59+00:00
"200,000 ii","200,000 II","200,000","200,000",,II,,,,,,,,"200,000 iii",https://buddy.farm/q/200-000-ii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 1606073; Quest image: /img/items/a_098.png; Quest end date: 2022-11-23T05:59:59+00:00
"200,000 iii","200,000 III","200,000","200,000",,III,,,,,,,"200,000 ii",,https://buddy.farm/q/200-000-iii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 1606092; Quest image: /img/items/a_098.png; Quest end date: 2022-11-23T05:59:59+00:00
"25,000","25,000","25,000","25,000",,,,,,,,,,,https://buddy.farm/q/25-000/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 112; Quest image: /img/items/a_098.png; Quest end date: 2021-07-21T04:59:59+00:00
5 times even tastier i,5 Times Even Tastier I,5 times even tastier,5 Times Even Tastier,,I,,,,,,,,5 times even tastier ii,https://buddy.farm/q/5-times-even-tastier-i/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 3602827; Quest image: /img/items/mariya.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times even tastier ii,5 Times Even Tastier II,5 times even tastier,5 Times Even Tastier,,II,,,,,,,5 times even tastier i,5 times even tastier iii,https://buddy.farm/q/5-times-even-tastier-ii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 3602870; Quest image: /img/items/mariya.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times even tastier iii,5 Times Even Tastier III,5 times even tastier,5 Times Even Tastier,,III,,,,,,,5 times even tastier ii,5 times even tastier iv,https://buddy.farm/q/5-times-even-tastier-iii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 3602910; Quest image: /img/items/mariya.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times even tastier iv,5 Times Even Tastier IV,5 times even tastier,5 Times Even Tastier,,IV,,,,,,,5 times even tastier iii,5 times even tastier v,https://buddy.farm/q/5-times-even-tastier-iv/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 3603100; Quest image: /img/items/mariya.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times even tastier v,5 Times Even Tastier V,5 times even tastier,5 Times Even Tastier,,V,,,,,,,5 times even tastier iv,,https://buddy.farm/q/5-times-even-tastier-v/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 3603140; Quest image: /img/items/mariya.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times tastier i,5 Times Tastier I,5 times tastier,5 Times Tastier,,I,,,,,,,,5 times tastier ii,https://buddy.farm/q/5-times-tastier-i/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 890; Quest image: /img/items/a_028.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times tastier ii,5 Times Tastier II,5 times tastier,5 Times Tastier,,II,,,,,,,5 times tastier i,5 times tastier iii,https://buddy.farm/q/5-times-tastier-ii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 891; Quest image: /img/items/a_028.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times tastier iii,5 Times Tastier III,5 times tastier,5 Times Tastier,,III,,,,,,,5 times tastier ii,5 times tastier iv,https://buddy.farm/q/5-times-tastier-iii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 892; Quest image: /img/items/a_028.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times tastier iv,5 Times Tastier IV,5 times tastier,5 Times Tastier,,IV,,,,,,,5 times tastier iii,5 times tastier v,https://buddy.farm/q/5-times-tastier-iv/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 893; Quest image: /img/items/a_028.png; Quest end date: 2026-06-01T04:59:59+00:00
5 times tastier v,5 Times Tastier V,5 times tastier,5 Times Tastier,,V,,,,,,,5 times tastier iv,,https://buddy.farm/q/5-times-tastier-v/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 894; Quest image: /img/items/a_028.png; Quest end date: 2026-06-01T04:59:59+00:00
"50,000 players!","50,000 Players!","50,000 players!","50,000 Players!",,,,,,,,,,,https://buddy.farm/q/50-000-players/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 195; Quest image: /img/items/a_098.png; Quest end date: 2021-09-08T04:59:59+00:00
"60,000","60,000","60,000","60,000",,,,,,,,,,,https://buddy.farm/q/60-000/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 262; Quest image: /img/items/a_098.png; Quest end date: 2021-09-26T04:59:59+00:00
"75,000","75,000","75,000","75,000",,,,,,,,,,,https://buddy.farm/q/75-000/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 362; Quest image: /img/items/a_098.png; Quest end date: 2021-11-04T04:59:59+00:00
"750,000 farmers i","750,000 Farmers I","750,000 farmers","750,000 Farmers",,I,,,,,,,,"750,000 farmers ii",https://buddy.farm/q/750-000-farmers-i/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 13430067; Quest image: /img/items/a_098.png; Quest end date: 2024-12-27T05:59:59+00:00
"750,000 farmers ii","750,000 Farmers II","750,000 farmers","750,000 Farmers",,II,,,,,,,"750,000 farmers i","750,000 farmers iii",https://buddy.farm/q/750-000-farmers-ii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 13430089; Quest image: /img/items/a_098.png; Quest end date: 2024-12-27T05:59:59+00:00
"750,000 farmers iii","750,000 Farmers III","750,000 farmers","750,000 Farmers",,III,,,,,,,"750,000 farmers ii","750,000 farmers iv",https://buddy.farm/q/750-000-farmers-iii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 13430093; Quest image: /img/items/a_098.png; Quest end date: 2024-12-27T05:59:59+00:00
"750,000 farmers iv","750,000 Farmers IV","750,000 farmers","750,000 Farmers",,IV,,,,,,,"750,000 farmers iii","750,000 farmers v",https://buddy.farm/q/750-000-farmers-iv/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 13430112; Quest image: /img/items/a_098.png; Quest end date: 2024-12-27T05:59:59+00:00
"750,000 farmers v","750,000 Farmers V","750,000 farmers","750,000 Farmers",,V,,,,,,,"750,000 farmers iv","750,000 farmers vi",https://buddy.farm/q/750-000-farmers-v/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 13430119; Quest image: /img/items/a_098.png; Quest end date: 2024-12-27T05:59:59+00:00
"750,000 farmers vi","750,000 Farmers VI","750,000 farmers","750,000 Farmers",,VI,,,,,,,"750,000 farmers v","750,000 farmers vii",https://buddy.farm/q/750-000-farmers-vi/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 13430126; Quest image: /img/items/a_098.png; Quest end date: 2024-12-27T05:59:59+00:00
"750,000 farmers vii","750,000 Farmers VII","750,000 farmers","750,000 Farmers",,VII,,,,,,,"750,000 farmers vi","750,000 farmers viii",https://buddy.farm/q/750-000-farmers-vii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 13430133; Quest image: /img/items/a_098.png; Quest end date: 2024-12-27T05:59:59+00:00
"750,000 farmers viii","750,000 Farmers VIII","750,000 farmers","750,000 Farmers",,VIII,,,,,,,"750,000 farmers vii",,https://buddy.farm/q/750-000-farmers-viii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 13430821; Quest image: /img/items/a_098.png; Quest end date: 2024-12-27T05:59:59+00:00
99 bottles i,99 Bottles I,99 bottles,99 Bottles,,I,,,,,,,,99 bottles ii,https://buddy.farm/q/99-bottles-i/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 486; Quest image: /img/items/a_034.png
99 bottles ii,99 Bottles II,99 bottles,99 Bottles,,II,,,,,,,99 bottles i,99 bottles iii,https://buddy.farm/q/99-bottles-ii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 487; Quest image: /img/items/a_034.png
99 bottles iii,99 Bottles III,99 bottles,99 Bottles,,III,,,,,,,99 bottles ii,99 bottles iv,https://buddy.farm/q/99-bottles-iii/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 488; Quest image: /img/items/a_034.png
99 bottles iv,99 Bottles IV,99 bottles,99 Bottles,,IV,,,,,,,99 bottles iii,99 bottles v,https://buddy.farm/q/99-bottles-iv/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 489; Quest image: /img/items/a_034.png
99 bottles v,99 Bottles V,99 bottles,99 Bottles,,V,,,,,,,99 bottles iv,99 bottles vi,https://buddy.farm/q/99-bottles-v/,reviewed,Promoted from complete cached Buddy item-page quest evidence for BL-274.; Item requirements and rewards are reverse-derived from item pages; non-item prerequisites may be absent.; Buddy quest id: 490; Quest image: /img/items/a_034.png
