openable_item_name,openable_canonical_key,content_item_name,content_canonical_key,quantity_per_open,quantity_kind,evidence,notes
Apple Crate 02,apple crate 02,Apple Turnover,apple turnover,3,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Bar of Silver,bar of silver,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Buddy Doll,buddy doll,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Apple Crate 02,apple crate 02,Raffle Ticket,raffle ticket,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/apple-crate-02/; Page data: https://buddy.farm/page-data/i/apple-crate-02/page-data.json; Cache: apple-crate-02__apple-crate-02.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,Baba Cola,baba cola,3,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,Cabbage,cabbage,30,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,Cabbage Stew,cabbage stew,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,Cheese,cheese,3,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,Lovely Cookies,lovely cookies,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,Mixed Nuts,mixed nuts,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,Protein Bar,protein bar,2,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,Void Bag 01,void bag 01,3,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Baba's Snack Pack,baba's snack pack,YoYo,yoyo,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/baba-s-snack-pack/; Page data: https://buddy.farm/page-data/i/baba-s-snack-pack/page-data.json; Cache: baba-s-snack-pack__baba-s-snack-pack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Apple,apple,25,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Arnold Palmer,arnold palmer,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Clubs,clubs,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Diamonds,diamonds,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Glass Bottle,glass bottle,50,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Hearts,hearts,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Iron Ring,iron ring,50,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Mushroom Paste,mushroom paste,100,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Spades,spades,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Steel,steel,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Steel Wire,steel wire,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Backpack,backpack,Yarn,yarn,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/backpack/; Page data: https://buddy.farm/page-data/i/backpack/page-data.json; Cache: backpack__backpack.json; Parser: buddy-item-multi-source-v1
Bag of Ghost Candy,bag of ghost candy,Ghost Candy,ghost candy,100,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-ghost-candy/; Page data: https://buddy.farm/page-data/i/bag-of-ghost-candy/page-data.json; Cache: bag-of-ghost-candy__bag-of-ghost-candy.json; Parser: buddy-item-multi-source-v1
Bag of Ghost Candy,bag of ghost candy,Taffy,taffy,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-ghost-candy/; Page data: https://buddy.farm/page-data/i/bag-of-ghost-candy/page-data.json; Cache: bag-of-ghost-candy__bag-of-ghost-candy.json; Parser: buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Gold Crab,gold crab,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-01/; Page data: https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json; Cache: bag-of-presents-01__bag-of-presents-01.json; Parser: buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Gold Feather,gold feather,5,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-01/; Page data: https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json; Cache: bag-of-presents-01__bag-of-presents-01.json; Parser: buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Magna Quartz,magna quartz,5,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-01/; Page data: https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json; Cache: bag-of-presents-01__bag-of-presents-01.json; Parser: buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Runestone 04,runestone 04,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-01/; Page data: https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json; Cache: bag-of-presents-01__bag-of-presents-01.json; Parser: buddy-item-multi-source-v1
Bag of Presents 01,bag of presents 01,Runestone 18,runestone 18,1,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-01/; Page data: https://buddy.farm/page-data/i/bag-of-presents-01/page-data.json; Cache: bag-of-presents-01__bag-of-presents-01.json; Parser: buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Arnold Palmer,arnold palmer,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-02/; Page data: https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json; Cache: bag-of-presents-02__bag-of-presents-02.json; Parser: buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Grab Bag 04,grab bag 04,3,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-02/; Page data: https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json; Cache: bag-of-presents-02__bag-of-presents-02.json; Parser: buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Grab Bag 05,grab bag 05,3,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-02/; Page data: https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json; Cache: bag-of-presents-02__bag-of-presents-02.json; Parser: buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Happy Cookies,happy cookies,2,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-02/; Page data: https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json; Cache: bag-of-presents-02__bag-of-presents-02.json; Parser: buddy-item-multi-source-v1
Bag of Presents 02,bag of presents 02,Large Net,large net,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-presents-02/; Page data: https://buddy.farm/page-data/i/bag-of-presents-02/page-data.json; Cache: bag-of-presents-02__bag-of-presents-02.json; Parser: buddy-item-multi-source-v1
Bag of Snowballs,bag of snowballs,Snowball,snowball,400,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-snowballs/; Page data: https://buddy.farm/page-data/i/bag-of-snowballs/page-data.json; Cache: bag-of-snowballs__bag-of-snowballs.json; Parser: buddy-item-multi-source-v1
Bag of Spring Seeds,bag of spring seeds,Spring Seeds,spring seeds,25,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/bag-of-spring-seeds/; Page data: https://buddy.farm/page-data/i/bag-of-spring-seeds/page-data.json; Cache: bag-of-spring-seeds__bag-of-spring-seeds.json; Parser: buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Grubs,grubs,26,expected,reviewed_expected_value,Promoted from complete cached Buddy page-data fan-out for BL-269.; locksmith_grab_bag=true; quantity_range=10-250; outcome_count=5; outcome_model=equal_outcome_pool; ev_formula=((max-min)/2+min)/outcome_count; Source: https://buddy.farm/i/bait-bag-01/; Page data: https://buddy.farm/page-data/i/bait-bag-01/page-data.json; Cache: bait-bag-01__bait-bag-01.json; Parser: buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Gummy Worms,gummy worms,26,expected,reviewed_expected_value,Promoted from complete cached Buddy page-data fan-out for BL-269.; locksmith_grab_bag=true; quantity_range=10-250; outcome_count=5; outcome_model=equal_outcome_pool; ev_formula=((max-min)/2+min)/outcome_count; Source: https://buddy.farm/i/bait-bag-01/; Page data: https://buddy.farm/page-data/i/bait-bag-01/page-data.json; Cache: bait-bag-01__bait-bag-01.json; Parser: buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Mealworms,mealworms,26,expected,reviewed_expected_value,Promoted from complete cached Buddy page-data fan-out for BL-269.; locksmith_grab_bag=true; quantity_range=10-250; outcome_count=5; outcome_model=equal_outcome_pool; ev_formula=((max-min)/2+min)/outcome_count; Source: https://buddy.farm/i/bait-bag-01/; Page data: https://buddy.farm/page-data/i/bait-bag-01/page-data.json; Cache: bait-bag-01__bait-bag-01.json; Parser: buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Minnows,minnows,26,expected,reviewed_expected_value,Promoted from complete cached Buddy page-data fan-out for BL-269.; locksmith_grab_bag=true; quantity_range=10-250; outcome_count=5; outcome_model=equal_outcome_pool; ev_formula=((max-min)/2+min)/outcome_count; Source: https://buddy.farm/i/bait-bag-01/; Page data: https://buddy.farm/page-data/i/bait-bag-01/page-data.json; Cache: bait-bag-01__bait-bag-01.json; Parser: buddy-item-multi-source-v1
Bait Bag 01,bait bag 01,Worms,worms,26,expected,reviewed_expected_value,Promoted from complete cached Buddy page-data fan-out for BL-269.; locksmith_grab_bag=true; quantity_range=10-250; outcome_count=5; outcome_model=equal_outcome_pool; ev_formula=((max-min)/2+min)/outcome_count; Source: https://buddy.farm/i/bait-bag-01/; Page data: https://buddy.farm/page-data/i/bait-bag-01/page-data.json; Cache: bait-bag-01__bait-bag-01.json; Parser: buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix's big box of boom,Black Powder,black powder,200,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-big-box-of-boom/; Page data: https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json; Cache: beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json; Parser: buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix's big box of boom,Blue Star Stomper,blue star stomper,25,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-big-box-of-boom/; Page data: https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json; Cache: beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json; Parser: buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix's big box of boom,Bomb,bomb,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-big-box-of-boom/; Page data: https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json; Cache: beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json; Parser: buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix's big box of boom,Bottle Rocket,bottle rocket,200,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-big-box-of-boom/; Page data: https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json; Cache: beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json; Parser: buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix's big box of boom,Explosive,explosive,200,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-big-box-of-boom/; Page data: https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json; Cache: beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json; Parser: buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix's big box of boom,Fireworks,fireworks,100,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-big-box-of-boom/; Page data: https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json; Cache: beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json; Parser: buddy-item-multi-source-v1
Beatrix's Big Box of Boom,beatrix's big box of boom,Moonbreaker,moonbreaker,10,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-big-box-of-boom/; Page data: https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json; Cache: beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json; Parser: buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,Blue Star Stomper,blue star stomper,30,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-booming-brawl-box-01/; Page data: https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json; Cache: beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json; Parser: buddy-item-multi-source-v1
Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,Bottle Rocket,bottle rocket,250,fixed,reviewed_fixed_content,Promoted from complete cached Buddy page-data fan-out for BL-262.; locksmith_grab_bag=false; Source: https://buddy.farm/i/beatrix-s-booming-brawl-box-01/; Page data: https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json; Cache: beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json; Parser: buddy-item-multi-source-v1
