tower_level,tower_level_range,slot_index,item_name,farmrpg_item_id,mastery_level_needed,buddy_slug,notes,source_sheet,source_row
241,241-250,2,Fancy Pipe,,MM,,Auto-craft,Tower MMs,76
242,241-250,1,Lemonade,,MM,,Daily,Tower MMs,77
242,241-250,2,Ruby,,MM,,Explore,Tower MMs,78
243,241-250,1,Black Powder,,MM,,Explore,Tower MMs,79
243,241-250,2,Bucket,,MM,,Auto-craft,Tower MMs,80
244,241-250,1,Globber,,MM,,Fish,Tower MMs,81
244,241-250,2,Broom,,MM,,Auto-craft,Tower MMs,82
245,241-250,1,Blue Catfish,,MM,,Fish,Tower MMs,83
245,241-250,2,Carp,,MM,,Fish,Tower MMs,84
246,241-250,1,Shimmer Topaz,,MM,,Explore,Tower MMs,85
246,241-250,2,Flarefin,,MM,,Fish,Tower MMs,86
247,241-250,1,Jade,,MM,,Pets and Chests,Tower MMs,87
247,241-250,2,Garnet,,MM,,Explore,Tower MMs,88
248,241-250,1,Wooden Box,,MM,,Auto-craft,Tower MMs,89
248,241-250,2,Wooden Shield,,MM,,Auto-craft,Tower MMs,90
249,241-250,1,Awl,,MM,,Auto-craft,Tower MMs,91
249,241-250,2,Chum,,MM,,Auto-craft,Tower MMs,92
250,241-250,1,Ladder,,MM,,Auto-craft,Tower MMs,93
250,241-250,2,Wooden Button,,MM,,Auto-craft,Tower MMs,94
250,241-250,3,Large Net,,MM,,Daily,Tower MMs,95
251,251-260,1,Steel,,MM,,Manual transcription from screenshot,Screenshot 251-271,251
252,251-260,1,Seeker,,MM,,Manual transcription from screenshot,Screenshot 251-271,252
253,251-260,1,Shrimp,,MM,,Manual transcription from screenshot,Screenshot 251-271,253
254,251-260,1,Largemouth Bass,,MM,,Manual transcription from screenshot,Screenshot 251-271,254
255,251-260,1,Glassback,,MM,,Manual transcription from screenshot,Screenshot 251-271,255
256,251-260,1,Small Prawn,,MM,,Manual transcription from screenshot,Screenshot 251-271,256
257,251-260,1,Garnet Ring,,MM,,Manual transcription from screenshot,Screenshot 251-271,257
258,251-260,1,Sea Crest,,MM,,Manual transcription from screenshot,Screenshot 251-271,258
259,251-260,1,Unpolished Shimmer Stone,,MM,,Manual transcription from screenshot,Screenshot 251-271,259
260,251-260,1,Sturdy Box,,MM,,Manual transcription from screenshot,Screenshot 251-271,260
261,261-270,1,Yellow Perch,,MM,,Manual transcription from screenshot,Screenshot 251-271,261
262,261-270,1,Stone Jelly,,MM,,Manual transcription from screenshot,Screenshot 251-271,262
263,261-270,1,Ice Shark,,MM,,Manual transcription from screenshot,Screenshot 251-271,263
264,261-270,1,Jumbo Fish,,MM,,Manual transcription from screenshot,Screenshot 251-271,264
265,261-270,1,Glass Orb,,MM,,Manual transcription from screenshot,Screenshot 251-271,265
266,261-270,1,Orcafish,,MM,,Manual transcription from screenshot,Screenshot 251-271,266
267,261-270,1,Wooden Plank,,MM,,Manual transcription from screenshot,Screenshot 251-271,267
268,261-270,1,Speckled Grouper,,MM,,Manual transcription from screenshot,Screenshot 251-271,268
269,261-270,1,Glass Bottle,,MM,,Manual transcription from screenshot,Screenshot 251-271,269
270,261-270,1,Fish Bones,,MM,,Manual transcription from screenshot,Screenshot 251-271,270
271,271-280,1,Treasure Chest,,MM,,Manual transcription from screenshot,Screenshot 251-271,271
272,271-280,1,Mussel,,MM,,Manual transcription from screenshot,Screenshot 272-291,272
273,271-280,1,Wooden Barrel,,MM,,Manual transcription from screenshot,Screenshot 272-291,273
274,271-280,1,Trout,,MM,,Manual transcription from screenshot,Screenshot 272-291,274
275,271-280,1,Wooden Table,,MM,,Manual transcription from screenshot,Screenshot 272-291,275
275,271-280,2,Peppers,,MM,,Manual transcription from screenshot,Screenshot 272-291,275
276,271-280,1,Catfish,,MM,,Manual transcription from screenshot,Screenshot 272-291,276
276,271-280,2,Peas,,MM,,Manual transcription from screenshot,Screenshot 272-291,276
277,271-280,1,Butter Churn,,MM,,Manual transcription from screenshot,Screenshot 272-291,277
277,271-280,2,Crossbow,,MM,,Manual transcription from screenshot,Screenshot 272-291,277
278,271-280,1,Mulberry Snapper,,MM,,Manual transcription from screenshot,Screenshot 272-291,278
278,271-280,2,Looking Glass,,MM,,Manual transcription from screenshot,Screenshot 272-291,278
279,271-280,1,MIAB,,MM,,Manual transcription from screenshot,Screenshot 272-291,279
279,271-280,2,Bottle Rocket,,MM,,Manual transcription from screenshot,Screenshot 272-291,279
280,271-280,1,Green Dye,,MM,,Manual transcription from screenshot,Screenshot 272-291,280
280,271-280,2,Lantern,,MM,,Manual transcription from screenshot,Screenshot 272-291,280
281,281-290,1,Flier,,MM,,Manual transcription from screenshot,Screenshot 272-291,281
281,281-290,2,Blue Dye,,MM,,Manual transcription from screenshot,Screenshot 272-291,281
282,281-290,1,Wagon Wheel,,MM,,Manual transcription from screenshot,Screenshot 272-291,282
282,281-290,2,Wooden Sword,,MM,,Manual transcription from screenshot,Screenshot 272-291,282
283,281-290,1,Carrot,,MM,,Manual transcription from screenshot,Screenshot 272-291,283
283,281-290,2,Emerald Ring,,MM,,Manual transcription from screenshot,Screenshot 272-291,283
284,281-290,1,Lemon Quartz Ring,,MM,,Manual transcription from screenshot,Screenshot 272-291,284
284,281-290,2,Pearl Necklace,,MM,,Manual transcription from screenshot,Screenshot 272-291,284
285,281-290,1,Amethyst Necklace,,MM,,Manual transcription from screenshot,Screenshot 272-291,285
285,281-290,2,Magnifying Glass,,MM,,Manual transcription from screenshot,Screenshot 272-291,285
286,281-290,1,Wooden Spear,,MM,,Manual transcription from screenshot,Screenshot 272-291,286
286,281-290,2,Aquamarine Ring,,MM,,Manual transcription from screenshot,Screenshot 272-291,286
287,281-290,1,Ruby Ring,,MM,,Manual transcription from screenshot,Screenshot 272-291,287
287,281-290,2,Glass Jar,,MM,,Manual transcription from screenshot,Screenshot 272-291,287
288,281-290,1,Giant Squid,,MM,,Manual transcription from screenshot,Screenshot 272-291,288
288,281-290,2,Magicite,,MM,,Manual transcription from screenshot,Screenshot 272-291,288
289,281-290,1,Hammer,,MM,,Manual transcription from screenshot,Screenshot 272-291,289
289,281-290,2,Axe,,MM,,Manual transcription from screenshot,Screenshot 272-291,289
289,281-290,3,Shovel,,MM,,Manual transcription from screenshot,Screenshot 272-291,289
290,281-290,1,Scissors,,MM,,Manual transcription from screenshot,Screenshot 272-291,290
290,281-290,2,Potato,,MM,,Manual transcription from screenshot,Screenshot 272-291,290
290,281-290,3,Pitchfork,,MM,,Manual transcription from screenshot,Screenshot 272-291,290
291,291-300,1,Octopus,,MM,,Manual transcription from screenshot,Screenshot 272-291,291
291,291-300,2,Green Shield,,MM,,Manual transcription from screenshot,Screenshot 272-291,291
291,291-300,3,Wooden Bow,,MM,,Manual transcription from screenshot,Screenshot 272-291,291
292,291-300,1,Explosive,,MM,,Manual transcription from screenshot,Screenshot 292-300,292
292,291-300,2,Leather Diary,,MM,,Manual transcription from screenshot,Screenshot 292-300,292
292,291-300,3,Green Twine,,MM,,Manual transcription from screenshot,Screenshot 292-300,292
293,291-300,1,Coin Purse,,MM,,Manual transcription from screenshot,Screenshot 292-300,293
293,291-300,2,Blue Purse,,MM,,Manual transcription from screenshot,Screenshot 292-300,293
293,291-300,3,Green Scarf,,MM,,Manual transcription from screenshot,Screenshot 292-300,293
294,291-300,1,Shimmer Ring,,MM,,Manual transcription from screenshot,Screenshot 292-300,294
294,291-300,2,Salt,,MM,,Manual transcription from screenshot,Screenshot 292-300,294
294,291-300,3,Pickaxe,,MM,,Manual transcription from screenshot,Screenshot 292-300,294
295,291-300,1,Fancy Guitar,,MM,,Manual transcription from screenshot,Screenshot 292-300,295
295,291-300,2,Fancy Pan Flute,,MM,,Manual transcription from screenshot,Screenshot 292-300,295
295,291-300,3,Fancy Drum,,MM,,Manual transcription from screenshot,Screenshot 292-300,295
296,291-300,1,Red Dye,,MM,,Manual transcription from screenshot,Screenshot 292-300,296
296,291-300,2,Beet,,MM,,Manual transcription from screenshot,Screenshot 292-300,296
296,291-300,3,Leather Bag,,MM,,Manual transcription from screenshot,Screenshot 292-300,296
297,291-300,1,Horn Canteen,,MM,,Manual transcription from screenshot,Screenshot 292-300,297
297,291-300,2,Mystic Ring,,MM,,Manual transcription from screenshot,Screenshot 292-300,297
297,291-300,3,Green Parchment,,MM,,Manual transcription from screenshot,Screenshot 292-300,297
298,291-300,1,Hourglass,,MM,,Manual transcription from screenshot,Screenshot 292-300,298
298,291-300,2,Essence of Slime,,MM,,Manual transcription from screenshot,Screenshot 292-300,298
298,291-300,3,Wrench,,MM,,Manual transcription from screenshot,Screenshot 292-300,298
299,291-300,1,Jade Charm,,MM,,Manual transcription from screenshot,Screenshot 292-300,299
299,291-300,2,Sturdy Sword,,MM,,Manual transcription from screenshot,Screenshot 292-300,299
299,291-300,3,Red Trunk,,MM,,Manual transcription from screenshot,Screenshot 292-300,299
300,291-300,1,Wizard Hat,,MM,,Manual transcription from screenshot,Screenshot 292-300,300
300,291-300,2,Sewing Needle,,MM,,Manual transcription from screenshot,Screenshot 292-300,300
300,291-300,3,Water Lily,,MM,,Manual transcription from screenshot,Screenshot 292-300,300
301,301-310,1,Corn Oil,,GM,,,Untitled spreadsheet - Sheet1(1).csv,2
301,301-310,2,Cotton,,GM,,,Untitled spreadsheet - Sheet1(1).csv,3
301,301-310,3,Basic Pillow,,GM,,,Untitled spreadsheet - Sheet1(1).csv,4
302,301-310,1,Slimeback,,MM,,,Untitled spreadsheet - Sheet1(1).csv,5
302,301-310,2,Splatfish,,MM,,,Untitled spreadsheet - Sheet1(1).csv,6
302,301-310,3,Magenta Growth,,MM,,,Untitled spreadsheet - Sheet1(1).csv,7
303,301-310,1,Boghead Snapper,,MM,,,Untitled spreadsheet - Sheet1(1).csv,8
303,301-310,2,Bog Barnacle,,MM,,,Untitled spreadsheet - Sheet1(1).csv,9
303,301-310,3,Slime Egg Shell,,MM,,,Untitled spreadsheet - Sheet1(1).csv,10
304,301-310,1,Leather Belt,,GM,,,Untitled spreadsheet - Sheet1(1).csv,11
304,301-310,2,Brown Dye,,GM,,,Untitled spreadsheet - Sheet1(1).csv,12
304,301-310,3,Oak Table,,GM,,,Untitled spreadsheet - Sheet1(1).csv,13
305,301-310,1,Yellow Dye,,GM,,,Untitled spreadsheet - Sheet1(1).csv,14
305,301-310,2,Canoe,,GM,,,Untitled spreadsheet - Sheet1(1).csv,15
305,301-310,3,Gold Ruby Ring,,GM,,,Untitled spreadsheet - Sheet1(1).csv,16
306,301-310,1,Crown of Clover,,GM,,,Untitled spreadsheet - Sheet1(1).csv,17
306,301-310,2,Cloth,,GM,,,Untitled spreadsheet - Sheet1(1).csv,18
306,301-310,3,Yellow Shirt,,GM,,,Untitled spreadsheet - Sheet1(1).csv,19
307,301-310,1,Orange Scarf,,GM,,,Untitled spreadsheet - Sheet1(1).csv,20
307,301-310,2,Crab Claw,,GM,,,Untitled spreadsheet - Sheet1(1).csv,21
307,301-310,3,White Dye,,GM,,,Untitled spreadsheet - Sheet1(1).csv,22
308,301-310,1,Veggie Juice,,GM,,,Untitled spreadsheet - Sheet1(1).csv,23
308,301-310,2,Bamboo Rope,,GM,,,Untitled spreadsheet - Sheet1(1).csv,24
308,301-310,3,Glass Eye Urchin,,MM,,,Untitled spreadsheet - Sheet1(1).csv,25
309,301-310,1,Tin Scraps,,GM,,,Untitled spreadsheet - Sheet1(1).csv,26
309,301-310,2,Bamboo Trellis,,GM,,,Untitled spreadsheet - Sheet1(1).csv,27
309,301-310,3,Silk,,GM,,,Untitled spreadsheet - Sheet1(1).csv,28
310,301-310,1,Tie Dye Scarf,,GM,,,Untitled spreadsheet - Sheet1(1).csv,29
310,301-310,2,Gazebo,,GM,,,Untitled spreadsheet - Sheet1(1).csv,30
310,301-310,3,Gold Garnet Ring,,GM,,,Untitled spreadsheet - Sheet1(1).csv,31
311,311-320,1,Bamboo Chair,,GM,,,Community discovery 311-320,311-1
311,311-320,2,Barbed Wire,,GM,,,Community discovery 311-320,311-2
312,311-320,1,Yellow Scarf,,GM,,,Community discovery 311-320,312-1
312,311-320,2,Fire Ant Farm,,GM,,,Community discovery 311-320,312-2
313,311-320,1,Step Ladder,,GM,,,Community discovery 311-320,313-1
313,311-320,2,Orange Shirt,,GM,,,Community discovery 311-320,313-2
314,311-320,1,Energy Coil,,GM,,,Community discovery 311-320,314-1
314,311-320,2,Black Dye,,GM,,,Community discovery 311-320,314-2
315,311-320,1,Reinforced Helmet,,GM,,,Community discovery 311-320,315-1
315,311-320,2,Gold Lemon Quartz Ring,,GM,,,Community discovery 311-320,315-2
315,311-320,3,Steel Vise,,GM,,,Community discovery 311-320,315-3
316,311-320,1,Yellow Bag,,GM,,,Community discovery 311-320,316-1
316,311-320,2,Leather Helmet,,GM,,,Community discovery 311-320,316-2
317,311-320,1,Gold Aquamarine Ring,,GM,,,Community discovery 311-320,317-1
317,311-320,2,Handsaw,,GM,,,Community discovery 311-320,317-2
318,311-320,1,Yellow Butterfly,,GM,,,Community discovery 311-320,318-1
318,311-320,2,Acorn Butter,,GM,,,Community discovery 311-320,318-2
319,311-320,1,Strong Paste,,GM,,,Community discovery 311-320,319-1
319,311-320,2,Spoon,,MM,,,Community discovery 311-320,319-2
320,311-320,1,Corn Husk Doll,,GM,,,Community discovery 311-320,320-1
320,311-320,2,Blubberfish,,MM,,,Community discovery 311-320,320-2
320,311-320,3,Reaver Claw,,MM,,,Community discovery 311-320,320-3
321,321-330,1,Green Diary,,MM,,,Community discovery 321-330,321-1
321,321-330,2,Sturdy Bow,,MM,,,Community discovery 321-330,321-2
322,321-330,1,Power Monitor,,GM,,,Community discovery 321-330,322-1
322,321-330,2,Bamboo Fence,,GM,,,Community discovery 321-330,322-2
323,321-330,1,Spiked Shell,,GM,,,Community discovery 321-330,323-1
323,321-330,2,Black Scarf,,GM,,,Community discovery 321-330,323-2
324,321-330,1,Spool of Copper,,GM,,,Community discovery 321-330,324-1
324,321-330,2,Red Twine,,MM,,,Community discovery 321-330,324-2
325,321-330,1,Cloth,,MM,,,Community discovery 321-330,325-1
325,321-330,2,Gold Ring,,MM,,,Community discovery 321-330,325-2
325,321-330,3,Tin Scraps,,MM,,,Community discovery 321-330,325-3
326,321-330,1,Red Shirt,,GM,,,Community discovery 321-330,326-1
326,321-330,2,Black Shirt,,GM,,,Community discovery 321-330,326-2
327,321-330,1,Propeller Hat,,GM,,,Community discovery 321-330,327-1
327,321-330,2,Blue Twine,,MM,,,Community discovery 321-330,327-2
328,321-330,1,Wine,,GM,,,Community discovery 321-330,328-1
328,321-330,2,Sunflower,,MM,,,Community discovery 321-330,328-2
329,321-330,1,Pair of Boots,,GM,,,Community discovery 321-330,329-1
329,321-330,2,Black Twine,,GM,,,Community discovery 321-330,329-2
330,321-330,1,Red Diary,,GM,,,Community discovery 321-330,330-1
330,321-330,2,White Twine,,GM,,,Community discovery 321-330,330-2
330,321-330,3,Magus Hat,,GM,,,Community discovery 321-330,330-3
