sort_order,raw_item_label,item_name,canonical_key,known_item_status,gold_raw,gold_status,gold_min,gold_max,gold_currency,gold_quantity_basis,ap_raw,ap_status,ap_min,ap_max,ap_currency,ap_quantity_basis,oj_raw,oj_status,oj_min,oj_max,oj_currency,oj_quantity_basis,source_name,source_url,captured_date,parser_version,notes
14,Arnold Palmer,Arnold Palmer,arnold palmer,known,60-65g/k,priced,60,65,gold,per_1000,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
15,Arrowhead,Arrowhead,arrowhead,known,×,not_listed,,,,,2-3 AP/k,priced,2,3,ap,per_1000,15-25 OJ/k,priced,15,25,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
16,Axe,Axe,axe,known,×,not_listed,,,,,2-3 AP/k,priced,2,3,ap,per_1000,15-25 OJ/k,priced,15,25,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
17,Baba's Snack Pack,Baba's Snack Pack,baba's snack pack,known,50-100g,priced,50,100,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
18,Backpack,Backpack,backpack,known,40-55g,priced,40,55,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
19,Beach Ball,Beach Ball,beach ball,known,25-50g,priced,25,50,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
20,Beatrix's Big Box of Boom,Beatrix's Big Box of Boom,beatrix's big box of boom,known,30-40g,priced,30,40,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
21,Beatrix's Booming Brawl Box 01,Beatrix's Booming Brawl Box 01,beatrix's booming brawl box 01,known,250-300g,priced,250,300,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
22,Beatrix's Booming Brawl Box 02,Beatrix's Booming Brawl Box 02,beatrix's booming brawl box 02,known,300-350g,priced,300,350,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
23,Bird Egg,Bird Egg,bird egg,known,×,not_listed,,,,,3-5 AP/k,priced,3,5,ap,per_1000,25-40 OJ/k,priced,25,40,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
24,Birthday Surprise Box 03,Birthday Surprise Box 03,birthday surprise box 03,known,250-300g,priced,250,300,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
25,Birthday Surprise Box 04,Birthday Surprise Box 04,birthday surprise box 04,known,250-300g,priced,250,300,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
26,Birthday Surprise Box 05,Birthday Surprise Box 05,birthday surprise box 05,known,275-300g,priced,275,300,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
27,Black Powder,Black Powder,black powder,known,×,not_listed,,,,,2-3 AP/k,priced,2,3,ap,per_1000,15-20 OJ/k,priced,15,20,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
28,Blitzen,Blitzen,blitzen,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
29,Blue Crab,Blue Crab,blue crab,known,×,not_listed,,,,,1 AP/k,priced,1,1,ap,per_1000,10 OJ/k,priced,10,10,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
30,Blue Dye,Blue Dye,blue dye,known,×,not_listed,,,,,4-6 AP/k,priced,4,6,ap,per_1000,30-45 OJ/k,priced,30,45,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
31,Blue Feathers,Blue Feathers,blue feathers,known,×,not_listed,,,,,2-3 AP/k,priced,2,3,ap,per_1000,15-25 OJ/k,priced,15,25,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
32,Bluegill,Bluegill,bluegill,known,×,not_listed,,,,,1 AP/k,priced,1,1,ap,per_1000,10 OJ/k,priced,10,10,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
33,Bomb,Bomb,bomb,known,×,not_listed,,,,,5-15 AP,priced,5,15,ap,each,40-115 OJ,priced,40,115,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
34,Bone,Bone,bone,known,×,not_listed,,,,,1-2 AP/k,priced,1,2,ap,per_1000,10-15 OJ/k,priced,10,15,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
35,Boobun's Spray Bottle,Boobun's Spray Bottle,boobun's spray bottle,known,5g,priced,5,5,gold,each,75 AP,priced,75,75,ap,each,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
36,Bouquet of Flowers,Bouquet of Flowers,bouquet of flowers,known,5-7.5g/k,priced,5,7.5,gold,per_1000,75-115 AP/k,priced,75,115,ap,per_1000,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
37,Box of Chocolate 01,Box of Chocolate 01,box of chocolate 01,known,30g,priced,30,30,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
38,Box of Chocolate 02,Box of Chocolate 02,box of chocolate 02,known,40g,priced,40,40,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
39,Breakfast Boost (meal),Breakfast Boost,breakfast boost,known,15-25g/100,priced,15,25,gold,per_100,2-3 AP,priced,2,3,ap,each,15-25 OJ,priced,15,25,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
40,Bucket,Bucket,bucket,known,×,not_listed,,,,,2 AP/k,priced,2,2,ap,per_1000,15 OJ/k,priced,15,15,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
41,Buddy Doll,Buddy Doll,buddy doll,known,5-10g,priced,5,10,gold,each,75-155 AP,priced,75,155,ap,each,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
42,Buddy Loves You Card,Buddy Loves You Card,buddy loves you card,known,5g,priced,5,5,gold,each,75 AP,priced,75,75,ap,each,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
43,Buddy's Beach Bag,Buddy's Beach Bag,buddy's beach bag,known,180-250g,priced,180,250,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
44,Buddy's School Bag,Buddy's School Bag,buddy's school bag,known,75-150g,priced,75,150,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
45,Cabbage Stew (meal),Cabbage Stew,cabbage stew,known,40-50g/100,priced,40,50,gold,per_100,6-7.5 AP,priced,6,7.5,ap,each,45-60 OJ,priced,45,60,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
46,Calavera 01,Calavera 01,calavera 01,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
47,Calavera 02,Calavera 02,calavera 02,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
48,Capy Birthday Card,Capy Birthday Card,capy birthday card,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
49,Carbon Sphere,Carbon Sphere,carbon sphere,known,×,not_listed,,,,,6-10 AP/k,priced,6,10,ap,per_1000,45-80 OJ/k,priced,45,80,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
50,Carp,Carp,carp,known,×,not_listed,,,,,1 AP/k,priced,1,1,ap,per_1000,10 OJ/k,priced,10,10,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
51,Carrot,Carrot,carrot,known,×,not_listed,,,,,3-5 AP/k,priced,3,5,ap,per_1000,25-40 OJ/k,priced,25,40,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
52,Cat's Meow (meal),Cat's Meow,cat's meow,known,20-30g/100,priced,20,30,gold,per_100,3-4 AP,priced,3,4,ap,each,25-30 OJ,priced,25,30,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
53,Caterpillar,Caterpillar,caterpillar,known,×,not_listed,,,,,50-100 AP/k,priced,50,100,ap,per_1000,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
54,Cheese,Cheese,cheese,known,7.5-10g/k,priced,7.5,10,gold,per_1000,115-155 AP/k,priced,115,155,ap,per_1000,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
55,Christmas Card,Christmas Card,christmas card,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
56,Christmas Present 01,Christmas Present 01,christmas present 01,known,55g,priced,55,55,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
57,Christmas Present 02,Christmas Present 02,christmas present 02,known,0.5-1g,priced,0.5,1,gold,each,5-15 AP,priced,5,15,ap,each,40-115 OJ,priced,40,115,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
58,Christmas Present 07,Christmas Present 07,christmas present 07,known,105-110g,priced,105,110,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
59,Clawed Card,Clawed Card,clawed card,known,5-10g,priced,5,10,gold,each,75-155 AP,priced,75,155,ap,each,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
60,Clubs,Clubs,clubs,known,2-2.5g,priced,2,2.5,gold,each,30-40 AP,priced,30,40,ap,each,235-315 OJ,priced,235,315,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
61,Coal,Coal,coal,known,×,not_listed,,,,,2 AP/k,priced,2,2,ap,per_1000,15 OJ/k,priced,15,15,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
62,Coderanger's Missing Semicolon,Coderanger's Missing Semicolon,coderanger's missing semicolon,known,5g,priced,5,5,gold,each,75 AP,priced,75,75,ap,each,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
63,Comet,Comet,comet,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
64,Congratulations Card,Congratulations Card,congratulations card,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
65,Cornucopia 01,Cornucopia 01,cornucopia 01,known,30-40g,priced,30,40,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
66,Cornucopia 02,Cornucopia 02,cornucopia 02,known,225-275g,priced,225,275,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
67,Cornucopia 03,Cornucopia 03,cornucopia 03,known,325-350g,priced,325,350,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
68,Crappie,Crappie,crappie,known,×,not_listed,,,,,×,not_listed,,,,,5 OJ/k,priced,5,5,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
69,Cricket,Cricket,cricket,known,5-10g,priced,5,10,gold,each,75-155 AP,priced,75,155,ap,each,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
70,Crunchy Omelette (meal),Crunchy Omelette,crunchy omelette,known,.5-1g,priced,0.5,1,gold,each,10-15 AP,priced,10,15,ap,each,80-115 OJ,priced,80,115,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
71,Cucumber,Cucumber,cucumber,known,×,not_listed,,,,,3-5 AP/k,priced,3,5,ap,per_1000,25-40 OJ/k,priced,25,40,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
72,Cupid,Cupid,cupid,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
73,Dancer,Dancer,dancer,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
74,Dasher,Dasher,dasher,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
75,Diamonds,Diamonds,diamonds,known,2-2.5g,priced,2,2.5,gold,each,30-40 AP,priced,30,40,ap,each,235-315 OJ,priced,235,315,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
76,Donner,Donner,donner,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
77,Dragonfly,Dragonfly,dragonfly,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
78,Drum,Drum,drum,known,×,not_listed,,,,,×,not_listed,,,,,5 OJ/k,priced,5,5,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
79,Egg 01,Egg 01,egg 01,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
80,Egg 02,Egg 02,egg 02,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
81,Egg 03,Egg 03,egg 03,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
82,Egg 04,Egg 04,egg 04,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
83,Egg 05,Egg 05,egg 05,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
84,Egg 06,Egg 06,egg 06,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
85,Egg 07,Egg 07,egg 07,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
86,Egg 08,Egg 08,egg 08,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
87,Egg 09,Egg 09,egg 09,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
88,Egg 10,Egg 10,egg 10,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
89,Egg 11,Egg 11,egg 11,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
90,Egg 12,Egg 12,egg 12,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
91,Egg Basket,Egg Basket,egg basket,known,×,not_listed,,,,,2 AP,priced,2,2,ap,each,15 OJ,priced,15,15,oj,each,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
92,Egg of Ages,Egg of Ages,egg of ages,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
93,Egg of Air,Egg of Air,egg of air,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
94,Egg of Chaos,Egg of Chaos,egg of chaos,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
95,Egg of Earth,Egg of Earth,egg of earth,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
96,Egg of Fire,Egg of Fire,egg of fire,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
97,Egg of Life,Egg of Life,egg of life,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
98,Egg of Light,Egg of Light,egg of light,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
99,Egg of Shadow,Egg of Shadow,egg of shadow,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
100,Egg of Space,Egg of Space,egg of space,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
101,Egg of Water,Egg of Water,egg of water,known,PC,price_check,,,,,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
102,Eggplant,Eggplant,eggplant,known,×,not_listed,,,,,3-5 AP/k,priced,3,5,ap,per_1000,25-40 OJ/k,priced,25,40,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
103,Eggs,Eggs,eggs,known,×,not_listed,,,,,3-5 AP/k,priced,3,5,ap,per_1000,25-40 OJ/k,priced,25,40,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
104,Explosive,Explosive,explosive,known,×,not_listed,,,,,3-4 AP/k,priced,3,4,ap,per_1000,20-35 OJ/k,priced,20,35,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
105,Fall Basket,Fall Basket,fall basket,known,30-40g,priced,30,40,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
106,Fancy Present,Fancy Present,fancy present,known,40-60g,priced,40,60,gold,each,×,not_listed,,,,,×,not_listed,,,,,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
107,Feathers,Feathers,feathers,known,×,not_listed,,,,,3-5 AP/k,priced,3,5,ap,per_1000,25-40 OJ/k,priced,25,40,oj,per_1000,Farm RPG Price Check,https://farmrpg-pricecheck.free.nf/index.html?i=3,2026-06-19,trade-price-reference-v1,
