alias_name,alias_key,canonical_item_name,canonical_key,review_status,source,notes
Frank S Bunny Mask,frank s bunny mask,frank's Bunny Mask,frank's bunny mask,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/frank-s-bunny-mask/; Page data: https://buddy.farm/page-data/i/frank-s-bunny-mask/page-data.json; Cache: frank-s-bunny-mask__frank-s-bunny-mask.json
Gary S Crushroom Key,gary s crushroom key,Gary's Crushroom Key,gary's crushroom key,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/gary-s-crushroom-key/; Page data: https://buddy.farm/page-data/i/gary-s-crushroom-key/page-data.json; Cache: gary-s-crushroom-key__gary-s-crushroom-key.json
Gary S Diary Page 12,gary s diary page 12,Gary's Diary Page 12,gary's diary page 12,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/gary-s-diary-page-12/; Page data: https://buddy.farm/page-data/i/gary-s-diary-page-12/page-data.json; Cache: gary-s-diary-page-12__gary-s-diary-page-12.json
Gary S Diary Page 36,gary s diary page 36,Gary's Diary Page 36,gary's diary page 36,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/gary-s-diary-page-36/; Page data: https://buddy.farm/page-data/i/gary-s-diary-page-36/page-data.json; Cache: gary-s-diary-page-36__gary-s-diary-page-36.json
Gary S Diary Page 77,gary s diary page 77,Gary's Diary Page 77,gary's diary page 77,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/gary-s-diary-page-77/; Page data: https://buddy.farm/page-data/i/gary-s-diary-page-77/page-data.json; Cache: gary-s-diary-page-77__gary-s-diary-page-77.json
Gary S Diary Page 86,gary s diary page 86,Gary's Diary Page 86,gary's diary page 86,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/gary-s-diary-page-86/; Page data: https://buddy.farm/page-data/i/gary-s-diary-page-86/page-data.json; Cache: gary-s-diary-page-86__gary-s-diary-page-86.json
George S Acorn Pie,george s acorn pie,George's Acorn Pie,george's acorn pie,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/george-s-acorn-pie/; Page data: https://buddy.farm/page-data/i/george-s-acorn-pie/page-data.json; Cache: george-s-acorn-pie__george-s-acorn-pie.json
George S Onion Soup,george s onion soup,George's Onion Soup,george's onion soup,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/george-s-onion-soup/; Page data: https://buddy.farm/page-data/i/george-s-onion-soup/page-data.json; Cache: george-s-onion-soup__george-s-onion-soup.json
Heart Shaped Box 01,heart shaped box 01,Heart-shaped Box 01,heart-shaped box 01,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/heart-shaped-box-01/; Page data: https://buddy.farm/page-data/i/heart-shaped-box-01/page-data.json; Cache: heart-shaped-box-01__heart-shaped-box-01.json
Heart Shaped Box 02,heart shaped box 02,Heart-shaped Box 02,heart-shaped box 02,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/heart-shaped-box-02/; Page data: https://buddy.farm/page-data/i/heart-shaped-box-02/page-data.json; Cache: heart-shaped-box-02__heart-shaped-box-02.json
Heart Shaped Box 03,heart shaped box 03,Heart-shaped Box 03,heart-shaped box 03,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/heart-shaped-box-03/; Page data: https://buddy.farm/page-data/i/heart-shaped-box-03/page-data.json; Cache: heart-shaped-box-03__heart-shaped-box-03.json
Heart Shaped Gem,heart shaped gem,Heart-shaped Gem,heart-shaped gem,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/heart-shaped-gem/; Page data: https://buddy.farm/page-data/i/heart-shaped-gem/page-data.json; Cache: heart-shaped-gem__heart-shaped-gem.json
Hensods S Bonsai,hensods s bonsai,Hensods's Bonsai,hensods's bonsai,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/hensods-s-bonsai/; Page data: https://buddy.farm/page-data/i/hensods-s-bonsai/page-data.json; Cache: hensods-s-bonsai__hensods-s-bonsai.json
Hessian S Axe,hessian s axe,Hessian's Axe,hessian's axe,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/hessian-s-axe/; Page data: https://buddy.farm/page-data/i/hessian-s-axe/page-data.json; Cache: hessian-s-axe__hessian-s-axe.json
Holger S Lunch Box,holger s lunch box,Holger's Lunch Box,holger's lunch box,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/holger-s-lunch-box/; Page data: https://buddy.farm/page-data/i/holger-s-lunch-box/page-data.json; Cache: holger-s-lunch-box__holger-s-lunch-box.json
Holger S Mushroom Stew,holger s mushroom stew,Holger's Mushroom Stew,holger's mushroom stew,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/holger-s-mushroom-stew/; Page data: https://buddy.farm/page-data/i/holger-s-mushroom-stew/page-data.json; Cache: holger-s-mushroom-stew__holger-s-mushroom-stew.json
Horseman S Belt,horseman s belt,Horseman's Belt,horseman's belt,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/horseman-s-belt/; Page data: https://buddy.farm/page-data/i/horseman-s-belt/page-data.json; Cache: horseman-s-belt__horseman-s-belt.json
Jack O Key,jack o key,Jack-o-key,jack-o-key,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/jack-o-key/; Page data: https://buddy.farm/page-data/i/jack-o-key/page-data.json; Cache: jack-o-key__jack-o-key.json
Jack O Lantern,jack o lantern,Jack-o-lantern,jack-o-lantern,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/jack-o-lantern/; Page data: https://buddy.farm/page-data/i/jack-o-lantern/page-data.json; Cache: jack-o-lantern__jack-o-lantern.json
Jill S Quandary Chowder,jill s quandary chowder,Jill's Quandary Chowder,jill's quandary chowder,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/jill-s-quandary-chowder/; Page data: https://buddy.farm/page-data/i/jill-s-quandary-chowder/page-data.json; Cache: jill-s-quandary-chowder__jill-s-quandary-chowder.json
Lorn S Breakfast Boost,lorn s breakfast boost,Lorn's Breakfast Boost,lorn's breakfast boost,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/lorn-s-breakfast-boost/; Page data: https://buddy.farm/page-data/i/lorn-s-breakfast-boost/page-data.json; Cache: lorn-s-breakfast-boost__lorn-s-breakfast-boost.json
Maduin S Cup,maduin s cup,Maduin's Cup,maduin's cup,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/maduin-s-cup/; Page data: https://buddy.farm/page-data/i/maduin-s-cup/page-data.json; Cache: maduin-s-cup__maduin-s-cup.json
Mariya S Crunchy Omelette,mariya s crunchy omelette,Mariya's Crunchy Omelette,mariya's crunchy omelette,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/mariya-s-crunchy-omelette/; Page data: https://buddy.farm/page-data/i/mariya-s-crunchy-omelette/page-data.json; Cache: mariya-s-crunchy-omelette__mariya-s-crunchy-omelette.json
Mariya S Festive Eggnog,mariya s festive eggnog,Mariya's Festive Eggnog,mariya's festive eggnog,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/mariya-s-festive-eggnog/; Page data: https://buddy.farm/page-data/i/mariya-s-festive-eggnog/page-data.json; Cache: mariya-s-festive-eggnog__mariya-s-festive-eggnog.json
Mariya S Hickory Omelette,mariya s hickory omelette,Mariya's Hickory Omelette,mariya's hickory omelette,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/mariya-s-hickory-omelette/; Page data: https://buddy.farm/page-data/i/mariya-s-hickory-omelette/page-data.json; Cache: mariya-s-hickory-omelette__mariya-s-hickory-omelette.json
Mermaid S Necklace,mermaid s necklace,Mermaid's Necklace,mermaid's necklace,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/mermaid-s-necklace/; Page data: https://buddy.farm/page-data/i/mermaid-s-necklace/page-data.json; Cache: mermaid-s-necklace__mermaid-s-necklace.json
Mermaid S Scale,mermaid s scale,Mermaid's Scale,mermaid's scale,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/mermaid-s-scale/; Page data: https://buddy.farm/page-data/i/mermaid-s-scale/page-data.json; Cache: mermaid-s-scale__mermaid-s-scale.json
Mizzem S Daisies,mizzem s daisies,Mizzem's Daisies,mizzem's daisies,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/mizzem-s-daisies/; Page data: https://buddy.farm/page-data/i/mizzem-s-daisies/page-data.json; Cache: mizzem-s-daisies__mizzem-s-daisies.json
Odthorin S Charm,odthorin s charm,Odthorin's Charm,odthorin's charm,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/odthorin-s-charm/; Page data: https://buddy.farm/page-data/i/odthorin-s-charm/page-data.json; Cache: odthorin-s-charm__odthorin-s-charm.json
Pi Ata,pi ata,Piñata,piñata,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/pi-ata/; Page data: https://buddy.farm/page-data/i/pi-ata/page-data.json; Cache: pi-ata__pi-ata.json
Pi Ata Whop Stick,pi ata whop stick,Piñata Whop Stick,piñata whop stick,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/pi-ata-whop-stick/; Page data: https://buddy.farm/page-data/i/pi-ata-whop-stick/page-data.json; Cache: pi-ata-whop-stick__pi-ata-whop-stick.json
Pot Of Gold Large,pot of gold large,Pot of Gold (Large),pot of gold (large),approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/pot-of-gold-large-/; Page data: https://buddy.farm/page-data/i/pot-of-gold-large-/page-data.json; Cache: pot-of-gold-large__pot-of-gold-large.json
Pot Of Gold Medium,pot of gold medium,Pot of Gold (Medium),pot of gold (medium),approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/pot-of-gold-medium-/; Page data: https://buddy.farm/page-data/i/pot-of-gold-medium-/page-data.json; Cache: pot-of-gold-medium__pot-of-gold-medium.json
Pot Of Gold Small,pot of gold small,Pot of Gold (Small),pot of gold (small),approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/pot-of-gold-small-/; Page data: https://buddy.farm/page-data/i/pot-of-gold-small-/page-data.json; Cache: pot-of-gold-small__pot-of-gold-small.json
Quicksilver S Ring,quicksilver s ring,Quicksilver's Ring,quicksilver's ring,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/quicksilver-s-ring/; Page data: https://buddy.farm/page-data/i/quicksilver-s-ring/page-data.json; Cache: quicksilver-s-ring__quicksilver-s-ring.json
R O A S,r o a s,R.O.A.S.,r.o.a.s.,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/r-o-a-s-/; Page data: https://buddy.farm/page-data/i/r-o-a-s-/page-data.json; Cache: r-o-a-s__r-o-a-s.json
Ramjoram S Mask,ramjoram s mask,Ramjoram's Mask,ramjoram's mask,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/ramjoram-s-mask/; Page data: https://buddy.farm/page-data/i/ramjoram-s-mask/page-data.json; Cache: ramjoram-s-mask__ramjoram-s-mask.json
