item_name,canonical_key,buddy_url,page_data_url,cache_file_name,http_status,source_status,recipes,used_in_recipes,drop_rates,pet_sources,openable_contents,openable_sources,wishing_well_outputs,wishing_well_inputs,quest_rows,unknown_detected_sections,flags,warnings
Bahltruvian Scales,bahltruvian scales,https://buddy.farm/i/bahltruvian-scales/,https://buddy.farm/page-data/i/bahltruvian-scales/page-data.json,bahltruvian-scales__bahltruvian-scales.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Bait Bag 01,bait bag 01,https://buddy.farm/i/bait-bag-01/,https://buddy.farm/page-data/i/bait-bag-01/page-data.json,bait-bag-01__bait-bag-01.json,200,sources_present,0,0,0,0,5,0,0,0,4,,,
Bamboo,bamboo,https://buddy.farm/i/bamboo/,https://buddy.farm/page-data/i/bamboo/page-data.json,bamboo__bamboo.json,200,sources_present,0,5,0,0,0,0,0,0,0,,,
Bamboo Chair,bamboo chair,https://buddy.farm/i/bamboo-chair/,https://buddy.farm/page-data/i/bamboo-chair/page-data.json,bamboo-chair__bamboo-chair.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Bamboo Fence,bamboo fence,https://buddy.farm/i/bamboo-fence/,https://buddy.farm/page-data/i/bamboo-fence/page-data.json,bamboo-fence__bamboo-fence.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Bamboo Flute,bamboo flute,https://buddy.farm/i/bamboo-flute/,https://buddy.farm/page-data/i/bamboo-flute/page-data.json,bamboo-flute__bamboo-flute.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Bamboo Rope,bamboo rope,https://buddy.farm/i/bamboo-rope/,https://buddy.farm/page-data/i/bamboo-rope/page-data.json,bamboo-rope__bamboo-rope.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Bamboo Trellis,bamboo trellis,https://buddy.farm/i/bamboo-trellis/,https://buddy.farm/page-data/i/bamboo-trellis/page-data.json,bamboo-trellis__bamboo-trellis.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Banana Peel,banana peel,https://buddy.farm/i/banana-peel/,https://buddy.farm/page-data/i/banana-peel/page-data.json,banana-peel__banana-peel.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Bananas,bananas,https://buddy.farm/i/bananas/,https://buddy.farm/page-data/i/bananas/page-data.json,bananas__bananas.json,200,sources_present,0,0,0,0,0,0,0,0,13,,,
Bar of Silver,bar of silver,https://buddy.farm/i/bar-of-silver/,https://buddy.farm/page-data/i/bar-of-silver/page-data.json,bar-of-silver__bar-of-silver.json,200,sources_blank,0,0,0,0,0,1,0,0,0,,,
Barbed Wire,barbed wire,https://buddy.farm/i/barbed-wire/,https://buddy.farm/page-data/i/barbed-wire/page-data.json,barbed-wire__barbed-wire.json,200,sources_present,1,0,0,0,0,0,0,0,4,,,
Barnacle Shell,barnacle shell,https://buddy.farm/i/barnacle-shell/,https://buddy.farm/page-data/i/barnacle-shell/page-data.json,barnacle-shell__barnacle-shell.json,200,sources_present,0,0,0,1,0,0,0,0,3,,,
Barracuda,barracuda,https://buddy.farm/i/barracuda/,https://buddy.farm/page-data/i/barracuda/page-data.json,barracuda__barracuda.json,200,sources_present,0,0,4,1,0,0,0,0,4,,,
Basic Pillow,basic pillow,https://buddy.farm/i/basic-pillow/,https://buddy.farm/page-data/i/basic-pillow/page-data.json,basic-pillow__basic-pillow.json,200,sources_present,1,1,0,0,0,0,0,0,0,,,
Bat Wing,bat wing,https://buddy.farm/i/bat-wing/,https://buddy.farm/page-data/i/bat-wing/page-data.json,bat-wing__bat-wing.json,200,sources_present,0,0,4,0,0,0,0,0,11,,,
Beach Ball,beach ball,https://buddy.farm/i/beach-ball/,https://buddy.farm/page-data/i/beach-ball/page-data.json,beach-ball__beach-ball.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Beach Towel,beach towel,https://buddy.farm/i/beach-towel/,https://buddy.farm/page-data/i/beach-towel/page-data.json,beach-towel__beach-towel.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Beach Umbrella,beach umbrella,https://buddy.farm/i/beach-umbrella/,https://buddy.farm/page-data/i/beach-umbrella/page-data.json,beach-umbrella__beach-umbrella.json,200,sources_present,0,0,0,0,0,0,0,0,19,,,
Bear Buddy Doll,bear buddy doll,https://buddy.farm/i/bear-buddy-doll/,https://buddy.farm/page-data/i/bear-buddy-doll/page-data.json,bear-buddy-doll__bear-buddy-doll.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Beary Squishies,beary squishies,https://buddy.farm/i/beary-squishies/,https://buddy.farm/page-data/i/beary-squishies/page-data.json,beary-squishies__beary-squishies.json,200,sources_present,0,0,0,0,0,0,0,0,12,,,
Beatrix Bobblehead,beatrix bobblehead,https://buddy.farm/i/beatrix-bobblehead/,https://buddy.farm/page-data/i/beatrix-bobblehead/page-data.json,beatrix-bobblehead__beatrix-bobblehead.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Beatrix's Big Box of Boom,beatrix s big box of boom,https://buddy.farm/i/beatrix-s-big-box-of-boom/,https://buddy.farm/page-data/i/beatrix-s-big-box-of-boom/page-data.json,beatrix-s-big-box-of-boom__beatrix-s-big-box-of-boom.json,200,sources_blank,0,0,0,0,7,3,0,0,0,,,
Beatrix's Booming Brawl Box 01,beatrix s booming brawl box 01,https://buddy.farm/i/beatrix-s-booming-brawl-box-01/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-01/page-data.json,beatrix-s-booming-brawl-box-01__beatrix-s-booming-brawl-box-01.json,200,sources_blank,0,0,0,0,9,2,0,0,0,,,
Beatrix's Booming Brawl Box 02,beatrix s booming brawl box 02,https://buddy.farm/i/beatrix-s-booming-brawl-box-02/,https://buddy.farm/page-data/i/beatrix-s-booming-brawl-box-02/page-data.json,beatrix-s-booming-brawl-box-02__beatrix-s-booming-brawl-box-02.json,200,sources_blank,0,0,0,0,11,1,0,0,0,,,
Beet,beet,https://buddy.farm/i/beet/,https://buddy.farm/page-data/i/beet/page-data.json,beet__beet.json,200,sources_present,0,1,2,1,0,0,0,0,17,,,
Beet Seeds,beet seeds,https://buddy.farm/i/beet-seeds/,https://buddy.farm/page-data/i/beet-seeds/page-data.json,beet-seeds__beet-seeds.json,200,sources_present,0,0,0,0,0,0,0,0,0,,,
Bell,bell,https://buddy.farm/i/bell/,https://buddy.farm/page-data/i/bell/page-data.json,bell__bell.json,200,sources_present,0,0,0,0,0,0,0,1,5,,,
Belt Drive,belt drive,https://buddy.farm/i/belt-drive/,https://buddy.farm/page-data/i/belt-drive/page-data.json,belt-drive__belt-drive.json,200,sources_present,1,1,0,0,0,0,3,0,23,,,
Belt of Commander Uteer,belt of commander uteer,https://buddy.farm/i/belt-of-commander-uteer/,https://buddy.farm/page-data/i/belt-of-commander-uteer/page-data.json,belt-of-commander-uteer__belt-of-commander-uteer.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Belt of Freedom,belt of freedom,https://buddy.farm/i/belt-of-freedom/,https://buddy.farm/page-data/i/belt-of-freedom/page-data.json,belt-of-freedom__belt-of-freedom.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Belt of Menace,belt of menace,https://buddy.farm/i/belt-of-menace/,https://buddy.farm/page-data/i/belt-of-menace/page-data.json,belt-of-menace__belt-of-menace.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Belt of Truth,belt of truth,https://buddy.farm/i/belt-of-truth/,https://buddy.farm/page-data/i/belt-of-truth/page-data.json,belt-of-truth__belt-of-truth.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Bessi Gan Belt,bessi gan belt,https://buddy.farm/i/bessi-gan-belt/,https://buddy.farm/page-data/i/bessi-gan-belt/page-data.json,bessi-gan-belt__bessi-gan-belt.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Bird Egg,bird egg,https://buddy.farm/i/bird-egg/,https://buddy.farm/page-data/i/bird-egg/page-data.json,bird-egg__bird-egg.json,200,sources_present,0,1,4,1,0,0,0,1,19,,,
Bird Key,bird key,https://buddy.farm/i/bird-key/,https://buddy.farm/page-data/i/bird-key/page-data.json,bird-key__bird-key.json,200,sources_present,0,0,0,0,0,0,0,0,1,,,
Bird Skull 01,bird skull 01,https://buddy.farm/i/bird-skull-01/,https://buddy.farm/page-data/i/bird-skull-01/page-data.json,bird-skull-01__bird-skull-01.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Birthday Present,birthday present,https://buddy.farm/i/birthday-present/,https://buddy.farm/page-data/i/birthday-present/page-data.json,birthday-present__birthday-present.json,200,sources_blank,0,0,0,0,8,0,0,0,0,,,
Birthday Suit Buddy Doll,birthday suit buddy doll,https://buddy.farm/i/birthday-suit-buddy-doll/,https://buddy.farm/page-data/i/birthday-suit-buddy-doll/page-data.json,birthday-suit-buddy-doll__birthday-suit-buddy-doll.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Birthday Surprise Box 03,birthday surprise box 03,https://buddy.farm/i/birthday-surprise-box-03/,https://buddy.farm/page-data/i/birthday-surprise-box-03/page-data.json,birthday-surprise-box-03__birthday-surprise-box-03.json,200,sources_present,0,0,0,0,23,1,0,0,1,,,
Birthday Surprise Box 04,birthday surprise box 04,https://buddy.farm/i/birthday-surprise-box-04/,https://buddy.farm/page-data/i/birthday-surprise-box-04/page-data.json,birthday-surprise-box-04__birthday-surprise-box-04.json,200,sources_blank,0,0,0,0,33,1,0,0,0,,,
Birthday Surprise Box 05,birthday surprise box 05,https://buddy.farm/i/birthday-surprise-box-05/,https://buddy.farm/page-data/i/birthday-surprise-box-05/page-data.json,birthday-surprise-box-05__birthday-surprise-box-05.json,200,sources_blank,0,0,0,0,43,1,0,0,0,,,
Bitten Apple,bitten apple,https://buddy.farm/i/bitten-apple/,https://buddy.farm/page-data/i/bitten-apple/page-data.json,bitten-apple__bitten-apple.json,200,sources_present,0,0,0,1,0,0,0,0,0,,,
Black Bag,black bag,https://buddy.farm/i/black-bag/,https://buddy.farm/page-data/i/black-bag/page-data.json,black-bag__black-bag.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Black Cloak,black cloak,https://buddy.farm/i/black-cloak/,https://buddy.farm/page-data/i/black-cloak/page-data.json,black-cloak__black-cloak.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Black Dye,black dye,https://buddy.farm/i/black-dye/,https://buddy.farm/page-data/i/black-dye/page-data.json,black-dye__black-dye.json,200,sources_present,1,7,0,0,0,0,0,0,0,,,
Black Hole Egg,black hole egg,https://buddy.farm/i/black-hole-egg/,https://buddy.farm/page-data/i/black-hole-egg/page-data.json,black-hole-egg__black-hole-egg.json,200,sources_present,0,0,0,0,0,2,0,0,2,,,
Black Powder,black powder,https://buddy.farm/i/black-powder/,https://buddy.farm/page-data/i/black-powder/page-data.json,black-powder__black-powder.json,200,sources_present,1,3,0,0,0,1,0,0,28,,,
Black Purse,black purse,https://buddy.farm/i/black-purse/,https://buddy.farm/page-data/i/black-purse/page-data.json,black-purse__black-purse.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Black Scarf,black scarf,https://buddy.farm/i/black-scarf/,https://buddy.farm/page-data/i/black-scarf/page-data.json,black-scarf__black-scarf.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Black Shield,black shield,https://buddy.farm/i/black-shield/,https://buddy.farm/page-data/i/black-shield/page-data.json,black-shield__black-shield.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Black Shirt,black shirt,https://buddy.farm/i/black-shirt/,https://buddy.farm/page-data/i/black-shirt/page-data.json,black-shirt__black-shirt.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Black Truffle,black truffle,https://buddy.farm/i/black-truffle/,https://buddy.farm/page-data/i/black-truffle/page-data.json,black-truffle__black-truffle.json,200,sources_present,0,0,0,0,0,0,0,0,27,,,
Black Twine,black twine,https://buddy.farm/i/black-twine/,https://buddy.farm/page-data/i/black-twine/page-data.json,black-twine__black-twine.json,200,sources_present,1,1,0,0,0,0,0,0,0,,,
Blitzen,blitzen,https://buddy.farm/i/blitzen/,https://buddy.farm/page-data/i/blitzen/page-data.json,blitzen__blitzen.json,200,sources_present,0,0,0,0,0,0,0,0,3,,,
Block of Wood,block of wood,https://buddy.farm/i/block-of-wood/,https://buddy.farm/page-data/i/block-of-wood/page-data.json,block-of-wood__block-of-wood.json,200,sources_present,1,1,0,0,0,0,16,0,2,,,
Blood Crystal,blood crystal,https://buddy.farm/i/blood-crystal/,https://buddy.farm/page-data/i/blood-crystal/page-data.json,blood-crystal__blood-crystal.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Blubberfish,blubberfish,https://buddy.farm/i/blubberfish/,https://buddy.farm/page-data/i/blubberfish/page-data.json,blubberfish__blubberfish.json,200,sources_blank,0,0,0,0,0,0,0,0,0,,,
Blue Butterfly,blue butterfly,https://buddy.farm/i/blue-butterfly/,https://buddy.farm/page-data/i/blue-butterfly/page-data.json,blue-butterfly__blue-butterfly.json,200,sources_present,1,0,0,0,0,0,0,0,0,,,
Blue Catfish,blue catfish,https://buddy.farm/i/blue-catfish/,https://buddy.farm/page-data/i/blue-catfish/page-data.json,blue-catfish__blue-catfish.json,200,sources_present,0,0,4,1,0,0,0,0,11,,,
